name,address,phone number
,,
井上清(株)枚方工場,大阪府枚方市長尾谷町1丁目,掲載なし
,,
井上清株式会社枚方工場,大阪府枚方市長尾谷町1丁目71-1,728565028
,,
エーワイ物流(株),大阪府枚方市長尾谷町1丁目,掲載なし
,,
株式会社エテルノ・ヒラカタ,大阪府枚方市長尾谷町1丁目67-1,728560361
,,
大賀株式会社+商品センター,大阪府枚方市長尾谷町1丁目67-1,728678001
,,
RFC枚方,大阪府枚方市長尾谷町1-2-1+GLP枚方III,掲載なし
,,
ロンナー(株)枚方第一工場,大阪府枚方市長尾谷町1丁目,掲載なし
,,
株式会社センテック,大阪府枚方市長尾谷町1-70-1,728360031
,,
ロンナー株式会社枚方工場,大阪府枚方市長尾谷町1丁目70-1,728561667
,,
大賀(株)枚方商品センター,大阪府枚方市長尾谷町1丁目,掲載なし
,,
阪栄株式会社,大阪府枚方市長尾谷町1丁目24-1,728078601
,,
勝栄株式会社,大阪府枚方市長尾谷町1丁目24-1,728078216
,,
ヤマト運輸(株)枚方長尾谷センター,大阪府枚方市長尾谷町1丁目,掲載なし
,,
ファッションサービスナニワ長尾センター,大阪府枚方市長尾谷町1丁目,掲載なし
,,
曽根香料工業(株),大阪府枚方市長尾谷町1丁目,掲載なし
,,
曽根香料工業株式会社,大阪府枚方市長尾谷町1-67-3,728504800
,,
トレンザ株式会社枚方工場,大阪府枚方市長尾谷町1-81-1,728565363
,,
有限会社宇治野車体,大阪府枚方市長尾谷町1丁目77-3,728678978
,,
不二産業株式会社,大阪府枚方市長尾谷町1丁目77-3,728565648
,,
浪速運送株式会社枚方センター,大阪府枚方市長尾谷町1-62-3,728571100
,,
浪速ファッション物流(株),大阪府枚方市長尾谷町1丁目,掲載なし
,,
メルボ紳士服工業(株)枚方商品センター,大阪府枚方市長尾谷町1丁目,掲載なし
,,
メルボ紳士服工業株式会社,大阪府枚方市長尾谷町1-27-1,728560665
,,
佐川ロジスティクスパートナーズ(株)枚方第1センター,大阪府枚方市長尾谷町1丁目,掲載なし
,,
トレンザ(株)枚方工場,大阪府枚方市長尾谷町1丁目,掲載なし
,,
有限会社甲斐設備,大阪府枚方市長尾谷町2丁目508,728508616
,,
ファイブワン・ファクトリー株式会社,大阪府枚方市長尾谷町1丁目54-1,728515151
,,
中井啓(株)枚方工場,大阪府枚方市長尾谷町1丁目,掲載なし
,,
中井啓株式会社+枚方工場,大阪府枚方市長尾谷町1丁目87-1,728561786
,,
株式会社イナバ産業,大阪府枚方市長尾西町1-20-8,728560885
,,
旭巧芸株式会社,大阪府枚方市長尾谷町1-53-1,728088836
,,
株式会社エーティーエヌ,大阪府枚方市山田池東町24-3,728660460
,,
本井板金工業,大阪府枚方市長尾西町1丁目,掲載なし
,,
(株)藤田建設工業枚方店,大阪府枚方市田口山3丁目,掲載なし
,,
株式会社藤田建設工業,大阪府枚方市田口山3丁目6-18,728578157
,,
寿運輸倉庫(株)大阪(営),大阪府枚方市長尾谷町1丁目,掲載なし
,,
眞鍋工業(株),大阪府枚方市長尾谷町1丁目,掲載なし
,,
タカミホーム株式会社,大阪府枚方市長尾谷町1丁目307-2,728668088
,,
寿運輸倉庫株式会社大阪営業所,大阪府枚方市長尾谷町1丁目85-1,728511114
,,
株式会社フジデン,大阪府枚方市長尾谷町1-105-11,728360118
,,
有限会社ショッカー,大阪府枚方市長尾西町2丁目54-23,728088472
,,
株式会社近畿損保サービス,大阪府枚方市長尾元町2丁目6-10,728559910
,,
株式会社造型社,大阪府枚方市長尾西町2丁目54-28,728073917
,,
JPファクトリー,大阪府枚方市長尾西町2丁目,掲載なし
,,
坂部電設工業株式会社,大阪府枚方市長尾谷町1丁目303-8,728502213
,,
オーティーティーロジスティクス株式会社+大阪ロジスティックパーク,大阪府枚方市長尾谷町1-90-1,掲載なし
,,
田中カッティングセンター,大阪府枚方市長尾谷町1丁目,掲載なし
,,
(有)エース防虫研究所,大阪府枚方市長尾谷町1丁目,掲載なし
,,
北摂陸運株式会社,大阪府枚方市長尾元町1-1-10,728552255
,,
あゆみ,大阪府枚方市長尾谷町1丁目303-5,728360888
,,
有限会社サーモ・テック,大阪府枚方市長尾西町2丁目51-14,728098501
,,
中村ソーイング,大阪府枚方市長尾谷町1-1145-39,728571207
,,
(有)日興電気工業,大阪府枚方市長尾谷町1丁目,掲載なし
,,
株式会社太陽保温,大阪府枚方市長尾谷町3-19-5,728552010
,,
創価学会枚方文化会館,大阪府枚方市長尾谷町3-11-3,728642987
,,
毎日新聞+長尾販売所,大阪府枚方市長尾元町1-10-9,728568004
,,
にこちゃあむ,大阪府枚方市長尾谷町3-11-1,728078830
,,
株式会社大和,大阪府枚方市長尾谷町3-11-1,728078622
,,
すたんぴぃー,大阪府枚方市長尾谷町3-11-1,728001007
,,
近畿情報システム株式会社,大阪府枚方市長尾西町1丁目4-5,728361010
,,
(株)坂本工業,大阪府枚方市長尾西町3丁目,掲載なし
,,
コパンカルチャーセンター,大阪府枚方市長尾谷町3丁目,掲載なし
,,
鬼束通信工業所,大阪府枚方市長尾西町1丁目,掲載なし
,,
枚方市地域包括支援センター+大潤会,大阪府枚方市長尾谷町3-6-20,728570330
,,
株式会社SAKURA,大阪府枚方市長尾谷町3-17-29,728360010
,,
朝日新聞サービスアンカー+長尾北,大阪府枚方市長尾谷町3丁目17-26,728553177
,,
森甚建材株式会社,大阪府枚方市長尾谷町3-6-22,728512425
,,
ファースト,大阪府枚方市長尾谷町1丁目102-22,728569800
,,
朝日新聞サービスアンカー+長尾西,大阪府枚方市長尾谷町3丁目17-23,728553747
,,
藤森工業,大阪府枚方市田口山2丁目,掲載なし
,,
障害者相談支援センターわらしべ,大阪府枚方市長尾谷町1丁目101-1,728681301
,,
長尾水道株式会社,大阪府枚方市長尾元町2丁目13-10,728576110
,,
ステイツ枚方長尾ヒルズ管理室,大阪府枚方市長尾谷町3-16-1,728558752
,,
(株)ダイフレックス大阪工場,大阪府枚方市招提大谷2丁目,掲載なし
,,
さわやか枚方館,大阪府枚方市招提大谷2丁目21-7,728645887
,,
引越専門協組+枚方センター,大阪府枚方市招提大谷2-21-22,728578019
,,
丸宮運輸株式会社,大阪府枚方市招提大谷2-21-22,728573271
,,
丸宮運輸(株)枚方(営),大阪府枚方市招提大谷2丁目,掲載なし
,,
新」高野工業,大阪府枚方市長尾元町2丁目,掲載なし
,,
有限会社第二鋳造所,大阪府枚方市招提大谷2-22-18,728573371
,,
岡崎金型工作所,大阪府枚方市招提大谷3丁目59-30,728564740
,,
(株)池鉄工業,大阪府枚方市招提大谷2丁目,掲載なし
,,
山下歯車工業,大阪府枚方市招提大谷3-25-15,728573276
,,
梅田製綱株式会社,大阪府枚方市招提大谷2-18-7,728562940
,,
日伸設備工業所,大阪府枚方市長尾元町3丁目,掲載なし
,,
ラジコムエンジニアリングサービス,大阪府枚方市田口山3丁目,掲載なし
,,
株式会社キャン・ドゥ,大阪府枚方市藤阪元町2丁目50,728683257
,,
株式会社山十物流,大阪府枚方市招提大谷3丁目59-18,728553717
,,
(株)山十物流,大阪府枚方市招提大谷3丁目,掲載なし
,,
丸宮運輸(株)枚方倉庫,大阪府枚方市招提大谷2丁目,掲載なし
,,
(株)イナバ産業第二工場,大阪府枚方市招提大谷3丁目,掲載なし
,,
光洋工芸合板株式会社,大阪府枚方市長尾西町2丁目10-18,728572500
,,
大司工業,大阪府枚方市招提大谷3丁目,掲載なし
,,
村上造園,大阪府枚方市招提大谷3-34-12,728517705
,,
アサヒ・ドリーム・クリエイト株式会社,大阪府枚方市招提大谷2丁目22-20,728551100
,,
久留米建機サービス株式会社大阪営業所,大阪府枚方市招提大谷2丁目18-20,728094450
,,
アサヒ・ドリーム・クリエイト(株)本社・工場,大阪府枚方市招提大谷2丁目,掲載なし
,,
環境テクノス株式会社大阪支店,大阪府枚方市招提大谷2丁目18-1,728678345
,,
有限会社フジシール,大阪府枚方市長尾西町3-17-15,728683558
,,
堀田鉄工株式会社第三事業部,大阪府枚方市招提大谷2-22-5,728562727
,,
堀田鉄工(株)第三工場,大阪府枚方市招提大谷2丁目,掲載なし
,,
有限会社太助,大阪府枚方市長尾西町2-5-20,728552674
,,
久留米建機サービス(株)大阪(営)出入庫センター,大阪府枚方市招提大谷2丁目,掲載なし
,,
株式会社ツボイ+藤阪店,大阪府枚方市藤阪西町3-11,728550188
,,
(株)乾製作所,大阪府枚方市招提大谷2丁目,掲載なし
,,
株式会社乾製作所,大阪府枚方市招提大谷2-23-12,728576717
,,
株式会社五事,大阪府枚方市招提大谷3-59-5,728685311
,,
モリケン装飾,大阪府枚方市藤阪北町31-18,728556167
,,
有限会社久保鉄工,大阪府枚方市招提大谷3-18-6,728561773
,,
堀田鉄工(株)第二工場,大阪府枚方市招提大谷2丁目,掲載なし
,,
堀田鉄工株式会社第二工場,大阪府枚方市招提大谷2-23-18,728560236
,,
ダイカペイント(株)第二工場,大阪府枚方市招提大谷3丁目,掲載なし
,,
アキツ精機(株)本社・枚方工場,大阪府枚方市招提大谷2丁目,掲載なし
,,
グループホーム長尾,大阪府枚方市長尾元町1-33-12,728665959
,,
佐藤土木工業(株),大阪府枚方市招提大谷3丁目,掲載なし
,,
佐藤土木工業株式会社,大阪府枚方市招提大谷3-19-6,728565790
,,
株式会社TMジャパン,大阪府枚方市藤阪西町3-6,728663533
,,
堀田鉄工(株)生産技術センター,大阪府枚方市招提大谷2丁目,掲載なし
,,
佐藤化成株式会社,大阪府枚方市招提大谷2-17-32,728574065
,,
枚方藤阪ハイツ管理センター,大阪府枚方市藤阪西町,掲載なし
,,
株式会社マスコール,大阪府枚方市招提大谷3-11-1,728565356
,,
合同会社協和工業,大阪府枚方市長尾元町7丁目,掲載なし
,,
JPFACTORY,大阪府枚方市長尾西町3丁目,掲載なし
,,
田中飼料(株)枚方工場,大阪府枚方市招提大谷2丁目,掲載なし
,,
油研工業(株),大阪府枚方市招提大谷3丁目,掲載なし
,,
油研工業株式会社,大阪府枚方市招提大谷3丁目4-1,728551390
,,
遠誠(株)配送センター,大阪府枚方市招提大谷2丁目,掲載なし
,,
聖教新聞+長尾販売店,大阪府枚方市長尾元町4丁目7-27,728674626
,,
丸順工業,大阪府枚方市長尾元町7丁目,掲載なし
,,
有限会社堀内塗装工業所,大阪府枚方市招提大谷2-16-16,728561168
,,
(有)堀内塗装工業所,大阪府枚方市招提大谷2丁目,掲載なし
,,
寿精工株式会社,大阪府枚方市長尾西町2-1-20,728572200
,,
小北塗装,大阪府枚方市藤阪元町2丁目54-21,723916304
,,
寿精工(株)第二工場,大阪府枚方市長尾西町2丁目,掲載なし
,,
(有)田中塗装工業所,大阪府枚方市招提大谷2丁目,掲載なし
,,
東部メンテナンス株式会社,大阪府枚方市長尾元町4-7-8,728360234
,,
大野塗装株式会社,大阪府枚方市招提大谷2丁目16-20,728561994
,,
有限会社田中塗装工業所,大阪府枚方市招提大谷2丁目16-20,728556585
,,
北山自動車工業株式会社,大阪府枚方市招提大谷3-3-1,728689567
,,
北山自動車工業(株),大阪府枚方市招提大谷3丁目,掲載なし
,,
(有)中島塗装工業所,大阪府枚方市招提大谷2丁目,掲載なし
,,
株式会社井上造園,大阪府枚方市長尾元町1丁目33-67,728607093
,,
(株)アイワ製作所,大阪府枚方市招提大谷2丁目,掲載なし
,,
株式会社アイワ製作所,大阪府枚方市招提大谷2-16-29,728501458
,,
株式会社タカオ防備,大阪府枚方市長尾元町4-9-12,728679991
,,
(株)ハイビック平田枚方工場,大阪府枚方市招提大谷2丁目,掲載なし
,,
株式会社井上造園,大阪府枚方市長尾元町4丁目7-60,728607093
,,
社会福祉法人清松福祉会夢心,大阪府枚方市長尾北町1丁目1785-2,728663939
,,
大平金属工業(株),大阪府枚方市招提大谷2丁目,掲載なし
,,
大平金属工業株式会社,大阪府枚方市招提大谷2-16-30,728575505
,,
ナーシングホーム十和音藤阪,大阪府枚方市藤阪元町2丁目25-1,728506708
,,
ブリリアント工業,大阪府枚方市藤阪元町3丁目,掲載なし
,,
有限会社サン藤阪調剤薬局,大阪府枚方市藤阪中町11-5,728507325
,,
多田製茶株式会社,大阪府枚方市長尾元町1-40-1,728576056
,,
トーモク枚方センター,大阪府枚方市長尾北町1丁目,掲載なし
,,
株式会社トーモク,大阪府枚方市長尾北町1丁目1814,728502200
,,
平村塗装,大阪府枚方市長尾元町4丁目8-50,728645156
,,
株式会社オ・エス・ワイ,大阪府枚方市長尾元町7丁目82-13,728553590
,,
大舩自動機製作所,大阪府枚方市長尾元町7丁目,掲載なし
,,
株式会社楠風エナジーシステム,大阪府枚方市藤阪中町11-30,728503774
,,
BABUHOUSE,大阪府枚方市藤阪中町11-30,728572377
,,
株式会社ムカエ+枚方営業所,大阪府枚方市藤阪中町11-30-101,723960789
,,
有料老人ホームみどりの館,大阪府枚方市藤阪中町3-20,728682727
,,
雪印メグミルク宅配センターむらかみ,大阪府枚方市藤阪中町,掲載なし
,,
西田工業,大阪府枚方市藤阪元町3丁目,掲載なし
,,
株式会社スフィンクス+北町店,大阪府枚方市長尾北町1-1820-1,728363331
,,
