source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
2101, 318, 2101, 337, 10000200, 2, 1, 192, 374, 418, 1801, 1214, 12, 192, 1, 10000000, 10000000
2101, 318, 2101, 379, 10000200, 1, 1, 12, 374, 418, 1801, 1214, 12, 192, 1, 10000000, 10000000
2101, 318, 2023, 301, 10000200, 3, 1, 1, 374, 418, 1801, 1214, 12, 192, 1, 10000000, 10000000
1261, 1498, 1201, 1512, 11000200, 5, 1, 558, 243, 372, 598, 1782, 66, 199, 149, 689, 558
1261, 1498, 1201, 1512, 11000200, 4, 1, 689, 243, 372, 598, 1782, 66, 199, 149, 689, 558
1261, 1498, 1201, 1550, 11000200, 2, 1, 199, 243, 372, 598, 1782, 66, 199, 149, 689, 558
1261, 1498, 1201, 1595, 11000200, 1, 1, 66, 243, 372, 598, 1782, 66, 199, 149, 689, 558
1261, 1498, 1136, 1501, 11000200, 3, 1, 149, 243, 372, 598, 1782, 66, 199, 149, 689, 558
1201, 1595, 1136, 1501, 11000510, 1, 2, 149, 66, 372, 598, 1782, 149, 114, 10000000, 10000000, 10000000
2068, 301, 2027, 301, 12000200, 2, 1, 261, 359, 377, 1473, 601, 1, 261, 12, 10000000, 10000000
2068, 301, 1998, 301, 12000200, 1, 1, 1, 359, 377, 1473, 601, 1, 261, 12, 10000000, 10000000
2068, 301, 2101, 407, 12000200, 3, 1, 12, 359, 377, 1473, 601, 1, 261, 12, 10000000, 10000000
1840, -1, 1801, 29, 13000200, 2, 1, 499, 441, 293, 1501, 670, 170, 499, 328, 522, 776
1840, -1, 1787, 1, 13000200, 5, 1, 776, 441, 293, 1501, 670, 170, 499, 328, 522, 776
1840, -1, 1774, 1, 13000200, 4, 1, 522, 441, 293, 1501, 670, 170, 499, 328, 522, 776
1840, -1, 1745, 1, 13000200, 3, 1, 328, 441, 293, 1501, 670, 170, 499, 328, 522, 776
1840, -1, 1705, 1, 13000200, 1, 1, 170, 441, 293, 1501, 670, 170, 499, 328, 522, 776
687, 1198, 773, 1201, 14000200, 1, 1, 80, 305, 408, 1243, 1798, 80, 360, 10000000, 10000000, 10000000
687, 1198, 848, 1201, 14000200, 2, 1, 360, 305, 408, 1243, 1798, 80, 360, 10000000, 10000000, 10000000
773, 1201, 912, 1198, 14000536, 5, 2, 715, 80, 408, 1243, 1798, 195, 3, 229, 610, 715
773, 1201, 921, 1198, 14000536, 4, 2, 610, 80, 408, 1243, 1798, 195, 3, 229, 610, 715
773, 1201, 981, 1198, 14000536, 3, 2, 229, 80, 408, 1243, 1798, 195, 3, 229, 610, 715
598, 749, 601, 722, 15000200, 3, 1, 169, 61, 479, 1235, -1, 502, 327, 169, 350, 18
598, 749, 601, 677, 15000200, 2, 1, 327, 61, 479, 1235, -1, 502, 327, 169, 350, 18
598, 749, 656, 598, 15000200, 1, 1, 502, 61, 479, 1235, -1, 502, 327, 169, 350, 18
598, 749, 520, 601, 15000200, 4, 1, 350, 61, 479, 1235, -1, 502, 327, 169, 350, 18
656, 598, 705, 598, 15001174, 5, 2, 218, 502, 479, 1235, -1, 398, 233, 44, 18, 218
656, 598, 736, 598, 15001175, 4, 2, 18, 502, 479, 1235, -1, 398, 233, 44, 18, 218
656, 598, 797, 601, 15001175, 2, 2, 233, 502, 479, 1235, -1, 398, 233, 44, 18, 218
656, 598, 832, 601, 15001175, 1, 2, 398, 502, 479, 1235, -1, 398, 233, 44, 18, 218
832, 601, 901, 628, 15002484, 4, 3, 599, 398, 479, 1235, -1, 45, 342, 525, 599, 10000000
832, 601, 943, 598, 15002484, 3, 3, 525, 398, 479, 1235, -1, 45, 342, 525, 599, 10000000
832, 601, 970, 598, 15002484, 2, 3, 342, 398, 479, 1235, -1, 45, 342, 525, 599, 10000000
970, 598, 898, 506, 15006685, 3, 4, 313, 342, 479, 1235, -1, 131, 155, 313, 45, 10000000
601, 722, 601, 677, 15008400, 5, 2, 327, 169, 479, 1235, -1, 218, 502, 18, 651, 327
601, 722, 705, 598, 15008400, 1, 2, 218, 169, 479, 1235, -1, 218, 502, 18, 651, 327
705, 598, 736, 598, 15009535, 2, 3, 18, 218, 479, 1235, -1, 126, 18, 233, 398, 44
705, 598, 797, 601, 15009536, 3, 3, 233, 218, 479, 1235, -1, 126, 18, 233, 398, 44
520, 601, 624, 598, 15012400, 5, 2, 651, 350, 479, 1235, -1, 218, 502, 44, 18, 651
520, 601, 657, 598, 15012401, 2, 2, 502, 350, 479, 1235, -1, 218, 502, 44, 18, 651
736, 598, 797, 601, 15013736, 2, 4, 233, 18, 479, 1235, -1, 398, 233, 599, 10000000, 10000000
736, 598, 832, 601, 15013736, 1, 4, 398, 18, 479, 1235, -1, 398, 233, 599, 10000000, 10000000
832, 601, 901, 628, 15014111, 4, 5, 599, 398, 479, 1235, -1, 45, 342, 525, 599, 10000000
832, 601, 944, 598, 15014111, 3, 5, 525, 398, 479, 1235, -1, 45, 342, 525, 599, 10000000
898, 506, 898, 468, 15014885, 4, 5, 131, 313, 479, 1235, -1, 362, 730, 133, 131, 10000000
898, 506, 901, 421, 15014885, 3, 5, 133, 313, 479, 1235, -1, 362, 730, 133, 131, 10000000
657, 598, 705, 598, 15016601, 5, 3, 218, 502, 479, 1235, -1, 398, 233, 44, 18, 218
657, 598, 736, 598, 15016601, 4, 3, 18, 502, 479, 1235, -1, 398, 233, 44, 18, 218
657, 598, 797, 601, 15016601, 2, 3, 233, 502, 479, 1235, -1, 398, 233, 44, 18, 218
797, 601, 832, 601, 15017736, 5, 4, 398, 233, 479, 1235, -1, 342, 45, 525, 599, 398
901, 421, 887, 301, 15023086, 5, 6, 730, 133, 479, 1235, -1, 260, 362, 21, 315, 730
901, 421, 962, 298, 15023086, 2, 6, 362, 133, 479, 1235, -1, 260, 362, 21, 315, 730
962, 298, 1016, 298, 15027286, 3, 7, 260, 362, 479, 1235, -1, 122, 21, 260, 284, 23
962, 298, 1042, 298, 15027286, 2, 7, 21, 362, 479, 1235, -1, 122, 21, 260, 284, 23
962, 298, 1079, 301, 15027286, 1, 7, 122, 362, 479, 1235, -1, 122, 21, 260, 284, 23
962, 298, 901, 166, 15027286, 5, 7, 23, 362, 479, 1235, -1, 122, 21, 260, 284, 23
962, 298, 1113, 301, 15027286, 4, 7, 284, 362, 479, 1235, -1, 122, 21, 260, 284, 23
1079, 301, 1113, 301, 15027674, 5, 8, 284, 122, 479, 1235, -1, 340, 625, 464, 691, 284
1079, 301, 1147, 301, 15027674, 3, 8, 464, 122, 479, 1235, -1, 340, 625, 464, 691, 284
1079, 301, 1177, 301, 15027674, 2, 8, 625, 122, 479, 1235, -1, 340, 625, 464, 691, 284
1079, 301, 1201, 314, 15027674, 4, 8, 691, 122, 479, 1235, -1, 340, 625, 464, 691, 284
1177, 301, 1280, 298, 15032043, 5, 9, 340, 625, 479, 1235, -1, 793, 735, 775, 620, 340
832, 601, 901, 628, 15033936, 4, 5, 599, 398, 479, 1235, -1, 45, 342, 525, 599, 10000000
832, 601, 944, 598, 15033936, 3, 5, 525, 398, 479, 1235, -1, 45, 342, 525, 599, 10000000
832, 601, 970, 598, 15033936, 2, 5, 342, 398, 479, 1235, -1, 45, 342, 525, 599, 10000000
970, 598, 1088, 601, 15038137, 5, 6, 155, 342, 479, 1235, -1, 131, 534, 313, 716, 155
970, 598, 898, 467, 15038137, 1, 6, 131, 342, 479, 1235, -1, 131, 534, 313, 716, 155
970, 598, 1152, 601, 15038137, 2, 6, 534, 342, 479, 1235, -1, 131, 534, 313, 716, 155
898, 467, 901, 421, 15038395, 5, 7, 133, 131, 479, 1235, -1, 362, 609, 730, 278, 133
898, 467, 901, 397, 15038395, 4, 7, 278, 131, 479, 1235, -1, 362, 609, 730, 278, 133
898, 467, 887, 301, 15038395, 3, 7, 730, 131, 479, 1235, -1, 362, 609, 730, 278, 133
1152, 601, 1182, 601, 15042337, 5, 7, 664, 534, 479, 1235, -1, 740, 660, 530, 357, 664
1152, 601, 1212, 598, 15042337, 1, 7, 740, 534, 479, 1235, -1, 740, 660, 530, 357, 664
1152, 601, 1219, 598, 15042337, 2, 7, 660, 534, 479, 1235, -1, 740, 660, 530, 357, 664
1152, 601, 1244, 598, 15042337, 3, 7, 530, 534, 479, 1235, -1, 740, 660, 530, 357, 664
1152, 601, 1276, 598, 15042337, 4, 7, 357, 534, 479, 1235, -1, 740, 660, 530, 357, 664
1212, 598, 1198, 573, 15042621, 5, 8, 614, 740, 479, 1235, -1, 241, 138, 289, 457, 614
1212, 598, 1198, 547, 15042621, 4, 8, 457, 740, 479, 1235, -1, 241, 138, 289, 457, 614
1212, 598, 1198, 509, 15042621, 3, 8, 289, 740, 479, 1235, -1, 241, 138, 289, 457, 614
1212, 598, 1198, 460, 15042622, 2, 8, 138, 740, 479, 1235, -1, 241, 138, 289, 457, 614
1212, 598, 1201, 398, 15042622, 1, 8, 241, 740, 479, 1235, -1, 241, 138, 289, 457, 614
1201, 398, 1198, 287, 15043036, 5, 9, 775, 241, 479, 1235, -1, 292, 517, 620, 793, 775
1201, 398, 1198, 287, 15043036, 4, 9, 793, 241, 479, 1235, -1, 292, 517, 620, 793, 775
1201, 398, 1198, 279, 15043036, 3, 9, 620, 241, 479, 1235, -1, 292, 517, 620, 793, 775
1201, 398, 1198, 251, 15043036, 2, 9, 517, 241, 479, 1235, -1, 292, 517, 620, 793, 775
1201, 398, 1198, 219, 15043036, 1, 9, 292, 241, 479, 1235, -1, 292, 517, 620, 793, 775
1198, 219, 1198, 172, 15043424, 2, 10, 168, 292, 479, 1235, -1, 306, 168, 10000000, 10000000, 10000000
1198, 219, 1201, 85, 15043425, 1, 10, 306, 292, 479, 1235, -1, 306, 168, 10000000, 10000000, 10000000
901, 166, 912, -1, 15043487, 3, 8, 738, 23, 479, 1235, -1, 335, 659, 738, 571, 520
901, 166, 917, -1, 15043487, 2, 8, 659, 23, 479, 1235, -1, 335, 659, 738, 571, 520
901, 166, 944, -1, 15043487, 5, 8, 520, 23, 479, 1235, -1, 335, 659, 738, 571, 520
901, 166, 986, -1, 15043487, 1, 8, 335, 23, 479, 1235, -1, 335, 659, 738, 571, 520
986, -1, 1016, -1, 15043836, 3, 9, 165, 335, 479, 1235, -1, 492, 303, 165, 10000000, 10000000
1201, 85, 1201, 49, 15043878, 3, 11, 493, 306, 479, 1235, -1, 479, 312, 493, 492, 10000000
1201, 85, 1246, -1, 15043878, 479, 11, 479, 306, 479, 1235, -1, 479, 312, 493, 492, 10000000
301, 367, 312, 298, 16000200, 5, 1, 788, 465, 425, 374, -1, 103, 378, 555, 256, 788
301, 367, 344, 298, 16000200, 3, 1, 555, 465, 425, 374, -1, 103, 378, 555, 256, 788
301, 367, 384, 298, 16000200, 2, 1, 378, 465, 425, 374, -1, 103, 378, 555, 256, 788
301, 367, 424, 298, 16000200, 4, 1, 256, 465, 425, 374, -1, 103, 378, 555, 256, 788
301, 367, 298, 162, 16000200, 1, 1, 103, 465, 425, 374, -1, 103, 378, 555, 256, 788
298, 162, 301, 103, 16000627, 4, 2, 263, 103, 425, 374, -1, 425, 725, 448, 263, 616
298, 162, 301, 60, 16000628, 3, 2, 448, 103, 425, 374, -1, 425, 725, 448, 263, 616
298, 162, 301, 30, 16000628, 5, 2, 616, 103, 425, 374, -1, 425, 725, 448, 263, 616
298, 162, 374, -1, 16000628, 425, 2, 425, 103, 425, 374, -1, 425, 725, 448, 263, 616
1308, 2101, 1282, 2098, 17000200, 5, 1, 366, 26, 250, 601, 1015, 41, 564, 693, 783, 366
1308, 2101, 1187, 2101, 17000200, 4, 1, 783, 26, 250, 601, 1015, 41, 564, 693, 783, 366
1308, 2101, 1177, 2101, 17000200, 3, 1, 693, 26, 250, 601, 1015, 41, 564, 693, 783, 366
1308, 2101, 1154, 2101, 17000200, 2, 1, 564, 26, 250, 601, 1015, 41, 564, 693, 783, 366
1154, 2101, 1102, 2101, 17004400, 5, 2, 388, 564, 250, 601, 1015, 240, 42, 176, 79, 388
1154, 2101, 1063, 2101, 17004400, 3, 2, 176, 564, 250, 601, 1015, 240, 42, 176, 79, 388
1154, 2101, 1053, 2098, 17004400, 2, 2, 42, 564, 250, 601, 1015, 240, 42, 176, 79, 388
1154, 2101, 1028, 2098, 17004400, 1, 2, 240, 564, 250, 601, 1015, 240, 42, 176, 79, 388
1154, 2101, 1020, 2101, 17004400, 4, 2, 79, 564, 250, 601, 1015, 240, 42, 176, 79, 388
1028, 2098, 826, 2101, 17004763, 4, 3, 471, 240, 250, 601, 1015, 48, 231, 423, 471, 30
1282, 2098, 1198, 2010, 17016400, 2, 2, 392, 366, 250, 601, 1015, 17, 392, 41, 176, 182
1282, 2098, 1201, 1954, 17016400, 1, 2, 17, 366, 250, 601, 1015, 17, 392, 41, 176, 182
