SIGO,PDR,,,,,,,,,,,,,,,,,,,,,,
300,400,500,seed,,,,,,,,,,,,,,,,,,,,
0.6,0.7,0.7,10000,,,,,,,,,,,,,,,,,,,,
0.4,0.9,0.9,11000,,,,,,,,,,,,,,,,,,,,
0.444444444,0.9,0.777777778,11100,,,,,,,,,,,,,,,,,,,,
0.4,0.6,0.9,11110,,,,,,,,,,,,,,,,,,,,
0.444444444,0.7,0.9,20000,,,,,,,,,,,,,,,,,,,,
0.5,0.8,1,22000,,,,,,,,,,,,,,,,,,,,
0.5,0.8,0.9,22200,,,,,,,,,,,,,,,,,,,,
0.5,0.7,1,22220,,,,,,,,,,,,,,,,,,,,
0.5,0.8,0.888888889,30000,,,,,,,,,,,,,,,,,,,,
0.5,0.8,0.8,33000,,,,,,,,,,,,,,,,,,,,
0.3,0.8,0.8,33300,,,,,,,,,,,,,,,,,,,,
0.4,0.7,1,33330,,,,,,,,,,,,,,,,,,,,
0.5,0.7,0.9,40000,,,,,,,,,,,,,,,,,,,,
0.6,0.7,0.9,44000,,,,,,,,,,,,,,,,,,,,
0.6,0.8,0.9,44400,,,,,,,,,,,,,,,,,,,,
0.6,0.8,0.9,44440,,,,,,,,,,,,,,,,,,,,
0.7,0.8,0.9,50000,,,,,,,,,,,,,,,,,,,,
0.8,0.7,0.8,55000,,,,,,,,,,,,,,,,,,,,
0.5,0.8,0.9,55500,,,,,,,,,,,,,,,,,,,,
0.6,0.8,1,55550,,,,,,,,,,,,,,,,,,,,
0.4,0.7,1,60000,,,,,,,,,,,,,,,,,,,,
0.7,0.9,0.7,66000,,,,,,,,,,,,,,,,,,,,
0.7,0.8,0.9,66600,,,,,,,,,,,,,,,,,,,,
0.4,0.9,0.888888889,66660,,,,,,,,,,,,,,,,,,,,
0.6,0.6,0.9,70000,,,,,,,,,,,,,,,,,,,,
0.6,0.8,0.8,77000,,,,,,,,,,,,,,,,,,,,
0.5,0.9,0.8,77700,,,,,,,,,,,,,,,,,,,,
0.6,1,0.9,77770,,,,,,,,,,,,,,,,,,,,
0.5,0.7,0.7,80000,,,,,,,,,,,,,,,,,,,,
0.8,0.7,0.888888889,88000,,,,,,,,,,,,,,,,,,,,
0.5,0.6,0.9,88800,,,,,,,,,,,,,,,,,,,,
0.5,0.9,0.9,88880,,,,,,,,,,,,,,,,,,,,
0.4,0.7,0.9,90000,,,,,,,,,,,,,,,,,,,,
0.5,0.5,0.8,99000,,,,,,,,,,,,,,,,,,,,
0.6,0.7,0.7,99900,,,,,,,,,,,,,,,,,,,,
0.009644586,0.008826147,0.007192321,,,,,,,,,,,,,,,,,,,,,
LSGO,PDR,,,,,,,,,,,,,,,,,,,,,,
300,400,500,seed,,,,,,,,,,,,,,,,,,,,
0.5,0.8,0.8,10000,,,,,,,,,,,,,,,,,,,,
0.6,0.7,0.9,11000,,,,,,,,,,,,,,,,,,,,
0.444444444,0.8,0.888888889,11100,,,,,,,,,,,,,,,,,,,,
0.4,0.5,0.9,11110,,,,,,,,,,,,,,,,,,,,
0.625,0.9,0.9,20000,,,,,,,,,,,,,,,,,,,,
0.4,0.7,0.9,22000,,,,,,,,,,,,,,,,,,,,
0.4,0.8,0.8,22200,,,,,,,,,,,,,,,,,,,,
0.5,0.7,0.9,22220,,,,,,,,,,,,,,,,,,,,
0.4,0.9,0.8,30000,,,,,,,,,,,,,,,,,,,,
0.5,0.5,0.8,33000,,,,,,,,,,,,,,,,,,,,
0.3,0.555555556,0.9,33300,,,,,,,,,,,,,,,,,,,,
0.5,0.7,0.9,33330,,,,,,,,,,,,,,,,,,,,
0.4,0.8,0.8,40000,,,,,,,,,,,,,,,,,,,,
0.5,0.8,0.6,44000,,,,,,,,,,,,,,,,,,,,
