source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
1498, 1182, 1487, 1201, 10000200, 4, 1, 710, 400, 205, 901, 1542, 98, 344, 227, 811, 710
1498, 1182, 1487, 1201, 10000200, 3, 1, 811, 400, 205, 901, 1542, 98, 344, 227, 811, 710
1498, 1182, 1475, 1201, 10000200, 1, 1, 344, 400, 205, 901, 1542, 98, 344, 227, 811, 710
1498, 1182, 1501, 1239, 10000200, 2, 1, 227, 400, 205, 901, 1542, 98, 344, 227, 811, 710
1498, 1182, 1438, 1201, 10000200, 0, 1, 98, 400, 205, 901, 1542, 98, 344, 227, 811, 710
1475, 1201, 1438, 1201, 10005303, 0, 2, 98, 344, 205, 901, 1542, 98, 10000000, 10000000, 10000000, 10000000
1438, 1201, 1264, 1198, 10005562, 0, 3, 118, 98, 205, 901, 1542, 118, 10000000, 10000000, 10000000, 10000000
1264, 1198, 1214, 1198, 10005885, 4, 4, 452, 118, 205, 901, 1542, 62, 853, 789, 612, 452
1264, 1198, 1212, 1198, 10005885, 3, 4, 612, 118, 205, 901, 1542, 62, 853, 789, 612, 452
1264, 1198, 1212, 1198, 10005885, 2, 4, 789, 118, 205, 901, 1542, 62, 853, 789, 612, 452
1264, 1198, 1212, 1198, 10005885, 1, 4, 853, 118, 205, 901, 1542, 62, 853, 789, 612, 452
1264, 1198, 1201, 1282, 10005885, 0, 4, 62, 118, 205, 901, 1542, 62, 853, 789, 612, 452
1212, 1198, 1212, 1198, 10018085, 3, 5, 789, 612, 205, 901, 1542, 62, 553, 853, 789, 452
1212, 1198, 1212, 1198, 10018085, 2, 5, 853, 612, 205, 901, 1542, 62, 553, 853, 789, 452
1212, 1198, 1214, 1198, 10018085, 4, 5, 452, 612, 205, 901, 1542, 62, 553, 853, 789, 452
1212, 1198, 1187, 1201, 10018085, 1, 5, 553, 612, 205, 901, 1542, 62, 553, 853, 789, 452
1212, 1198, 1201, 1282, 10018085, 0, 5, 62, 612, 205, 901, 1542, 62, 553, 853, 789, 452
1201, 1282, 1198, 1416, 10018357, 1, 6, 24, 62, 205, 901, 1542, 373, 24, 10000000, 10000000, 10000000
1201, 1282, 1198, 1481, 10018357, 0, 6, 373, 62, 205, 901, 1542, 373, 24, 10000000, 10000000, 10000000
1198, 1481, 1187, 1501, 10018615, 3, 7, 630, 373, 205, 901, 1542, 149, 438, 764, 630, 199
1198, 1481, 1187, 1501, 10018615, 2, 7, 764, 373, 205, 901, 1542, 149, 438, 764, 630, 199
1198, 1481, 1181, 1501, 10018615, 1, 7, 438, 373, 205, 901, 1542, 149, 438, 764, 630, 199
1198, 1481, 1148, 1501, 10018615, 0, 7, 149, 373, 205, 901, 1542, 149, 438, 764, 630, 199
1198, 1481, 1201, 1540, 10018615, 4, 7, 199, 373, 205, 901, 1542, 149, 438, 764, 630, 199
2098, 854, 2087, 901, 11000200, 4, 1, 695, 282, 234, 1447, 1501, 16, 150, 300, 800, 695
2098, 854, 2087, 901, 11000200, 3, 1, 800, 282, 234, 1447, 1501, 16, 150, 300, 800, 695
2098, 854, 2030, 901, 11000200, 1, 1, 150, 282, 234, 1447, 1501, 16, 150, 300, 800, 695
