source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
931, 1798, 962, 1798, 10000200, 1, 1, 128, 271, 402, 1498, 885, 2, 128, 194, 10000000, 10000000
931, 1798, 898, 1763, 10000200, 2, 1, 194, 271, 402, 1498, 885, 2, 128, 194, 10000000, 10000000
931, 1798, 898, 1720, 10000200, 0, 1, 2, 271, 402, 1498, 885, 2, 128, 194, 10000000, 10000000
1201, 321, 1201, 353, 11000200, 0, 1, 241, 391, 334, 1468, 1801, 241, 10000000, 10000000, 10000000, 10000000
2027, 301, 1998, 301, 12000200, 2, 1, 1, 261, 146, 1726, 1201, 12, 192, 1, 10000000, 10000000
2027, 301, 2101, 360, 12000200, 1, 1, 192, 261, 146, 1726, 1201, 12, 192, 1, 10000000, 10000000
2027, 301, 2101, 407, 12000200, 0, 1, 12, 261, 146, 1726, 1201, 12, 192, 1, 10000000, 10000000
2101, 407, 2098, 533, 12001557, 0, 2, 249, 12, 146, 1726, 1201, 249, 396, 10000000, 10000000, 10000000
2098, 533, 2098, 570, 12001828, 2, 3, 396, 249, 146, 1726, 1201, 348, 160, 396, 10000000, 10000000
2098, 570, 2101, 678, 12010028, 1, 4, 160, 396, 146, 1726, 1201, 348, 160, 10000000, 10000000, 10000000
2101, 678, 2098, 840, 12014229, 0, 5, 282, 160, 146, 1726, 1201, 282, 10000000, 10000000, 10000000, 10000000
2098, 840, 2087, 901, 12014682, 4, 6, 611, 282, 146, 1726, 1201, 16, 300, 508, 665, 611
2098, 840, 2101, 952, 12014682, 1, 6, 300, 282, 146, 1726, 1201, 16, 300, 508, 665, 611
2101, 952, 2101, 1001, 12018882, 0, 7, 16, 300, 146, 1726, 1201, 16, 150, 130, 10000000, 10000000
2101, 952, 2016, 901, 12018882, 1, 7, 150, 300, 146, 1726, 1201, 16, 150, 130, 10000000, 10000000
2101, 952, 2098, 1110, 12018883, 2, 7, 130, 300, 146, 1726, 1201, 16, 150, 130, 10000000, 10000000
2101, 1001, 2098, 1110, 12019154, 2, 8, 130, 16, 146, 1726, 1201, 480, 288, 130, 10000000, 10000000
2101, 1001, 2098, 1145, 12019154, 1, 8, 288, 16, 146, 1726, 1201, 480, 288, 130, 10000000, 10000000
2101, 1001, 2098, 1174, 12019154, 0, 8, 480, 16, 146, 1726, 1201, 480, 288, 130, 10000000, 10000000
2098, 1174, 2082, 1201, 12019477, 2, 9, 505, 480, 146, 1726, 1201, 145, 337, 505, 10000000, 10000000
2098, 1174, 2059, 1201, 12019477, 1, 9, 337, 480, 146, 1726, 1201, 145, 337, 505, 10000000, 10000000
2059, 1201, 2026, 1201, 12023677, 0, 10, 145, 337, 146, 1726, 1201, 145, 10000000, 10000000, 10000000, 10000000
2026, 1201, 1866, 1198, 12024001, 1, 11, 201, 145, 146, 1726, 1201, 575, 201, 53, 10000000, 10000000
1866, 1198, 1798, 1187, 12028201, 4, 12, 619, 201, 146, 1726, 1201, 146, 332, 498, 617, 619
1866, 1198, 1787, 1201, 12028201, 3, 12, 617, 201, 146, 1726, 1201, 146, 332, 498, 617, 619
1866, 1198, 1781, 1201, 12028201, 2, 12, 498, 201, 146, 1726, 1201, 146, 332, 498, 617, 619
1866, 1198, 1759, 1201, 12028201, 1, 12, 332, 201, 146, 1726, 1201, 146, 332, 498, 617, 619
1866, 1198, 1725, 1201, 12028201, 146, 12, 146, 201, 146, 1726, 1201, 146, 332, 498, 617, 619
1759, 1201, 1725, 1201, 12032401, 146, 13, 146, 332, 146, 1726, 1201, 146, 10000000, 10000000, 10000000, 10000000
1498, 1116, 1498, 1092, 13000200, 1, 1, 78, 258, 278, 901, 357, 99, 78, 10000000, 10000000, 10000000
1498, 1116, 1501, 1012, 13000200, 0, 1, 99, 258, 278, 901, 357, 99, 78, 10000000, 10000000, 10000000
1501, 1012, 1458, 901, 13000601, 3, 2, 439, 99, 278, 901, 357, 63, 228, 207, 439, 402
1501, 1012, 1419, 901, 13000601, 2, 2, 207, 99, 278, 901, 357, 63, 228, 207, 439, 402
1501, 1012, 1498, 811, 13000602, 1, 2, 228, 99, 278, 901, 357, 63, 228, 207, 439, 402
1419, 901, 1387, 901, 13009240, 2, 3, 63, 207, 278, 901, 357, 336, 174, 63, 509, 91
1419, 901, 1296, 898, 13009240, 1, 3, 174, 207, 278, 901, 357, 336, 174, 63, 509, 91
1296, 898, 1198, 869, 13013440, 2, 4, 458, 174, 278, 901, 357, 120, 286, 458, 270, 450
1296, 898, 1198, 829, 13013440, 1, 4, 286, 174, 278, 901, 357, 120, 286, 458, 270, 450
1296, 898, 1166, 901, 13013440, 4, 4, 450, 174, 278, 901, 357, 120, 286, 458, 270, 450
1296, 898, 1198, 778, 13013441, 0, 4, 120, 174, 278, 901, 357, 120, 286, 458, 270, 450
1198, 778, 1201, 727, 13013894, 1, 5, 4, 120, 278, 901, 357, 614, 4, 655, 10000000, 10000000
1201, 727, 1174, 601, 13018094, 4, 6, 516, 4, 278, 901, 357, 155, 356, 289, 457, 516
1201, 727, 1198, 567, 13018094, 3, 6, 457, 4, 278, 901, 357, 155, 356, 289, 457, 516
1166, 901, 1133, 901, 13029641, 3, 5, 270, 450, 278, 901, 357, 116, 286, 458, 270, 120
1166, 901, 1198, 869, 13029641, 2, 5, 458, 450, 278, 901, 357, 116, 286, 458, 270, 120
1166, 901, 1097, 901, 13029641, 0, 5, 116, 450, 278, 901, 357, 116, 286, 458, 270, 120
1097, 901, 1014, 898, 13029938, 4, 6, 29, 116, 278, 901, 357, 219, 549, 435, 213, 29
1097, 901, 978, 898, 13029938, 3, 6, 213, 116, 278, 901, 357, 219, 549, 435, 213, 29
1198, 567, 1198, 535, 13030294, 1, 7, 289, 457, 278, 901, 357, 138, 289, 155, 356, 10000000
1198, 567, 1198, 487, 13030295, 0, 7, 138, 457, 278, 901, 357, 138, 289, 155, 356, 10000000
1198, 487, 1201, 375, 13030657, 3, 8, 241, 138, 278, 901, 357, 587, 391, 605, 241, 10000000
1174, 601, 1145, 601, 13034294, 1, 7, 356, 516, 278, 901, 357, 155, 356, 289, 138, 10000000
1174, 601, 1113, 601, 13034294, 0, 7, 155, 516, 278, 901, 357, 155, 356, 289, 138, 10000000
1113, 601, 1025, 598, 13034605, 1, 8, 45, 155, 278, 901, 357, 313, 45, 10000000, 10000000, 10000000
1198, 869, 1198, 828, 13037841, 1, 6, 286, 458, 278, 901, 357, 120, 286, 4, 10000000, 10000000
1198, 869, 1198, 778, 13037841, 0, 6, 120, 458, 278, 901, 357, 120, 286, 4, 10000000, 10000000
1198, 869, 1201, 727, 13037841, 2, 6, 4, 458, 278, 901, 357, 120, 286, 4, 10000000, 10000000
1198, 778, 1201, 727, 13038255, 3, 7, 4, 120, 278, 901, 357, 614, 512, 255, 4, 655
1198, 778, 1201, 684, 13038255, 2, 7, 255, 120, 278, 901, 357, 614, 512, 255, 4, 655
1198, 778, 1222, 598, 13038256, 1, 7, 512, 120, 278, 901, 357, 614, 512, 255, 4, 655
1025, 598, 952, 598, 13038805, 3, 9, 342, 45, 278, 901, 357, 131, 313, 507, 342, 233
1025, 598, 925, 598, 13038805, 2, 9, 507, 45, 278, 901, 357, 131, 313, 507, 342, 233
1025, 598, 898, 495, 13038805, 0, 9, 131, 45, 278, 901, 357, 131, 313, 507, 342, 233
898, 495, 901, 397, 13039246, 2, 10, 133, 131, 278, 901, 357, 278, 482, 133, 588, 459
898, 495, 901, 371, 13039246, 278, 10, 278, 131, 278, 901, 357, 278, 482, 133, 588, 459
901, 332, 901, 371, 13043446, 278, 11, 278, 482, 278, 901, 357, 278, 10000000, 10000000, 10000000, 10000000
898, 494, 901, 371, 13051206, 278, 11, 278, 131, 278, 901, 357, 278, 482, 133, 588, 459
901, 332, 901, 371, 13055406, 278, 12, 278, 482, 278, 901, 357, 278, 10000000, 10000000, 10000000, 10000000
989, 298, 901, 372, 13063665, 278, 13, 278, 260, 278, 901, 357, 278, 482, 133, 588, 459
901, 333, 901, 372, 13067865, 278, 14, 278, 482, 278, 901, 357, 278, 10000000, 10000000, 10000000, 10000000
901, 1594, 885, 1501, 14000200, 4, 1, 610, 205, 398, 857, 601, 252, 640, 545, 404, 610
901, 1594, 912, 1498, 14000200, 1, 1, 640, 205, 398, 857, 601, 252, 640, 545, 404, 610
901, 1594, 923, 1498, 14000200, 2, 1, 545, 205, 398, 857, 601, 252, 640, 545, 404, 610
912, 1498, 923, 1498, 14004508, 4, 2, 545, 640, 398, 857, 601, 3, 40, 252, 367, 545
912, 1498, 898, 1445, 14004509, 3, 2, 367, 640, 398, 857, 601, 3, 40, 252, 367, 545
912, 1498, 898, 1410, 14004509, 2, 2, 252, 640, 398, 857, 601, 3, 40, 252, 367, 545
912, 1498, 898, 1365, 14004509, 1, 2, 40, 640, 398, 857, 601, 3, 40, 252, 367, 545
912, 1498, 901, 1333, 14004509, 0, 2, 3, 640, 398, 857, 601, 3, 40, 252, 367, 545
901, 1333, 887, 1201, 14005462, 1, 3, 622, 3, 398, 857, 601, 358, 622, 525, 360, 183
901, 1333, 878, 1201, 14005462, 2, 3, 525, 3, 398, 857, 601, 358, 622, 525, 360, 183
901, 1333, 851, 1201, 14005463, 3, 3, 360, 3, 398, 857, 601, 358, 622, 525, 360, 183
901, 1333, 812, 1201, 14005463, 4, 3, 183, 3, 398, 857, 601, 358, 622, 525, 360, 183
898, 1365, 901, 1333, 14008970, 3, 3, 3, 40, 398, 857, 601, 525, 195, 384, 3, 360
898, 1365, 901, 1285, 14008970, 1, 3, 195, 40, 398, 857, 601, 525, 195, 384, 3, 360
898, 1365, 878, 1201, 14008970, 0, 3, 525, 40, 398, 857, 601, 525, 195, 384, 3, 360
898, 1365, 952, 1198, 14008970, 2, 3, 384, 40, 398, 857, 601, 525, 195, 384, 3, 360
878, 1201, 887, 1201, 14009228, 2, 4, 622, 525, 398, 857, 601, 358, 71, 622, 360, 183
878, 1201, 851, 1201, 14009228, 3, 4, 360, 525, 398, 857, 601, 358, 71, 622, 360, 183
878, 1201, 812, 1201, 14009229, 4, 4, 183, 525, 398, 857, 601, 358, 71, 622, 360, 183
901, 1285, 887, 1201, 14013170, 1, 4, 622, 195, 398, 857, 601, 358, 622, 525, 360, 183
901, 1285, 878, 1201, 14013170, 2, 4, 525, 195, 398, 857, 601, 358, 622, 525, 360, 183
901, 1285, 851, 1201, 14013170, 3, 4, 360, 195, 398, 857, 601, 358, 622, 525, 360, 183
901, 1285, 812, 1201, 14013170, 4, 4, 183, 195, 398, 857, 601, 358, 622, 525, 360, 183
901, 1285, 898, 1136, 14013171, 0, 4, 358, 195, 398, 857, 601, 358, 622, 525, 360, 183
898, 1136, 898, 1067, 14013507, 0, 5, 71, 358, 398, 857, 601, 71, 115, 10000000, 10000000, 10000000
898, 1136, 901, 1016, 14013507, 1, 5, 115, 358, 398, 857, 601, 71, 115, 10000000, 10000000, 10000000
898, 1067, 901, 1016, 14013856, 1, 6, 115, 71, 398, 857, 601, 549, 115, 10000000, 10000000, 10000000
887, 1201, 878, 1201, 14017370, 2, 5, 525, 622, 398, 857, 601, 358, 71, 525, 360, 183
887, 1201, 851, 1201, 14017370, 3, 5, 360, 622, 398, 857, 601, 358, 71, 525, 360, 183
887, 1201, 812, 1201, 14017371, 4, 5, 183, 622, 398, 857, 601, 358, 71, 525, 360, 183
901, 1016, 952, 898, 14018056, 4, 7, 435, 115, 398, 857, 601, 393, 549, 636, 317, 435
901, 1016, 898, 887, 14018056, 2, 7, 636, 115, 398, 857, 601, 393, 549, 636, 317, 435
901, 1016, 898, 875, 14018056, 1, 7, 549, 115, 398, 857, 601, 393, 549, 636, 317, 435
901, 1016, 810, 901, 14018056, 3, 7, 317, 115, 398, 857, 601, 393, 549, 636, 317, 435
923, 1498, 912, 1498, 14020708, 3, 3, 640, 545, 398, 857, 601, 252, 40, 367, 640, 10000000
923, 1498, 898, 1444, 14020709, 2, 3, 367, 545, 398, 857, 601, 252, 40, 367, 640, 10000000
923, 1498, 898, 1410, 14020709, 0, 3, 252, 545, 398, 857, 601, 252, 40, 367, 640, 10000000
898, 1410, 898, 1365, 14020980, 1, 4, 40, 252, 398, 857, 601, 3, 40, 360, 195, 10000000
898, 1410, 901, 1333, 14020980, 0, 4, 3, 252, 398, 857, 601, 3, 40, 360, 195, 10000000
901, 1333, 887, 1201, 14021394, 1, 5, 622, 3, 398, 857, 601, 358, 622, 525, 360, 183
901, 1333, 878, 1201, 14021394, 2, 5, 525, 3, 398, 857, 601, 358, 622, 525, 360, 183
901, 1333, 812, 1201, 14021395, 4, 5, 183, 3, 398, 857, 601, 358, 622, 525, 360, 183
898, 875, 898, 849, 14022256, 2, 8, 393, 549, 398, 857, 601, 5, 219, 393, 10000000, 10000000
898, 875, 898, 797, 14022257, 1, 8, 219, 549, 398, 857, 601, 5, 219, 393, 10000000, 10000000
898, 875, 898, 761, 14022257, 0, 8, 5, 549, 398, 857, 601, 5, 219, 393, 10000000, 10000000
898, 761, 901, 723, 14022645, 3, 9, 52, 5, 398, 857, 601, 398, 442, 342, 52, 507
898, 761, 901, 651, 14022645, 1, 9, 442, 5, 398, 857, 601, 398, 442, 342, 52, 507
898, 761, 933, 598, 14022645, 4, 9, 507, 5, 398, 857, 601, 398, 442, 342, 52, 507
898, 761, 845, 601, 14022645, 398, 9, 398, 5, 398, 857, 601, 398, 442, 342, 52, 507
901, 651, 845, 601, 14026845, 398, 10, 398, 442, 398, 857, 601, 398, 233, 10000000, 10000000, 10000000
808, 601, 844, 601, 14031046, 398, 11, 398, 233, 398, 857, 601, 398, 131, 10000000, 10000000, 10000000
168, 301, 312, 298, 15000200, 2, 1, 676, 136, 411, 1855, 598, 256, 109, 676, 628, 291
168, 301, 313, 298, 15000200, 3, 1, 628, 136, 411, 1855, 598, 256, 109, 676, 628, 291
312, 298, 370, 298, 15008400, 3, 2, 378, 676, 411, 1855, 598, 43, 11, 256, 378, 397
312, 298, 411, 298, 15008400, 2, 2, 256, 676, 411, 1855, 598, 43, 11, 256, 378, 397
313, 298, 370, 298, 15012400, 4, 2, 378, 628, 411, 1855, 598, 206, 43, 256, 11, 378
313, 298, 411, 298, 15012400, 2, 2, 256, 628, 411, 1855, 598, 206, 43, 256, 11, 378
313, 298, 442, 298, 15012400, 3, 2, 11, 628, 411, 1855, 598, 206, 43, 256, 11, 378
313, 298, 467, 301, 15012400, 1, 2, 43, 628, 411, 1855, 598, 206, 43, 256, 11, 378
313, 298, 499, 301, 15012401, 0, 2, 206, 628, 411, 1855, 598, 206, 43, 256, 11, 378
499, 301, 531, 301, 15012802, 4, 3, 430, 206, 411, 1855, 598, 351, 519, 126, 162, 430
499, 301, 636, 298, 15012802, 1, 3, 519, 206, 411, 1855, 598, 351, 519, 126, 162, 430
499, 301, 601, 435, 15012802, 2, 3, 126, 206, 411, 1855, 598, 351, 519, 126, 162, 430
499, 301, 724, 298, 15012802, 3, 3, 162, 206, 411, 1855, 598, 351, 519, 126, 162, 430
636, 298, 681, 298, 15017002, 2, 4, 351, 519, 411, 1855, 598, 274, 162, 351, 117, 10000000
724, 298, 758, 301, 15025002, 2, 4, 117, 162, 411, 1855, 598, 459, 274, 117, 482, 278
724, 298, 802, 301, 15025003, 1, 4, 274, 162, 411, 1855, 598, 459, 274, 117, 482, 278
724, 298, 843, 301, 15025003, 0, 4, 459, 162, 411, 1855, 598, 459, 274, 117, 482, 278
681, 298, 724, 298, 15025300, 1, 5, 162, 351, 411, 1855, 598, 459, 162, 274, 117, 10000000
681, 298, 758, 301, 15025300, 3, 5, 117, 351, 411, 1855, 598, 459, 162, 274, 117, 10000000
681, 298, 802, 301, 15025300, 2, 5, 274, 351, 411, 1855, 598, 459, 162, 274, 117, 10000000
681, 298, 843, 301, 15025300, 0, 5, 459, 351, 411, 1855, 598, 459, 162, 274, 117, 10000000
