source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
931, 1798, 962, 1798, 10000200, 2, 1, 128, 271, 402, 1498, 885, 2, 128, 194, 10000000, 10000000
931, 1798, 898, 1763, 10000200, 3, 1, 194, 271, 402, 1498, 885, 2, 128, 194, 10000000, 10000000
931, 1798, 898, 1720, 10000200, 1, 1, 2, 271, 402, 1498, 885, 2, 128, 194, 10000000, 10000000
898, 1720, 901, 1542, 10000484, 1, 2, 205, 2, 402, 1498, 885, 205, 10000000, 10000000, 10000000, 10000000
901, 1542, 917, 1498, 10000769, 5, 3, 404, 205, 402, 1498, 885, 84, 214, 252, 40, 404
901, 1542, 945, 1498, 10000769, 2, 3, 214, 205, 402, 1498, 885, 84, 214, 252, 40, 404
901, 1542, 898, 1457, 10000769, 3, 3, 252, 205, 402, 1498, 885, 84, 214, 252, 40, 404
901, 1542, 984, 1498, 10000769, 1, 3, 84, 205, 402, 1498, 885, 84, 214, 252, 40, 404
901, 1542, 898, 1418, 10000769, 4, 3, 40, 205, 402, 1498, 885, 84, 214, 252, 40, 404
945, 1498, 984, 1498, 10004969, 2, 4, 84, 214, 402, 1498, 885, 40, 84, 10000000, 10000000, 10000000
945, 1498, 898, 1418, 10004969, 1, 4, 40, 214, 402, 1498, 885, 40, 84, 10000000, 10000000, 10000000
898, 1763, 898, 1720, 10008897, 1, 2, 2, 194, 402, 1498, 885, 2, 10000000, 10000000, 10000000, 10000000
1201, 321, 1201, 353, 11000200, 1, 1, 241, 391, 334, 1466, 1801, 241, 10000000, 10000000, 10000000, 10000000
2027, 301, 1998, 301, 12000200, 3, 1, 1, 261, 146, 1726, 1201, 12, 192, 1, 10000000, 10000000
2027, 301, 2101, 360, 12000200, 2, 1, 192, 261, 146, 1726, 1201, 12, 192, 1, 10000000, 10000000
2027, 301, 2101, 407, 12000200, 1, 1, 12, 261, 146, 1726, 1201, 12, 192, 1, 10000000, 10000000
1498, 1115, 1498, 1092, 13000200, 3, 1, 78, 258, 278, 901, 357, 504, 99, 78, 10000000, 10000000
1498, 1115, 1501, 1011, 13000200, 2, 1, 99, 258, 278, 901, 357, 504, 99, 78, 10000000, 10000000
1501, 1011, 1501, 931, 13004400, 5, 2, 504, 99, 278, 901, 357, 207, 439, 228, 584, 504
1501, 1011, 1518, 898, 13004400, 4, 2, 584, 99, 278, 901, 357, 207, 439, 228, 584, 504
1501, 1011, 1419, 901, 13004400, 1, 2, 207, 99, 278, 901, 357, 207, 439, 228, 584, 504
1419, 901, 1387, 901, 13005288, 4, 3, 63, 207, 278, 901, 357, 737, 336, 174, 63, 10000000
1518, 898, 1458, 901, 13016600, 5, 3, 439, 584, 278, 901, 357, 82, 228, 207, 63, 439
1518, 898, 1498, 811, 13016601, 2, 3, 228, 584, 278, 901, 357, 82, 228, 207, 63, 439
1518, 898, 1418, 901, 13016601, 3, 3, 207, 584, 278, 901, 357, 82, 228, 207, 63, 439
1518, 898, 1387, 901, 13016601, 4, 3, 63, 584, 278, 901, 357, 82, 228, 207, 63, 439
1387, 901, 1296, 898, 13017489, 3, 4, 174, 63, 278, 901, 357, 615, 737, 174, 91, 10000000
