source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
1841, 1198, 1798, 1187, 10000200, 4, 1, 813, 201, 315, 898, 277, 154, 146, 353, 332, 813
1841, 1198, 1798, 1175, 10000200, 2, 1, 353, 201, 315, 898, 277, 154, 146, 353, 332, 813
1841, 1198, 1798, 1151, 10000200, 0, 1, 154, 201, 315, 898, 277, 154, 146, 353, 332, 813
1841, 1198, 1776, 1201, 10000200, 3, 1, 332, 201, 315, 898, 277, 154, 146, 353, 332, 813
1841, 1198, 1752, 1201, 10000200, 1, 1, 146, 201, 315, 898, 277, 154, 146, 353, 332, 813
1798, 1175, 1798, 1151, 10008666, 0, 2, 154, 353, 315, 898, 277, 154, 146, 10000000, 10000000, 10000000
1798, 1175, 1752, 1201, 10008666, 1, 2, 146, 353, 315, 898, 277, 154, 146, 10000000, 10000000, 10000000
598, 847, 612, 898, 11000200, 3, 1, 644, 202, 458, 1198, 885, 90, 266, 470, 644, 846
598, 847, 612, 898, 11000200, 4, 1, 846, 202, 458, 1198, 885, 90, 266, 470, 644, 846
598, 847, 616, 898, 11000200, 2, 1, 470, 202, 458, 1198, 885, 90, 266, 470, 644, 846
598, 847, 642, 898, 11000200, 1, 1, 266, 202, 458, 1198, 885, 90, 266, 470, 644, 846
598, 847, 678, 898, 11000200, 0, 1, 90, 202, 458, 1198, 885, 90, 266, 470, 644, 846
642, 898, 678, 898, 11005791, 0, 2, 90, 266, 458, 1198, 885, 90, 10000000, 10000000, 10000000, 10000000
301, 1873, 298, 1787, 12000200, 4, 1, 836, 226, 153, 220, 901, 144, 320, 894, 875, 836
301, 1873, 298, 1787, 12000200, 3, 1, 875, 226, 153, 220, 901, 144, 320, 894, 875, 836
301, 1873, 298, 1787, 12000200, 2, 1, 894, 226, 153, 220, 901, 144, 320, 894, 875, 836
301, 1873, 298, 1732, 12000200, 0, 1, 144, 226, 153, 220, 901, 144, 320, 894, 875, 836
298, 1787, 298, 1787, 12008827, 4, 2, 740, 894, 153, 220, 901, 144, 320, 875, 836, 740
298, 1787, 298, 1787, 12008827, 3, 2, 836, 894, 153, 220, 901, 144, 320, 875, 836, 740
298, 1787, 298, 1787, 12008827, 2, 2, 875, 894, 153, 220, 901, 144, 320, 875, 836, 740
298, 1787, 298, 1767, 12008827, 1, 2, 320, 894, 153, 220, 901, 144, 320, 875, 836, 740
298, 1787, 298, 1732, 12008827, 0, 2, 144, 894, 153, 220, 901, 144, 320, 875, 836, 740
298, 1767, 298, 1732, 12013027, 1, 3, 144, 320, 153, 220, 901, 132, 144, 10000000, 10000000, 10000000
298, 1767, 301, 1595, 12013027, 0, 3, 132, 320, 153, 220, 901, 132, 144, 10000000, 10000000, 10000000
301, 1595, 257, 1501, 12013299, 4, 4, 330, 132, 153, 220, 901, 193, 380, 574, 173, 330
301, 1595, 298, 1485, 12013299, 2, 4, 574, 132, 153, 220, 901, 193, 380, 574, 173, 330
301, 1595, 298, 1464, 12013299, 1, 4, 380, 132, 153, 220, 901, 193, 380, 574, 173, 330
298, 1464, 298, 1429, 12017499, 1, 5, 193, 380, 153, 220, 901, 19, 193, 175, 10000000, 10000000
298, 1464, 298, 1398, 12017499, 0, 5, 19, 380, 153, 220, 901, 19, 193, 175, 10000000, 10000000
298, 1398, 301, 1314, 12017835, 2, 6, 56, 19, 153, 220, 901, 609, 427, 56, 10000000, 10000000
298, 1398, 301, 1235, 12017836, 1, 6, 427, 19, 153, 220, 901, 609, 427, 56, 10000000, 10000000
301, 1235, 298, 1187, 12022036, 3, 7, 687, 427, 153, 220, 901, 112, 273, 488, 687, 105
301, 1235, 298, 1174, 12022036, 2, 7, 488, 427, 153, 220, 901, 112, 273, 488, 687, 105
301, 1235, 298, 1152, 12022036, 1, 7, 273, 427, 153, 220, 901, 112, 273, 488, 687, 105
301, 1235, 200, 1201, 12022036, 4, 7, 105, 427, 153, 220, 901, 112, 273, 488, 687, 105
301, 1235, 298, 1111, 12022036, 0, 7, 112, 427, 153, 220, 901, 112, 273, 488, 687, 105
257, 1501, 218, 1501, 12029499, 4, 5, 173, 330, 153, 220, 901, 380, 19, 193, 574, 173
257, 1501, 298, 1485, 12029499, 3, 5, 574, 330, 153, 220, 901, 380, 19, 193, 574, 173
298, 1485, 298, 1464, 12041699, 3, 6, 380, 574, 153, 220, 901, 56, 19, 193, 380, 10000000
298, 1485, 298, 1429, 12041699, 2, 6, 193, 574, 153, 220, 901, 56, 19, 193, 380, 10000000
