source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
298, 1170, 301, 1219, 10000200, 4, 1, 427, 273, 182, 1198, 2059, 56, 175, 236, 427, 588
298, 1170, 338, 1198, 10000200, 3, 1, 236, 273, 182, 1198, 2059, 56, 175, 236, 427, 588
338, 1198, 301, 1288, 10008400, 1, 2, 56, 236, 182, 1198, 2059, 56, 10000000, 10000000, 10000000, 10000000
496, 1801, 581, 1801, 11000200, 4, 1, 507, 86, 52, 901, 685, 529, 159, 649, 507, 338
496, 1801, 587, 1801, 11000200, 3, 1, 649, 86, 52, 901, 685, 529, 159, 649, 507, 338
496, 1801, 613, 1798, 11000200, 1, 1, 529, 86, 52, 901, 685, 529, 159, 649, 507, 338
496, 1801, 634, 1798, 11000200, 5, 1, 338, 86, 52, 901, 685, 529, 159, 649, 507, 338
496, 1801, 662, 1798, 11000200, 2, 1, 159, 86, 52, 901, 685, 529, 159, 649, 507, 338
613, 1798, 598, 1787, 11000484, 5, 2, 560, 529, 52, 901, 685, 37, 210, 372, 699, 560
613, 1798, 598, 1787, 11000484, 4, 2, 699, 529, 52, 901, 685, 37, 210, 372, 699, 560
613, 1798, 598, 1776, 11000484, 3, 2, 372, 529, 52, 901, 685, 37, 210, 372, 699, 560
613, 1798, 598, 1749, 11000484, 2, 2, 210, 529, 52, 901, 685, 37, 210, 372, 699, 560
613, 1798, 598, 1700, 11000484, 1, 2, 37, 529, 52, 901, 685, 37, 210, 372, 699, 560
598, 1700, 601, 1581, 11001606, 1, 3, 110, 37, 52, 901, 685, 110, 10000000, 10000000, 10000000, 10000000
601, 1581, 617, 1498, 11001994, 2, 4, 501, 110, 52, 901, 685, 412, 501, 242, 104, 10000000
601, 1581, 598, 1476, 11001994, 1, 4, 412, 110, 52, 901, 685, 412, 501, 242, 104, 10000000
601, 1581, 515, 1501, 11001994, 4, 4, 104, 110, 52, 901, 685, 412, 501, 242, 104, 10000000
601, 1581, 598, 1444, 11001994, 3, 4, 242, 110, 52, 901, 685, 412, 501, 242, 104, 10000000
598, 1476, 598, 1444, 11002408, 1, 5, 242, 412, 52, 901, 685, 242, 10000000, 10000000, 10000000, 10000000
634, 1798, 662, 1798, 11016400, 4, 2, 159, 338, 52, 901, 685, 37, 210, 372, 159, 699
634, 1798, 598, 1787, 11016400, 5, 2, 699, 338, 52, 901, 685, 37, 210, 372, 159, 699
634, 1798, 598, 1776, 11016400, 3, 2, 372, 338, 52, 901, 685, 37, 210, 372, 159, 699
634, 1798, 598, 1749, 11016400, 2, 2, 210, 338, 52, 901, 685, 37, 210, 372, 159, 699
634, 1798, 598, 1700, 11016400, 1, 2, 37, 338, 52, 901, 685, 37, 210, 372, 159, 699
598, 1700, 601, 1582, 11016698, 1, 3, 110, 37, 52, 901, 685, 110, 104, 10000000, 10000000, 10000000
598, 1700, 515, 1501, 11016698, 2, 3, 104, 37, 52, 901, 685, 110, 104, 10000000, 10000000, 10000000
601, 1582, 617, 1498, 11017125, 2, 4, 501, 110, 52, 901, 685, 412, 501, 242, 104, 10000000
601, 1582, 598, 1475, 11017125, 1, 4, 412, 110, 52, 901, 685, 412, 501, 242, 104, 10000000
601, 1582, 515, 1501, 11017125, 4, 4, 104, 110, 52, 901, 685, 412, 501, 242, 104, 10000000
601, 1582, 598, 1443, 11017125, 3, 4, 242, 110, 52, 901, 685, 412, 501, 242, 104, 10000000
598, 1475, 598, 1443, 11017383, 1, 5, 242, 412, 52, 901, 685, 242, 10000000, 10000000, 10000000, 10000000
301, 1235, 301, 1269, 12000200, 2, 1, 175, 427, 304, 598, 2043, 56, 175, 19, 10000000, 10000000
301, 1235, 301, 1314, 12000200, 1, 1, 56, 427, 304, 598, 2043, 56, 175, 19, 10000000, 10000000
301, 1235, 298, 1398, 12000200, 3, 1, 19, 427, 304, 598, 2043, 56, 175, 19, 10000000, 10000000
301, 1314, 298, 1398, 12000549, 1, 2, 19, 56, 304, 598, 2043, 19, 173, 193, 10000000, 10000000
301, 1314, 298, 1429, 12000549, 3, 2, 193, 56, 304, 598, 2043, 19, 173, 193, 10000000, 10000000
298, 1398, 298, 1485, 12000950, 4, 3, 559, 19, 304, 598, 2043, 132, 221, 429, 559, 279
298, 1398, 333, 1498, 12000950, 3, 3, 429, 19, 304, 598, 2043, 132, 221, 429, 559, 279
298, 1398, 366, 1498, 12000950, 2, 3, 221, 19, 304, 598, 2043, 132, 221, 429, 559, 279
366, 1498, 301, 1595, 12005758, 1, 4, 132, 221, 304, 598, 2043, 132, 104, 279, 10000000, 10000000
333, 1498, 366, 1498, 12009231, 3, 4, 221, 429, 304, 598, 2043, 132, 279, 221, 10000000, 10000000
333, 1498, 301, 1550, 12009231, 2, 4, 279, 429, 304, 598, 2043, 132, 279, 221, 10000000, 10000000
333, 1498, 301, 1595, 12009231, 1, 4, 132, 429, 304, 598, 2043, 132, 279, 221, 10000000, 10000000
708, 898, 612, 898, 13000200, 5, 1, 723, 90, 365, 598, 869, 552, 752, 688, 770, 723
708, 898, 612, 898, 13000200, 4, 1, 770, 90, 365, 598, 869, 552, 752, 688, 770, 723
708, 898, 598, 887, 13000200, 3, 1, 688, 90, 365, 598, 869, 552, 752, 688, 770, 723
708, 898, 598, 887, 13000200, 2, 1, 752, 90, 365, 598, 869, 552, 752, 688, 770, 723
708, 898, 598, 860, 13000200, 365, 1, 365, 90, 365, 598, 869, 552, 752, 688, 770, 723
74, 1498, 37, 1498, 14000200, 4, 1, 474, 294, 100, -1, 1685, 440, 600, 646, 474, 668
74, 1498, 18, 1498, 14000200, 3, 1, 646, 294, 100, -1, 1685, 440, 600, 646, 474, 668
74, 1498, 1, 1521, 14000200, 2, 1, 600, 294, 100, -1, 1685, 440, 600, 646, 474, 668
74, 1498, -1, 1485, 14000200, 5, 1, 668, 294, 100, -1, 1685, 440, 600, 646, 474, 668
74, 1498, 1, 1551, 14000200, 1, 1, 440, 294, 100, -1, 1685, 440, 600, 646, 474, 668
1, 1551, -1, 1685, 14002017, 100, 2, 100, 440, 100, -1, 1685, 100, 10000000, 10000000, 10000000, 10000000
2098, 1660, 2101, 1638, 15000200, 3, 1, 9, 60, 386, 1553, 898, 658, 301, 9, 513, 10000000
2098, 1660, 2101, 1586, 15000200, 2, 1, 301, 60, 386, 1553, 898, 658, 301, 9, 513, 10000000
99, 298, 150, 298, 16000200, 2, 1, 97, 277, 5, 898, 730, 272, 97, 136, 456, 10000000
99, 298, 156, 301, 16000200, 3, 1, 136, 277, 5, 898, 730, 272, 97, 136, 456, 10000000
99, 298, 229, 301, 16000200, 4, 1, 456, 277, 5, 898, 730, 272, 97, 136, 456, 10000000
150, 298, 156, 301, 16004400, 5, 2, 136, 97, 5, 898, 730, 291, 628, 272, 456, 136
150, 298, 202, 301, 16004400, 3, 2, 272, 97, 5, 898, 730, 291, 628, 272, 456, 136
150, 298, 229, 301, 16004400, 4, 2, 456, 97, 5, 898, 730, 291, 628, 272, 456, 136
202, 301, 301, 368, 16012600, 4, 3, 465, 272, 5, 898, 730, 256, 378, 291, 465, 555
202, 301, 344, 298, 16012600, 5, 3, 555, 272, 5, 898, 730, 256, 378, 291, 465, 555
202, 301, 384, 298, 16012600, 2, 3, 378, 272, 5, 898, 730, 256, 378, 291, 465, 555
384, 298, 424, 298, 16016801, 3, 4, 256, 378, 5, 898, 730, 430, 11, 256, 206, 43
384, 298, 456, 298, 16016801, 2, 4, 11, 378, 5, 898, 730, 430, 11, 256, 206, 43
384, 298, 455, 301, 16016801, 5, 4, 43, 378, 5, 898, 730, 430, 11, 256, 206, 43
384, 298, 488, 301, 16016801, 4, 4, 206, 378, 5, 898, 730, 430, 11, 256, 206, 43
384, 298, 517, 301, 16016801, 1, 4, 430, 378, 5, 898, 730, 430, 11, 256, 206, 43
517, 301, 601, 364, 16017072, 2, 5, 508, 430, 5, 898, 730, 126, 508, 351, 537, 162
517, 301, 654, 298, 16017072, 4, 5, 537, 430, 5, 898, 730, 126, 508, 351, 537, 162
517, 301, 601, 450, 16017072, 1, 5, 126, 430, 5, 898, 730, 126, 508, 351, 537, 162
601, 450, 598, 423, 16017526, 3, 6, 44, 126, 5, 898, 730, 502, 651, 44, 10000000, 10000000
601, 450, 631, 598, 16017526, 2, 6, 651, 126, 5, 898, 730, 502, 651, 44, 10000000, 10000000
601, 450, 670, 598, 16017526, 1, 6, 502, 126, 5, 898, 730, 502, 651, 44, 10000000, 10000000
670, 598, 720, 598, 16017940, 4, 7, 218, 502, 5, 898, 730, 398, 233, 18, 218, 10000000
670, 598, 748, 598, 16017940, 3, 7, 18, 502, 5, 898, 730, 398, 233, 18, 218, 10000000
670, 598, 785, 601, 16017940, 2, 7, 233, 502, 5, 898, 730, 398, 233, 18, 218, 10000000
785, 601, 818, 601, 16022141, 5, 8, 398, 233, 5, 898, 730, 442, 52, 599, 525, 398
785, 601, 901, 637, 16022141, 3, 8, 599, 233, 5, 898, 730, 442, 52, 599, 525, 398
785, 601, 901, 681, 16022141, 1, 8, 442, 233, 5, 898, 730, 442, 52, 599, 525, 398
785, 601, 955, 598, 16022141, 4, 8, 525, 233, 5, 898, 730, 442, 52, 599, 525, 398
785, 601, 898, 729, 16022141, 5, 8, 5, 233, 5, 898, 730, 442, 52, 599, 525, 398
1198, 1946, 1201, 1954, 17000200, 4, 1, 17, 41, 126, 601, 450, 419, 500, 197, 17, 10000000
1198, 1946, 1201, 1927, 17000200, 3, 1, 197, 41, 126, 601, 450, 419, 500, 197, 17, 10000000
1198, 1946, 1201, 1895, 17000200, 1, 1, 419, 41, 126, 601, 450, 419, 500, 197, 17, 10000000
1201, 1895, 1118, 1801, 17000471, 2, 2, 500, 419, 126, 601, 450, 431, 500, 314, 408, 114
1118, 1801, 1068, 1801, 17005177, 2, 3, 314, 500, 126, 601, 450, 128, 314, 271, 10000000, 10000000
1068, 1801, 1049, 1798, 17009377, 5, 4, 128, 314, 126, 601, 450, 687, 751, 627, 271, 128
213, 2101, 244, 2101, 18000200, 2, 1, 654, 497, 64, 1695, 298, 329, 654, 171, 10000000, 10000000
244, 2101, 420, 2098, 18004840, 1, 2, 329, 654, 64, 1695, 298, 329, 171, 10000000, 10000000, 10000000
420, 2098, 461, 2098, 18005417, 2, 3, 171, 329, 64, 1695, 298, 445, 171, 108, 295, 10000000
420, 2098, 496, 2101, 18005417, 1, 3, 445, 329, 64, 1695, 298, 445, 171, 108, 295, 10000000
601, 493, 601, 402, 19000200, 3, 1, 508, 126, 43, 423, 301, 604, 44, 508, 703, 206
601, 493, 598, 377, 19000200, 2, 1, 44, 126, 43, 423, 301, 604, 44, 508, 703, 206
598, 377, 516, 301, 19004498, 3, 2, 604, 44, 43, 423, 301, 256, 430, 604, 11, 206
516, 301, 496, 298, 19012698, 3, 3, 11, 604, 43, 423, 301, 43, 206, 11, 430, 378
516, 301, 478, 301, 19012698, 4, 3, 430, 604, 43, 423, 301, 43, 206, 11, 430, 378
516, 301, 455, 301, 19012698, 2, 3, 206, 604, 43, 423, 301, 43, 206, 11, 430, 378
516, 301, 425, 298, 19012698, 5, 3, 378, 604, 43, 423, 301, 43, 206, 11, 430, 378
516, 301, 423, 301, 19012698, 43, 3, 43, 604, 43, 423, 301, 43, 206, 11, 430, 378
1365, 1198, 1389, 1198, 20000200, 5, 1, 118, 267, 63, 1304, 901, 167, 452, 597, 98, 118
1365, 1198, 1329, 1198, 20000200, 2, 1, 452, 267, 63, 1304, 901, 167, 452, 597, 98, 118
1365, 1198, 1315, 1201, 20000200, 4, 1, 98, 267, 63, 1304, 901, 167, 452, 597, 98, 118
1365, 1198, 1281, 1198, 20000200, 3, 1, 597, 267, 63, 1304, 901, 167, 452, 597, 98, 118
1642, 2098, 1607, 2098, 21000200, 5, 1, 549, 446, 363, 1, 149, 535, 331, 124, 696, 549
1642, 2098, 1563, 2098, 21000200, 4, 1, 696, 446, 363, 1, 149, 535, 331, 124, 696, 549
1642, 2098, 1498, 1957, 21000200, 2, 1, 331, 446, 363, 1, 149, 535, 331, 124, 696, 549
1498, 1957, 1501, 1925, 21004734, 3, 2, 455, 331, 363, 1, 149, 67, 152, 455, 630, 163
1498, 1957, 1498, 1910, 21004734, 2, 2, 152, 331, 363, 1, 149, 67, 152, 455, 630, 163
1498, 1957, 1501, 1894, 21004734, 4, 2, 630, 331, 363, 1, 149, 67, 152, 455, 630, 163
1498, 1910, 1501, 1894, 21009240, 5, 3, 630, 152, 363, 1, 149, 408, 217, 787, 759, 630
1498, 1910, 1383, 1798, 21009240, 2, 3, 217, 152, 363, 1, 149, 408, 217, 787, 759, 630
1563, 2098, 1501, 2027, 21012400, 4, 2, 124, 696, 363, 1, 149, 331, 535, 152, 124, 285
1563, 2098, 1501, 1981, 21012400, 5, 2, 285, 696, 363, 1, 149, 331, 535, 152, 124, 285
1563, 2098, 1498, 1980, 21012400, 2, 2, 535, 696, 363, 1, 149, 331, 535, 152, 124, 285
1501, 1925, 1498, 1785, 21013223, 4, 3, 787, 455, 363, 1, 149, 707, 334, 759, 787, 528
1501, 1925, 1498, 1768, 21013223, 3, 3, 759, 455, 363, 1, 149, 707, 334, 759, 787, 528
1498, 1768, 1498, 1739, 21021423, 5, 4, 707, 759, 363, 1, 149, 246, 390, 562, 276, 707
1498, 1768, 1498, 1691, 21021423, 3, 4, 562, 759, 363, 1, 149, 246, 390, 562, 276, 707
1498, 1768, 1501, 1659, 21021423, 4, 4, 276, 759, 363, 1, 149, 246, 390, 562, 276, 707
1498, 1768, 1498, 1659, 21021423, 2, 4, 390, 759, 363, 1, 149, 246, 390, 562, 276, 707
1498, 1768, 1498, 1627, 21021423, 1, 4, 246, 759, 363, 1, 149, 246, 390, 562, 276, 707
1498, 1627, 1501, 1626, 21021772, 5, 5, 463, 246, 363, 1, 149, 416, 618, 243, 76, 463
1498, 1627, 1501, 1579, 21021772, 2, 5, 618, 246, 363, 1, 149, 416, 618, 243, 76, 463
1498, 1627, 1434, 1498, 21021773, 4, 5, 76, 246, 363, 1, 149, 416, 618, 243, 76, 463
1498, 1627, 1372, 1498, 21021773, 1, 5, 416, 246, 363, 1, 149, 416, 618, 243, 76, 463
1501, 1626, 1501, 1579, 21037972, 5, 6, 618, 463, 363, 1, 149, 506, 243, 76, 444, 618
1501, 1626, 1409, 1498, 21037973, 2, 6, 243, 463, 363, 1, 149, 506, 243, 76, 444, 618
1409, 1498, 1313, 1498, 21042173, 2, 7, 581, 243, 363, 1, 149, 234, 581, 697, 62, 756
1409, 1498, 1294, 1501, 21042173, 1, 7, 234, 243, 363, 1, 149, 234, 581, 697, 62, 756
1409, 1498, 1201, 1430, 21042173, 4, 7, 62, 243, 363, 1, 149, 234, 581, 697, 62, 756
1294, 1501, 1214, 1498, 21042457, 5, 8, 786, 234, 363, 1, 149, 556, 62, 84, 697, 786
1294, 1501, 1198, 1441, 21042457, 4, 8, 697, 234, 363, 1, 149, 556, 62, 84, 697, 786
1294, 1501, 1201, 1430, 21042457, 2, 8, 62, 234, 363, 1, 149, 556, 62, 84, 697, 786
1294, 1501, 1198, 1394, 21042458, 1, 8, 556, 234, 363, 1, 149, 556, 62, 84, 697, 786
1294, 1501, 1139, 1498, 21042458, 3, 8, 84, 234, 363, 1, 149, 556, 62, 84, 697, 786
1198, 1394, 1198, 1348, 21042742, 3, 9, 373, 556, 363, 1, 149, 24, 178, 373, 10000000, 10000000
1198, 1394, 1198, 1326, 21042742, 2, 9, 178, 556, 363, 1, 149, 24, 178, 373, 10000000, 10000000
1198, 1394, 1198, 1245, 21042742, 1, 9, 24, 556, 363, 1, 149, 24, 178, 373, 10000000, 10000000
