source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id ,send_log
56, 82, 198, 10299999, 1, 27, 129, 17, 313, 238, 1, 0.846539, 0.931499, 0.570125, 0.551547, 196, 0, 0, 0, 1, 0, 1
17, 112, 201, 10300200, 2, 159, 249, 368, 313, 27, 1, 1, 1, 1, 0.864579, 196, 0, 0, 1, 1, 0, 0
129, 159, 201, 10300200, 2, 344, 27, 71, 132, 159, 1, 0.972652, 0.882364, 1, 0.970294, 196, 1, 0, 0, 0, 0, 1
238, 181, 201, 10300200, 2, 71, 27, 23, 13, 159, 1, 0.972652, 0.972263, 0.847886, 0.966345, 196, 0, 0, 0, 0, 0, 0
313, 201, 212, 10300200, 2, 305, 27, 386, 23, 13, 0.687088, 0.972652, 0.646598, 0.972263, 0.847886, 196, 1, 0, 1, 0, 0, 0
344, 198, 187, 10304787, 3, 363, 366, 27, 13, 132, 1, 1, 0.97217, 0.945096, 1, 196, 1, 1, 0, 0, 0, 1
132, 201, 245, 10304787, 3, 305, 299, 399, 386, 366, 0.757041, 0.875616, 0.646195, 0.430852, 0.215391, 196, 1, 0, 1, 1, 1, 0
159, 241, 198, 10304787, 3, 314, 27, 356, 197, 244, 0.875804, 0.97217, 0.639311, 0.68598, 0.60966, 196, 1, 0, 1, 0, 0, 0
71, 323, 201, 10304787, 3, 88, 117, 356, 314, 118, 0.963624, 1, 1, 1, 0.969133, 196, 0, 0, 1, 1, 0, 1
132, 201, 245, 10305374, 4, 305, 299, 399, 386, 366, 0.756957, 0.875391, 0.646154, 0.430825, 0.215377, 196, 1, 0, 1, 1, 1, 0
27, 278, 198, 10305374, 4, 71, 197, 117, 244, 241, 0.969804, 0.846118, 0.638617, 0.609551, 0.646375, 196, 0, 0, 0, 1, 0, 0
314, 412, 198, 10313375, 4, 312, 380, 41, 88, 137, 1, 0.907301, 1, 0.966783, 0.159545, 196, 1, 1, 0, 0, 1, 0
356, 412, 198, 10313375, 4, 41, 88, 312, 380, 122, 1, 0.966783, 0.430117, 0.36301, 0.120821, 196, 0, 0, 1, 1, 1, 0
88, 495, 198, 10313375, 4, 380, 312, 287, 137, 122, 0.859267, 0.842543, 0.607697, 0.797727, 0.945407, 196, 1, 1, 1, 0, 0, 1
122, 553, 201, 10313962, 5, 86, 114, 102, 380, 312, 1, 0.970904, 1, 1, 1, 196, 0, 0, 0, 1, 1, 0
312, 587, 201, 10313962, 5, 286, 206, 86, 102, 114, 1, 1, 1, 1, 0.863026, 196, 0, 0, 0, 0, 0, 0
380, 587, 201, 10313962, 5, 272, 385, 319, 47, 114, 0.947175, 0.786134, 0.768384, 0.873424, 0.970904, 196, 0, 1, 1, 0, 0, 1
287, 620, 198, 10313962, 5, 350, 316, 319, 345, 114, 0.634976, 0.605533, 0.638313, 0.603957, 0.970904, 196, 1, 1, 1, 1, 0, 0
137, 647, 198, 10313962, 5, 319, 345, 359, 389, 213, 1, 0.936494, 0.882766, 0.634799, 1, 196, 1, 1, 1, 1, 0, 0
114, 601, 262, 10314549, 6, 47, 206, 286, 290, 347, 1, 0.759567, 0.550193, 0.537325, 0.317349, 196, 0, 0, 0, 0, 1, 0
47, 598, 315, 10314550, 6, 21, 179, 286, 347, 290, 0.969392, 0.969529, 1, 1, 1, 196, 0, 0, 0, 1, 0, 1
305, 198, 387, 10321962, 5, 188, 65, 45, 205, 274, 1, 1, 0.861571, 1, 1, 196, 0, 0, 0, 0, 0, 1
386, 198, 387, 10321962, 5, 188, 65, 45, 205, 274, 1, 1, 0.861571, 1, 1, 196, 0, 0, 0, 0, 0, 0
399, 198, 387, 10321962, 5, 65, 45, 188, 205, 274, 1, 0.861571, 0.97059, 1, 1, 196, 0, 0, 0, 0, 0, 0
299, 201, 419, 10321962, 5, 67, 45, 188, 65, 205, 0.120599, 0.861571, 1, 1, 1, 196, 1, 0, 0, 0, 0, 0
274, 219, 398, 10322549, 6, 45, 188, 65, 18, 395, 0.969206, 1, 0.965638, 0.643676, 0.477796, 196, 0, 0, 0, 0, 1, 0
188, 248, 398, 10322549, 6, 372, 278, 45, 335, 168, 1, 0.794817, 0.969206, 0.646089, 0.646892, 196, 1, 0, 0, 1, 0, 1
205, 201, 446, 10322549, 6, 210, 45, 65, 222, 188, 0.772363, 0.753827, 1, 0.752571, 0.862692, 196, 0, 0, 0, 0, 0, 0
65, 201, 486, 10322549, 6, 210, 276, 222, 113, 45, 0.755517, 0.694237, 0.633444, 0.722286, 0.538448, 196, 0, 0, 0, 0, 0, 1
45, 283, 398, 10323136, 7, 395, 300, 278, 166, 372, 0.912166, 0.843519, 0.860916, 0.698347, 0.684393, 196, 1, 1, 0, 0, 1, 0
168, 354, 401, 10323136, 7, 24, 166, 104, 217, 279, 1, 1, 0.969543, 1, 1, 196, 0, 0, 0, 0, 0, 0
278, 379, 401, 10323136, 7, 351, 302, 154, 24, 104, 1, 0.969583, 0.159056, 1, 1, 196, 1, 1, 1, 0, 0, 1
335, 387, 401, 10323136, 7, 347, 24, 115, 104, 166, 1, 1, 1, 1, 1, 196, 1, 0, 0, 0, 0, 0
113, 198, 532, 10327136, 7, 295, 67, 210, 276, 107, 0.189265, 0.970117, 1, 0.966544, 0.643356, 196, 1, 0, 0, 0, 0, 0
222, 198, 564, 10327136, 7, 184, 246, 271, 136, 67, 0.120559, 0.137019, 0.188247, 0.187759, 1, 196, 1, 1, 1, 1, 0, 0
276, 201, 618, 10327136, 7, 324, 107, 67, 210, 10, 0.304292, 0.965034, 0.970117, 0.96605, 0.548617, 196, 1, 0, 0, 0, 0, 0
210, 201, 645, 10327136, 7, 55, 107, 67, 10, 295, 0.214802, 0.750582, 0.970117, 0.793162, 0.603124, 196, 1, 0, 0, 0, 0, 1
290, 598, 378, 10327137, 7, 85, 179, 21, 35, 120, 1, 1, 0.860515, 0.860663, 0.965837, 196, 0, 0, 0, 0, 0, 0
286, 601, 419, 10327137, 7, 21, 35, 332, 179, 130, 1, 0.860663, 0.633582, 1, 0.635522, 196, 0, 0, 1, 0, 0, 1
351, 398, 387, 10327723, 8, 24, 104, 166, 217, 279, 0.967277, 1, 1, 1, 0.968568, 196, 0, 0, 0, 0, 0, 1
302, 398, 387, 10327723, 8, 166, 24, 104, 217, 279, 1, 0.859802, 0.969064, 1, 0.968568, 196, 0, 0, 0, 0, 0, 0
104, 401, 467, 10327723, 8, 115, 154, 24, 10000000, 10000000, 0.861719, 0.482225, 0.644851, 0, 0, 196, 0, 0, 0, 1, 1, 0
67, 201, 691, 10327724, 8, 324, 246, 295, 107, 178, 0.843568, 0.903954, 0.946218, 0.536096, 0.646503, 196, 1, 0, 0, 0, 0, 1
10, 198, 712, 10327724, 8, 324, 271, 136, 246, 3, 0.969141, 0.859195, 0.644017, 1, 0.536785, 196, 1, 1, 1, 0, 0, 0
295, 198, 780, 10327724, 8, 136, 3, 271, 324, 246, 1, 0.858856, 1, 1, 1, 196, 0, 0, 0, 1, 0, 0
279, 419, 398, 10328310, 9, 24, 144, 104, 166, 53, 0.967216, 0.699547, 0.969003, 1, 0.682784, 196, 0, 0, 0, 0, 0, 0
217, 401, 431, 10328310, 9, 115, 24, 104, 166, 79, 0.969373, 0.859748, 1, 0.967513, 0.433406, 196, 0, 0, 0, 0, 0, 0
166, 445, 398, 10328310, 9, 24, 53, 144, 347, 104, 1, 0.750822, 0.538512, 0.316657, 0.861336, 196, 0, 0, 0, 1, 0, 1
179, 601, 445, 10335724, 8, 21, 332, 35, 85, 130, 1, 0.567282, 0.859868, 0.536476, 0.322111, 196, 0, 1, 0, 0, 0, 0
21, 601, 488, 10335724, 8, 332, 130, 186, 243, 85, 1, 0.841178, 0.546986, 0.538147, 0.684311, 196, 1, 0, 0, 0, 0, 1
130, 598, 552, 10335724, 8, 4, 332, 186, 19, 273, 0.964064, 1, 1, 0.901493, 0.965132, 196, 0, 1, 0, 0, 1, 0
332, 598, 587, 10335724, 8, 84, 4, 128, 186, 273, 0.861207, 1, 1, 1, 0.965132, 196, 0, 0, 0, 0, 1, 0
178, 198, 756, 10336311, 9, 324, 136, 271, 3, 246, 1, 0.857899, 0.965704, 0.643548, 1, 196, 1, 0, 1, 0, 0, 0
295, 198, 780, 10336311, 9, 136, 3, 271, 324, 246, 1, 0.858065, 1, 1, 1, 196, 0, 0, 0, 1, 0, 0
324, 201, 812, 10336311, 9, 3, 136, 271, 10000000, 10000000, 1, 1, 1, 0, 0, 196, 0, 0, 0, 1, 1, 1
246, 201, 820, 10336311, 9, 3, 136, 271, 10000000, 10000000, 0.965323, 1, 1, 0, 0, 196, 0, 0, 0, 1, 1, 0
85, 598, 515, 10336311, 9, 332, 4, 186, 243, 273, 1, 1, 1, 1, 0.857841, 196, 1, 0, 0, 0, 1, 0
130, 598, 552, 10336311, 9, 4, 332, 186, 19, 273, 0.964003, 1, 1, 0.901334, 0.965071, 196, 0, 1, 0, 0, 1, 0
243, 598, 580, 10336311, 9, 337, 4, 84, 128, 186, 1, 1, 0.861153, 1, 1, 196, 1, 0, 0, 0, 0, 0
332, 598, 587, 10336311, 9, 84, 4, 128, 186, 273, 0.861153, 1, 1, 1, 0.965071, 196, 0, 0, 0, 0, 1, 1
186, 601, 647, 10336312, 9, 309, 360, 393, 84, 19, 0.793286, 0.322486, 0.214256, 0.861153, 1, 196, 1, 1, 1, 0, 0, 0
24, 486, 398, 10336898, 10, 144, 286, 120, 53, 347, 1, 0.72249, 0.547189, 0.750131, 0.430661, 196, 0, 1, 0, 0, 1, 1
53, 515, 401, 10336898, 10, 35, 120, 286, 347, 179, 0.96723, 1, 1, 1, 0.859734, 196, 0, 0, 0, 1, 0, 0
144, 554, 401, 10336898, 10, 367, 35, 179, 120, 21, 1, 1, 1, 0.964827, 0.859613, 196, 1, 0, 0, 0, 0, 0
271, 220, 798, 10336898, 10, 215, 3, 95, 352, 136, 0.8195, 0.965262, 0.793537, 0.645487, 1, 196, 0, 0, 0, 1, 0, 0
136, 247, 798, 10336898, 10, 215, 3, 227, 292, 352, 0.793105, 0.965262, 0.537847, 0.436978, 0.322743, 196, 0, 0, 1, 1, 1, 0
3, 276, 798, 10336898, 10, 352, 292, 181, 227, 215, 0.844216, 0.790734, 0.60311, 0.645417, 0.682917, 196, 1, 1, 0, 1, 0, 1
273, 620, 598, 10336899, 10, 90, 84, 371, 143, 128, 0.940551, 1, 0.699327, 0.68486, 1, 196, 0, 0, 1, 0, 0, 0
128, 643, 598, 10336899, 10, 371, 377, 84, 261, 90, 1, 0.859795, 1, 0.692734, 0.840247, 196, 1, 1, 0, 1, 0, 0
186, 601, 647, 10336899, 10, 309, 360, 393, 84, 19, 0.793212, 0.322466, 0.214243, 0.861098, 1, 196, 1, 1, 1, 0, 0, 0
4, 601, 690, 10336899, 10, 309, 393, 360, 204, 236, 0.951854, 0.721437, 0.644932, 0.859862, 0.751598, 196, 1, 1, 1, 0, 0, 0
53, 515, 401, 10337485, 11, 35, 120, 286, 347, 179, 0.967169, 1, 1, 1, 0.859679, 196, 0, 0, 0, 1, 0, 0
144, 554, 401, 10337485, 11, 367, 35, 179, 120, 21, 1, 1, 1, 0.964766, 0.859558, 196, 1, 0, 0, 0, 0, 1
347, 601, 412, 10337485, 11, 85, 21, 35, 332, 179, 1, 1, 0.967169, 0.682539, 1, 196, 0, 0, 0, 1, 0, 0
120, 643, 398, 10337485, 11, 367, 124, 398, 306, 81, 0.753714, 0.755686, 0.683884, 0.682997, 0.750694, 196, 1, 0, 1, 1, 0, 0
215, 354, 801, 10337485, 11, 289, 169, 82, 181, 292, 0.214272, 0.136999, 1, 1, 0.966217, 196, 1, 1, 0, 0, 0, 0
227, 381, 801, 10337486, 11, 360, 257, 82, 33, 181, 1, 0.860754, 1, 0.904939, 0.966112, 196, 1, 0, 0, 0, 0, 0
352, 387, 801, 10337486, 11, 317, 33, 82, 181, 141, 1, 1, 1, 1, 0.600009, 196, 1, 0, 0, 0, 0, 1
181, 444, 798, 10337486, 11, 358, 317, 384, 82, 257, 0.9569, 0.74986, 0.723478, 1, 0.64262, 196, 1, 1, 1, 0, 0, 0
179, 601, 445, 10338072, 12, 21, 332, 35, 85, 130, 1, 0.56703, 0.859651, 0.536341, 0.32203, 196, 0, 1, 0, 0, 0, 0
120, 643, 398, 10338072, 12, 367, 124, 398, 306, 81, 0.753667, 0.755602, 0.683829, 0.682942, 0.750647, 196, 1, 0, 1, 1, 0, 0
35, 683, 398, 10338072, 12, 234, 283, 398, 124, 367, 1, 0.938987, 0.751419, 0.944503, 0.546533, 196, 0, 0, 1, 0, 1, 0
181, 444, 798, 10338073, 12, 358, 317, 384, 82, 257, 0.956823, 0.749813, 0.723426, 1, 0.642579, 196, 1, 1, 1, 0, 0, 0
82, 484, 798, 10338073, 12, 337, 194, 257, 358, 387, 1, 0.925218, 1, 0.965041, 0.951217, 196, 1, 0, 0, 1, 1, 0
