SIGO,PDR,,,,,,,,,,,,,,,,,,,,
200,300,400,seed,,,,,,,,,,,,,,,,,,
0.5,0.7,0.7,10001,,,,,,,,,,,,,,,,,,
0.2,0.5,1,10002,,,,,,,,,,,,,,,,,,
0.2,0.6,0.9,10003,,,,,,,,,,,,,,,,,,
0.3,0.4,0.9,10004,,,,,,,,,,,,,,,,,,
0.3,0.6,0.9,10005,,,,,,,,,,,,,,,,,,
0.4,0.5,0.8,10006,,,,,,,,,,,,,,,,,,
0.2,0.6,0.9,10007,,,,,,,,,,,,,,,,,,
0.2,0.7,0.8,10008,,,,,,,,,,,,,,,,,,
0.3,0.6,0.8,10009,,,,,,,,,,,,,,,,,,
0.1,0.7,0.9,10010,,,,,,,,,,,,,,,,,,
0.3,0.7,0.8,10011,,,,,,,,,,,,,,,,,,
0.4,0.8,0.8,10012,,,,,,,,,,,,,,,,,,
0.3,0.6,0.8,10013,,,,,,,,,,,,,,,,,,
0.2,0.5,0.8,10014,,,,,,,,,,,,,,,,,,
0.4,0.6,0.9,10015,,,,,,,,,,,,,,,,,,
0.1,0.6,0.7,10016,,,,,,,,,,,,,,,,,,
0.3,0.5,1,10017,,,,,,,,,,,,,,,,,,
0.3,0.6,0.9,10018,,,,,,,,,,,,,,,,,,
0.4,0.6,0.7,10019,,,,,,,,,,,,,,,,,,
0.1,0.4,1,10020,,,,,,,,,,,,,,,,,,
0.1,0.3,0.9,10021,,,,,,,,,,,,,,,,,,
0.2,0.8,0.9,10022,,,,,,,,,,,,,,,,,,
0.3,0.6,0.9,10023,,,,,,,,,,,,,,,,,,
0.2,0.6,0.7,10024,,,,,,,,,,,,,,,,,,
0.2,0.4,0.8,10025,,,,,,,,,,,,,,,,,,
0.2,0.6,0.7,10026,,,,,,,,,,,,,,,,,,
0.3,0.5,0.9,10027,,,,,,,,,,,,,,,,,,
0.3,0.6,1,10028,,,,,,,,,,,,,,,,,,
0.3,0.6,0.6,10029,,,,,,,,,,,,,,,,,,
0.2,0.6,0.6,10030,,,,,,,,,,,,,,,,,,
0.2,0.6,0.7,10031,,,,,,,,,,,,,,,,,,
0.3,0.7,0.8,10032,,,,,,,,,,,,,,,,,,
0.1,0.5,0.8,10033,,,,,,,,,,,,,,,,,,
0.2,0.8,0.8,10034,,,,,,,,,,,,,,,,,,
0.2,0.5,0.8,10035,,,,,,,,,,,,,,,,,,
0.4,0.5,0.5,10036,,,,,,,,,,,,,,,,,,
0.2,0.6,0.7,10037,,,,,,,,,,,,,,,,,,
0.2,0.6,0.8,10038,,,,,,,,,,,,,,,,,,
0.4,0.7,0.7,10039,,,,,,,,,,,,,,,,,,
0.4,0.7,0.6,10040,,,,,,,,,,,,,,,,,,
0.3,0.5,0.9,10041,,,,,,,,,,,,,,,,,,
0.4,0.7,0.9,10042,,,,,,,,,,,,,,,,,,
0.2,0.5,0.7,10043,,,,,,,,,,,,,,,,,,
0.2,0.5,0.8,10044,,,,,,,,,,,,,,,,,,
0.3,0.6,0.9,10045,,,,,,,,,,,,,,,,,,
0.5,0.8,0.9,10046,,,,,,,,,,,,,,,,,,
0.3,0.5,0.7,10047,,,,,,,,,,,,,,,,,,
0.3,0.5,0.9,10048,,,,,,,,,,,,,,,,,,
