SIGO,PDR,,,,LSGO,PDR,,,SIGO- LSGO,,
200,300,400,seed,,200,300,400,,200,300,400
0.4,0.6,0.8,10001,,0.3,0.7,0.5,,0.1,-0.1,0.3
0.3,0.6,0.8,10002,,0.1,0.2,0.8,,0.2,0.4,0
0.1,0.6,0.7,10003,,0.1,0.5,0.7,,0,0.1,0
0.3,0.6,0.8,10004,,0.3,0.2,0.6,,0,0.4,0.2
0.2,0.4,0.8,10005,,0.2,0.5,0.9,,0,-0.1,-0.1
0.2,0.4,0.8,10006,,0.4,0.4,0.6,,-0.2,0,0.2
0.3,0.6,0.8,10007,,0.2,0.6,0.9,,0.1,0,-0.1
0.1,0.6,0.9,10008,,0.2,0.7,0.9,,-0.1,-0.1,0
0.4,0.4,0.7,10009,,0.3,0.5,0.8,,0.1,-0.1,-0.1
0.3,0.7,0.7,10010,,0.3,0.7,0.5,,0,0,0.2
0.2,0.8,0.6,10011,,0.2,0.9,0.6,,0,-0.1,0
0.4,0.6,0.8,10012,,0.1,0.5,0.8,,0.3,0.1,0
0.3,0.5,0.9,10013,,0.3,0.3,0.9,,0,0.2,0
0.1,0.3,0.9,10014,,0.2,0.6,0.7,,-0.1,-0.3,0.2
0.2,0.5,0.9,10015,,0.3,0.4,0.9,,-0.1,0.1,0
0.1,0.6,0.9,10016,,0.1,0.4,0.9,,0,0.2,0
0.1,0.4,0.8,10017,,0,0.6,0.9,,0.1,-0.2,-0.1
0.3,0.6,0.5,10018,,0.3,0.6,0.7,,0,0,-0.2
0.3,0.4,0.7,10019,,0.2,0.3,0.5,,0.1,0.1,0.2
0.2,0.5,0.9,10020,,0.2,0.4,0.8,,0,0.1,0.1
0.3,0.4,0.7,10021,,0.2,0.3,0.7,,0.1,0.1,0
0.1,0.7,1,10022,,0.3,0.6,0.8,,-0.2,0.1,0.2
0.3,0.4,0.8,10023,,0.2,0.4,0.8,,0.1,0,0
0.2,0.5,0.9,10024,,0.4,0.7,0.9,,-0.2,-0.2,0
0.2,0.6,0.8,10025,,0.3,0.5,0.7,,-0.1,0.1,0.1
0.2,0.5,0.6,10026,,0.4,0.3,0.7,,-0.2,0.2,-0.1
0.2,0.7,0.9,10027,,0.3,0.6,0.8,,-0.1,0.1,0.1
0.3,0.5,0.8,10028,,0.1,0.6,1,,0.2,-0.1,-0.2
0.2,0.7,0.8,10029,,0.3,0.5,0.7,,-0.1,0.2,0.1
0.2,0.7,0.9,10030,,0.4,0.5,0.5,,-0.2,0.2,0.4
