source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
201, 244, 201, 284, 10300200, 1, 1, 23, 132, 171, 798, 768, 23, 366, 13, 229, 305
201, 244, 198, 315, 10300200, 3, 1, 13, 132, 171, 798, 768, 23, 366, 13, 229, 305
201, 244, 198, 387, 10300200, 5, 1, 305, 132, 171, 798, 768, 23, 366, 13, 229, 305
201, 244, 198, 387, 10300200, 2, 1, 366, 132, 171, 798, 768, 23, 366, 13, 229, 305
201, 284, 198, 351, 10300622, 1, 2, 193, 23, 171, 798, 768, 193, 305, 386, 311, 366
201, 284, 198, 387, 10300622, 2, 2, 305, 23, 171, 798, 768, 193, 305, 386, 311, 366
201, 284, 198, 387, 10300622, 5, 2, 366, 23, 171, 798, 768, 193, 305, 386, 311, 366
201, 284, 198, 387, 10300622, 3, 2, 386, 23, 171, 798, 768, 193, 305, 386, 311, 366
201, 284, 201, 412, 10300622, 4, 2, 311, 23, 171, 798, 768, 193, 305, 386, 311, 366
198, 351, 201, 412, 10301044, 5, 3, 311, 193, 171, 798, 768, 65, 205, 299, 363, 311
198, 351, 201, 412, 10301044, 4, 3, 363, 193, 171, 798, 768, 65, 205, 299, 363, 311
198, 351, 201, 418, 10301044, 3, 3, 299, 193, 171, 798, 768, 65, 205, 299, 363, 311
198, 351, 201, 446, 10301044, 2, 3, 205, 193, 171, 798, 768, 65, 205, 299, 363, 311
198, 351, 201, 485, 10301044, 1, 3, 65, 193, 171, 798, 768, 65, 205, 299, 363, 311
201, 485, 198, 532, 10301466, 2, 4, 113, 65, 171, 798, 768, 222, 113, 210, 67, 276
201, 485, 198, 564, 10301467, 1, 4, 222, 65, 171, 798, 768, 222, 113, 210, 67, 276
201, 485, 201, 618, 10301467, 5, 4, 276, 65, 171, 798, 768, 222, 113, 210, 67, 276
198, 564, 201, 618, 10301889, 3, 5, 276, 222, 171, 798, 768, 67, 210, 276, 107, 10
198, 564, 201, 645, 10301889, 2, 5, 210, 222, 171, 798, 768, 67, 210, 276, 107, 10
198, 564, 201, 691, 10301889, 1, 5, 67, 222, 171, 798, 768, 67, 210, 276, 107, 10
201, 691, 198, 757, 10302311, 3, 6, 178, 67, 171, 798, 768, 324, 295, 178, 246, 190
201, 691, 198, 780, 10302311, 2, 6, 295, 67, 171, 798, 768, 324, 295, 178, 246, 190
201, 691, 201, 812, 10302311, 1, 6, 324, 67, 171, 798, 768, 324, 295, 178, 246, 190
201, 691, 201, 819, 10302311, 4, 6, 246, 67, 171, 798, 768, 324, 295, 178, 246, 190
201, 691, 201, 845, 10302312, 5, 6, 190, 67, 171, 798, 768, 324, 295, 178, 246, 190
201, 812, 220, 798, 10302733, 3, 7, 271, 324, 171, 798, 768, 3, 136, 271, 10000000, 10000000
201, 812, 247, 798, 10302734, 2, 7, 136, 324, 171, 798, 768, 3, 136, 271, 10000000, 10000000
201, 812, 275, 798, 10302734, 1, 7, 3, 324, 171, 798, 768, 3, 136, 271, 10000000, 10000000
275, 798, 318, 801, 10303156, 5, 8, 95, 3, 171, 798, 768, 352, 304, 227, 215, 95
275, 798, 355, 801, 10303156, 4, 8, 215, 3, 171, 798, 768, 352, 304, 227, 215, 95
275, 798, 381, 801, 10303156, 3, 8, 227, 3, 171, 798, 768, 352, 304, 227, 215, 95
275, 798, 387, 801, 10303156, 2, 8, 304, 3, 171, 798, 768, 352, 304, 227, 215, 95
275, 798, 387, 801, 10303156, 1, 8, 352, 3, 171, 798, 768, 352, 304, 227, 215, 95
387, 801, 444, 798, 10303578, 5, 9, 181, 352, 171, 798, 768, 33, 360, 141, 82, 181
387, 801, 483, 798, 10303578, 4, 9, 82, 352, 171, 798, 768, 33, 360, 141, 82, 181
387, 801, 520, 801, 10303578, 1, 9, 33, 352, 171, 798, 768, 33, 360, 141, 82, 181
387, 801, 551, 801, 10303579, 3, 9, 141, 352, 171, 798, 768, 33, 360, 141, 82, 181
