SIGO,PDR,,
200,300,400,seed
0.4,0.5,0.7,10001
0.3,0.3,0.8,10002
0.1,0.3,0.4,10003
0.2,0.3,0.7,10004
0.2,0.5,0.8,10005
0.2,0.4,0.7,10006
0.2,0.6,0.9,10007
0.2,0.3,0.6,10008
0.3,0.3,0.7,10009
0.3,0.6,0.7,10010
0.3,0.6,0.6,10011
0.3,0.6,0.8,10012
0.3,0.7,0.8,10013
0.2,0.5,0.6,10014
0.3,0.3,0.9,10015
0,0.7,0.7,10016
0.1,0.6,0.8,10017
0.4,0.3,0.9,10018
0.4,0.4,0.7,10019
0.2,0.5,0.8,10020
0.3,0.2,0.8,10021
0.1,0.5,0.7,10022
0.3,0.4,0.9,10023
0.2,0.3,0.6,10024
0.2,0.4,0.7,10025
0.3,0.4,0.5,10026
0.3,0.3,0.7,10027
0.4,0.4,0.8,10028
0.2,0.5,0.8,10029
0.2,0.2,0.8,10030
0.2,0.5,0.8,10031
0.3,0.5,0.6,10032
0.2,0.4,1,10033
0.2,0.4,0.6,10034
0.2,0.6,0.8,10035
0.3,0.4,0.8,10036
0.3,0.5,0.8,10037
0.1,0.5,0.5,10038
0.3,0.4,0.6,10039
0.2,0.5,0.6,10040
0.1,0.5,0.8,10041
0.3,0.4,0.8,10042
0.2,0.5,0.6,10043
0.2,0.5,0.7,10044
0.2,0.9,0.6,10045
0.2,0.3,0.7,10046
0.2,0.4,0.7,10047
0.2,0.3,0.9,10048
0.3,0.4,0.8,10049
0.236734694,,,
LSGO,PDR,,
200,300,400,seed
0.3,0.3,0.7,10001
0.1,0.3,0.7,10002
0.2,0.3,0.6,10003
0.3,0.3,0.5,10004
0.1,0.2,0.8,10005
0.4,0.6,0.7,10006
0.2,0.6,0.7,10007
0.1,0.4,0.8,10008
0.3,0.5,0.9,10009
0.3,0.6,0.6,10010
0.2,0.4,0.6,10011
0.3,0.4,0.6,10012
0.2,0.5,0.7,10013
0.2,0.4,0.7,10014
0.1,0.3,0.9,10015
0.1,0.3,0.7,10016
0,0.3,0.6,10017
0,0.2,0.7,10018
0.1,0.4,0.8,10019
0.2,0.4,0.4,10020
0.2,0.2,0.4,10021
0,0.4,0.7,10022
0.2,0.3,0.9,10023
0.3,0.5,0.6,10024
0.3,0.3,1,10025
0.4,0.3,0.4,10026
0.4,0.5,0.8,10027
0.2,0.3,1,10028
0.3,0.5,0.5,10029
0.2,0.1,0.7,10030
0.1,0.3,0.6,10031
0.3,0.4,0.3,10032
0.2,0.3,0.7,10033
0.1,0.3,0.5,10034
0.2,0.5,0.6,10035
0.3,0.5,0.8,10036
0.1,0.4,0.5,10037
0.3,0.3,0.7,10038
0.2,0.4,0.6,10039
0.2,0.4,0.7,10040
0.2,0.4,0.8,10041
0.3,0.4,0.9,10042
0.2,0.3,0.7,10043
0.1,0.6,0.7,10044
0.4,0.5,0.8,10045
0.2,0.2,0.8,10046
0.1,0.4,0.5,10047
0.3,0.6,0.8,10048
0.1,0.4,0.7,10049
,,,
SIGO,delay,,
200,300,400,seed
0.03994775,0.053651,0.030946,10001
0.042097,0.020813667,0.0318965,10002
0.026694,0.029811333,0.036538,10003
0.0433385,0.024957,0.039134286,10004
0.0216615,0.0315292,0.03701925,10005
0.039102,0.03529975,0.045186857,10006
