source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
801, 619, 781, 601, 10300200, 5, 1, 228, 238, 164, 244, -1, 87, 90, 140, 137, 228
801, 619, 754, 601, 10300200, 4, 1, 137, 238, 164, 244, -1, 87, 90, 140, 137, 228
801, 619, 798, 553, 10300200, 3, 1, 140, 238, 164, 244, -1, 87, 90, 140, 137, 228
801, 619, 798, 518, 10300200, 1, 1, 87, 238, 164, 244, -1, 87, 90, 140, 137, 228
798, 518, 787, 401, 10300603, 1, 2, 260, 87, 164, 244, -1, 260, 40, 211, 118, 16
798, 518, 798, 323, 10300603, 2, 2, 40, 87, 164, 244, -1, 260, 40, 211, 118, 16
787, 401, 758, 401, 10301006, 4, 3, 118, 260, 164, 244, -1, 114, 81, 40, 118, 35
787, 401, 718, 401, 10301006, 2, 3, 81, 260, 164, 244, -1, 114, 81, 40, 118, 35
787, 401, 798, 323, 10301006, 3, 3, 40, 260, 164, 244, -1, 114, 81, 40, 118, 35
787, 401, 682, 398, 10301007, 5, 3, 35, 260, 164, 244, -1, 114, 81, 40, 118, 35
787, 401, 644, 398, 10301007, 1, 3, 114, 260, 164, 244, -1, 114, 81, 40, 118, 35
644, 398, 555, 401, 10301410, 2, 4, 138, 114, 164, 244, -1, 53, 138, 187, 47, 24
644, 398, 486, 398, 10301410, 5, 4, 24, 114, 164, 244, -1, 53, 138, 187, 47, 24
555, 401, 516, 401, 10305813, 2, 5, 53, 138, 164, 244, -1, 24, 53, 160, 47, 162
555, 401, 486, 398, 10305813, 1, 5, 24, 138, 164, 244, -1, 24, 53, 160, 47, 162
555, 401, 444, 398, 10305813, 3, 5, 160, 138, 164, 244, -1, 24, 53, 160, 47, 162
486, 398, 354, 401, 10306217, 1, 6, 162, 24, 164, 244, -1, 162, 18, 256, 201, 255
354, 401, 312, 401, 10306620, 3, 7, 18, 162, 164, 244, -1, 172, 239, 18, 111, 45
354, 401, 282, 398, 10306620, 5, 7, 45, 162, 164, 244, -1, 172, 239, 18, 111, 45
354, 401, 247, 398, 10306620, 1, 7, 172, 162, 164, 244, -1, 172, 239, 18, 111, 45
247, 398, 198, 387, 10307023, 4, 8, 259, 172, 164, 244, -1, 13, 174, 206, 259, 180
798, 323, 801, 289, 10309410, 3, 4, 58, 40, 164, 244, -1, 274, 227, 58, 249, 190
798, 323, 801, 219, 10309410, 2, 4, 227, 40, 164, 244, -1, 274, 227, 58, 249, 190
798, 323, 801, 212, 10309410, 1, 4, 274, 40, 164, 244, -1, 274, 227, 58, 249, 190
798, 323, 798, 155, 10309410, 5, 4, 190, 40, 164, 244, -1, 274, 227, 58, 249, 190
801, 212, 779, 201, 10309813, 5, 5, 249, 274, 164, 244, -1, 102, 86, 194, 75, 249
801, 212, 754, 201, 10309813, 3, 5, 194, 274, 164, 244, -1, 102, 86, 194, 75, 249
801, 212, 717, 201, 10309813, 2, 5, 86, 274, 164, 244, -1, 102, 86, 194, 75, 249
801, 212, 798, 117, 10309813, 4, 5, 75, 274, 164, 244, -1, 102, 86, 194, 75, 249
801, 212, 677, 198, 10309813, 1, 5, 102, 274, 164, 244, -1, 102, 86, 194, 75, 249
677, 198, 587, 201, 10310217, 4, 6, 266, 102, 164, 244, -1, 116, 216, 49, 266, 88
677, 198, 581, 201, 10310217, 2, 6, 216, 102, 164, 244, -1, 116, 216, 49, 266, 88
677, 198, 553, 201, 10310217, 1, 6, 116, 102, 164, 244, -1, 116, 216, 49, 266, 88
553, 201, 513, 201, 10310620, 3, 7, 49, 116, 164, 244, -1, 218, 112, 49, 88, 268
553, 201, 495, 198, 10310620, 4, 7, 88, 116, 164, 244, -1, 218, 112, 49, 88, 268
553, 201, 448, 198, 10310620, 2, 7, 112, 116, 164, 244, -1, 218, 112, 49, 88, 268
553, 201, 412, 198, 10310620, 5, 7, 268, 116, 164, 244, -1, 218, 112, 49, 88, 268
553, 201, 380, 201, 10310620, 1, 7, 218, 116, 164, 244, -1, 218, 112, 49, 88, 268
380, 201, 356, 201, 10311023, 4, 8, 178, 218, 164, 244, -1, 100, 71, 132, 178, 153
380, 201, 398, 155, 10311023, 3, 8, 132, 218, 164, 244, -1, 100, 71, 132, 178, 153
380, 201, 323, 201, 10311023, 2, 8, 71, 218, 164, 244, -1, 100, 71, 132, 178, 153
380, 201, 242, 198, 10311024, 5, 8, 153, 218, 164, 244, -1, 100, 71, 132, 178, 153
754, 601, 713, 601, 10312603, 1, 2, 90, 137, 164, 244, -1, 90, 84, 122, 87, 250
754, 601, 685, 598, 10312603, 2, 2, 84, 137, 164, 244, -1, 90, 84, 122, 87, 250
754, 601, 642, 598, 10312603, 3, 2, 122, 137, 164, 244, -1, 90, 84, 122, 87, 250
754, 601, 620, 598, 10312603, 5, 2, 250, 137, 164, 244, -1, 90, 84, 122, 87, 250
713, 601, 685, 598, 10313006, 3, 3, 84, 90, 164, 244, -1, 16, 122, 84, 250, 167
713, 601, 642, 598, 10313006, 2, 3, 122, 90, 164, 244, -1, 16, 122, 84, 250, 167
713, 601, 620, 598, 10313006, 4, 3, 250, 90, 164, 244, -1, 16, 122, 84, 250, 167
713, 601, 550, 601, 10313006, 5, 3, 167, 90, 164, 244, -1, 16, 122, 84, 250, 167
323, 201, 278, 198, 10315427, 2, 9, 27, 71, 164, 244, -1, 153, 27, 215, 17, 123
323, 201, 242, 198, 10315427, 1, 9, 153, 71, 164, 244, -1, 153, 27, 215, 17, 123
323, 201, 181, 201, 10315427, 3, 9, 215, 71, 164, 244, -1, 153, 27, 215, 17, 123
323, 201, 159, 201, 10315427, 5, 9, 123, 71, 164, 244, -1, 153, 27, 215, 17, 123
642, 598, 598, 587, 10317409, 4, 4, 287, 122, 164, 244, -1, 16, 167, 220, 287, 124
642, 598, 550, 601, 10317409, 2, 4, 167, 122, 164, 244, -1, 16, 167, 220, 287, 124
642, 598, 509, 601, 10317409, 1, 4, 16, 122, 164, 244, -1, 16, 167, 220, 287, 124
509, 601, 484, 598, 10317813, 2, 5, 96, 16, 164, 244, -1, 156, 96, 20, 10000000, 10000000
