source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
801, 821, 798, 721, 10300200, 2, 1, 37, 184, 7, 274, -1, 118, 37, 193, 148, 94
798, 721, 801, 678, 10304869, 2, 2, 94, 37, 7, 274, -1, 118, 94, 130, 133, 10000000
798, 721, 801, 647, 10304869, 1, 2, 118, 37, 7, 274, -1, 118, 94, 130, 133, 10000000
801, 647, 754, 601, 10305538, 3, 3, 130, 118, 7, 274, -1, 87, 133, 130, 90, 170
801, 647, 798, 552, 10305538, 2, 3, 133, 118, 7, 274, -1, 87, 133, 130, 90, 170
798, 552, 798, 517, 10310208, 1, 4, 87, 133, 7, 274, -1, 87, 190, 90, 170, 40
798, 552, 787, 401, 10310208, 2, 4, 190, 133, 7, 274, -1, 87, 190, 90, 170, 40
798, 517, 787, 401, 10310877, 2, 5, 190, 87, 7, 274, -1, 170, 190, 40, 111, 10000000
798, 517, 798, 323, 10310877, 3, 5, 40, 87, 7, 274, -1, 170, 190, 40, 111, 10000000
754, 601, 712, 601, 10314207, 1, 4, 90, 130, 7, 274, -1, 90, 16, 115, 84, 87
754, 601, 684, 598, 10314208, 4, 4, 84, 130, 7, 274, -1, 90, 16, 115, 84, 87
754, 601, 644, 598, 10314208, 3, 4, 115, 130, 7, 274, -1, 90, 16, 115, 84, 87
712, 601, 684, 598, 10314877, 2, 5, 84, 90, 7, 274, -1, 115, 84, 87, 16, 10000000
712, 601, 644, 598, 10314877, 1, 5, 115, 90, 7, 274, -1, 115, 84, 87, 16, 10000000
712, 601, 515, 601, 10314877, 4, 5, 16, 90, 7, 274, -1, 115, 84, 87, 16, 10000000
787, 401, 780, 401, 10315546, 5, 6, 170, 190, 7, 274, -1, 81, 35, 40, 111, 170
787, 401, 758, 401, 10315546, 4, 6, 111, 190, 7, 274, -1, 81, 35, 40, 111, 170
644, 598, 515, 601, 10315546, 1, 6, 16, 115, 7, 274, -1, 16, 117, 179, 85, 96
787, 401, 718, 401, 10315546, 1, 6, 81, 190, 7, 274, -1, 81, 35, 40, 111, 170
787, 401, 798, 323, 10315546, 3, 6, 40, 190, 7, 274, -1, 81, 35, 40, 111, 170
787, 401, 682, 398, 10315546, 2, 6, 35, 190, 7, 274, -1, 81, 35, 40, 111, 170
515, 601, 482, 598, 10316215, 1, 7, 96, 16, 7, 274, -1, 96, 85, 20, 10000000, 10000000
718, 401, 682, 398, 10316215, 3, 7, 35, 81, 7, 274, -1, 131, 107, 35, 153, 10000000
