source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,send_log
90, 713, 601, 10299999, 1, 115, 84, 16, 10000000, 10000000, 0.76104, 0.648409, 0.363532, 0, 0, 38, 1
84, 683, 598, 10300200, 2, 16, 115, 179, 117, 85, 0.967931, 1, 0.753408, 0.539785, 0.431796, 38, 0
115, 644, 598, 10300200, 2, 16, 179, 117, 85, 96, 1, 0.968668, 0.7557, 0.539746, 0.362446, 38, 1
16, 515, 601, 10300518, 3, 96, 20, 10000000, 10000000, 10000000, 0.862935, 0.275363, 0, 0, 0, 38, 1
96, 482, 598, 10300836, 4, 20, 79, 10000000, 10000000, 10000000, 1, 0.430706, 0, 0, 0, 38, 1
20, 315, 601, 10301155, 5, 103, 10000000, 10000000, 10000000, 10000000, 0.322574, 0, 0, 0, 0, 38, 1
94, 801, 691, 11299999, 1, 87, 133, 130, 90, 118, 1, 1, 0.862489, 0.753102, 1, 119, 0
118, 801, 659, 11300200, 2, 87, 130, 133, 90, 190, 1, 1, 1, 0.860669, 0.275675, 119, 0
133, 798, 542, 11300200, 2, 87, 190, 170, 16, 40, 1, 0.645546, 0.323576, 0.121081, 0.120988, 119, 1
87, 798, 504, 11304518, 3, 190, 170, 40, 111, 10000000, 0.860328, 0.604793, 0.478599, 0.137419, 0, 119, 1
190, 787, 401, 11304836, 4, 107, 81, 35, 111, 170, 0.932545, 1, 0.846881, 1, 1, 119, 1
170, 773, 401, 11305155, 5, 35, 81, 111, 107, 10000000, 0.967827, 1, 1, 0.537805, 0, 119, 0
111, 746, 401, 11305155, 5, 81, 107, 35, 131, 10000000, 1, 0.722769, 0.75557, 0.411994, 0, 119, 0
81, 705, 401, 11305155, 5, 53, 131, 107, 35, 10000000, 1, 1, 0.96805, 0.961196, 0, 119, 0
35, 695, 398, 11305155, 5, 53, 131, 107, 150, 47, 0.969798, 1, 1, 0.646321, 0.431535, 119, 0
107, 655, 398, 11305155, 5, 53, 131, 150, 47, 24, 1, 1, 0.754041, 0.647302, 0.411513, 119, 1
131, 541, 401, 11305473, 6, 53, 24, 18, 10000000, 10000000, 1, 0.754378, 0.120997, 0, 0, 119, 0
53, 502, 401, 11305473, 6, 24, 18, 10000000, 10000000, 10000000, 0.862146, 0, 0, 0, 0, 119, 1
24, 499, 398, 11305473, 6, 45, 18, 104, 135, 10000000, 1, 0.968828, 0.538285, 0.120493, 0, 119, 0
24, 499, 398, 11305791, 7, 45, 18, 104, 135, 10000000, 1, 0.968794, 0.538266, 0.120488, 0, 119, 1
120, 801, 868, 12299999, 1, 37, 184, 118, 94, 155, 1, 1, 0.602715, 0.484544, 0.646451, 143, 0
184, 801, 839, 12300200, 2, 37, 94, 118, 138, 155, 1, 0.9567, 0.876601, 0.685313, 0.861916, 143, 1
94, 801, 705, 12300200, 2, 133, 87, 130, 118, 90, 1, 0.969015, 0.755008, 1, 0.645498, 143, 0
118, 801, 671, 12300200, 2, 87, 133, 130, 90, 9, 1, 1, 0.970724, 0.753082, 0.430123, 143, 0
94, 801, 705, 12304518, 3, 133, 87, 130, 118, 90, 1, 0.968565, 0.754656, 1, 0.645199, 143, 0
37, 798, 696, 12304518, 3, 118, 130, 133, 10000000, 10000000, 0.968118, 0.323424, 0.215059, 0, 0, 143, 1
118, 801, 671, 12304518, 3, 87, 133, 130, 90, 9, 1, 1, 0.970273, 0.752732, 0.429923, 143, 0
118, 801, 671, 12304836, 4, 87, 133, 130, 90, 9, 1, 1, 0.970239, 0.752706, 0.429908, 143, 1
133, 798, 531, 12305155, 5, 190, 87, 170, 16, 40, 0.959925, 1, 0.464798, 0.107946, 0.107872, 143, 1
87, 798, 491, 12309473, 6, 190, 170, 40, 111, 10000000, 1, 0.539243, 0.41247, 0.120744, 0, 143, 1
190, 784, 401, 12313791, 7, 107, 81, 111, 35, 170, 0.9437, 1, 1, 0.862573, 1, 143, 1
40, 798, 298, 12313791, 7, 153, 113, 168, 75, 10000000, 0.911498, 0.969254, 0.646641, 0.467684, 0, 143, 1
170, 765, 401, 12314109, 8, 81, 35, 111, 107, 168, 1, 0.970361, 1, 0.601741, 0.137043, 143, 0
111, 733, 401, 12314109, 8, 81, 107, 35, 131, 10000000, 1, 0.751851, 0.844233, 0.361855, 0, 143, 0
35, 707, 398, 12314109, 8, 131, 53, 107, 81, 150, 0.970199, 0.85932, 1, 1, 0.537288, 143, 0
81, 693, 401, 12314109, 8, 131, 53, 107, 10000000, 10000000, 1, 0.789854, 1, 0, 0, 143, 0
107, 667, 398, 12314109, 8, 53, 131, 150, 47, 24, 1, 1, 0.644746, 0.538755, 0.361484, 143, 1
131, 527, 401, 12314428, 9, 53, 24, 18, 12, 10000000, 1, 0.963921, 0.107833, 0.120754, 0, 143, 0
24, 512, 398, 12314428, 9, 18, 45, 53, 104, 135, 0.862662, 0.784919, 1, 0.431191, 0.107432, 143, 0
53, 489, 401, 12314428, 9, 18, 10000000, 10000000, 10000000, 10000000, 0, 0, 0, 0, 0, 143, 1
113, 801, 272, 12322109, 8, 157, 168, 153, 75, 86, 0.968254, 1, 1, 0.966811, 0.646825, 143, 1
168, 798, 167, 12322110, 8, 157, 86, 153, 10000000, 10000000, 0.86067, 0.646825, 1, 0, 0, 143, 0
153, 798, 128, 12322110, 8, 157, 109, 86, 175, 168, 0.645503, 0.273362, 0.431217, 0.10732, 1, 143, 1
168, 798, 167, 12322428, 9, 157, 86, 153, 10000000, 10000000, 0.860641, 0.646803, 1, 0, 0, 143, 0
168, 798, 167, 12326428, 9, 157, 86, 153, 10000000, 10000000, 0.860271, 0.646524, 1, 0, 0, 143, 0
75, 798, 98, 12326428, 9, 168, 153, 157, 86, 10000000, 1, 1, 0.537669, 0.323262, 0, 143, 0
153, 798, 128, 12330746, 10, 157, 109, 86, 175, 168, 0.644904, 0.27304, 0.430816, 0.107221, 1, 143, 1
168, 798, 167, 12339064, 11, 157, 86, 153, 10000000, 10000000, 0.859103, 0.645645, 1, 0, 0, 143, 1
153, 798, 128, 12355382, 12, 157, 109, 86, 175, 168, 0.6432, 0.272125, 0.429676, 0.106938, 1, 143, 1
168, 798, 167, 12363700, 13, 157, 86, 153, 10000000, 10000000, 0.856837, 0.643938, 1, 0, 0, 143, 1
153, 798, 127, 12380018, 14, 157, 109, 86, 175, 168, 0.641506, 0.271215, 0.428542, 0.106657, 1, 143, 1
168, 798, 167, 12388337, 15, 157, 86, 153, 10000000, 10000000, 0.854582, 0.64224, 1, 0, 0, 143, 1
153, 798, 127, 12404655, 16, 157, 109, 86, 175, 168, 0.639821, 0.270312, 0.427413, 0.106378, 1, 143, 1
168, 798, 166, 12412973, 17, 157, 86, 153, 10000000, 10000000, 0.852338, 0.640551, 1, 0, 0, 143, 1
153, 798, 127, 12429291, 18, 157, 109, 86, 175, 168, 0.638144, 0.269415, 0.426291, 0.1061, 1, 143, 1
168, 798, 166, 12437609, 19, 157, 86, 153, 10000000, 10000000, 0.850107, 0.638871, 1, 0, 0, 143, 1
153, 798, 126, 12453927, 20, 157, 109, 86, 175, 168, 0.636477, 0.268524, 0.425175, 0.105823, 1, 143, 1
168, 798, 166, 12462245, 21, 157, 86, 153, 10000000, 10000000, 0.847887, 0.637199, 1, 0, 0, 143, 1
9, 923, 598, 13299999, 1, 130, 90, 70, 146, 133, 1, 0.755754, 0.96898, 0.97203, 0.430939, 110, 0
146, 909, 601, 13300200, 2, 90, 70, 130, 10000000, 10000000, 0.88413, 1, 0.431399, 0, 0, 110, 0
70, 881, 601, 13300200, 2, 84, 130, 90, 10000000, 10000000, 1, 0.939053, 0.362235, 0, 0, 110, 1
84, 722, 598, 13308518, 3, 16, 115, 90, 179, 117, 0.752487, 1, 1, 0.538319, 0.323004, 110, 1
130, 721, 601, 13308518, 3, 115, 90, 84, 10000000, 10000000, 1, 1, 1, 0, 0, 110, 0
