LSGO,PDR,,
200,300,400,seed
0.1,10001,,
0,10002,,
0.1,10003,,
0,10004,,
0,10005,,
0,10006,,
0,10007,,
0,10008,,
0.1,10009,,
0,10010,,
0,10011,,
0.1,10012,,
0.1,10013,,
0.2,10014,,
0,10015,,
0,10016,,
0,10017,,
0.1,10018,,
0,10019,,
0,10020,,
0,10021,,
0,10022,,
0.1,10023,,
0,10024,,
0.1,10025,,
0.2,10026,,
0,10027,,
0.2,10028,,
0,10029,,
0.1,10030,,
0,10031,,
0,10032,,
0,10033,,
0,10034,,
0,10035,,
0,10036,,
0,10037,,
0,10038,,
0.1,10039,,
0.1,10040,,
0.1,10041,,
0,10042,,
0,10043,,
0.1,10044,,
0,10045,,
0,10046,,
0.1,10047,,
0.1,10048,,
0.1,10049,,
0,,,
LSGO,delay,,
200,300,400,seed
0.00961,10001,,
0,10002,,
0.011347,10003,,
0,10004,,
0,10005,,
0,10006,,
0,10007,,
0,10008,,
0.006915,10009,,
0,10010,,
0,10011,,
0.011923,10012,,
0.019886,10013,,
0.00559,10014,,
0,10015,,
0,10016,,
0,10017,,
0.004238,10018,,
0,10019,,
0,10020,,
0,10021,,
0,10022,,
0.002535,10023,,
0,10024,,
0.034735,10025,,
0.012209,10026,,
0,10027,,
0.002213,10028,,
0,10029,,
0.030801,10030,,
0,10031,,
0,10032,,
0,10033,,
0,10034,,
0,10035,,
0,10036,,
0,10037,,
0,10038,,
0.007003,10039,,
0.016571,10040,,
0.001986,10041,,
0,10042,,
0,10043,,
0.025392,10044,,
0,10045,,
0,10046,,
0.003885,10047,,
0.031431,10048,,
0.031792,10049,,
,,,
LSGO,Overhead,,
200,300,400,seed
25,10001,,
14,10002,,
21,10003,,
14,10004,,
25,10005,,
14,10006,,
21,10007,,
16,10008,,
34,10009,,
21,10010,,
17,10011,,
22,10012,,
33,10013,,
23,10014,,
21,10015,,
19,10016,,
26,10017,,
20,10018,,
23,10019,,
21,10020,,
11,10021,,
31,10022,,
34,10023,,
21,10024,,
25,10025,,
19.5,10026,,
20,10027,,
15,10028,,
28,10029,,
21,10030,,
10,10031,,
29,10032,,
22,10033,,
24,10034,,
14,10035,,
34,10036,,
34,10037,,
22,10038,,
44,10039,,
28,10040,,
35,10041,,
28,10042,,
34,10043,,
43,10044,,
20,10045,,
16,10046,,
27,10047,,
24,10048,,
35,10049,,
,,,
LSGO,Hop,,
200,300,400,seed
10,10001,,
0,10002,,
6,10003,,
0,10004,,
0,10005,,
0,10006,,
0,10007,,
0,10008,,
9,10009,,
0,10010,,
0,10011,,
9,10012,,
15,10013,,
7.866666667,10014,,
0,10015,,
0,10016,,
0,10017,,
8,10018,,
0,10019,,
0,10020,,
0,10021,,
0,10022,,
7,10023,,
0,10024,,
13,10025,,
12,10026,,
0,10027,,
6.5,10028,,
0,10029,,
12,10030,,
0,10031,,
0,10032,,
0,10033,,
0,10034,,
0,10035,,
0,10036,,
0,10037,,
0,10038,,
9,10039,,
14,10040,,
5,10041,,
0,10042,,
0,10043,,
13,10044,,
0,10045,,
0,10046,,
7,10047,,
13,10048,,
13,10049,,
,,,
LSGO,PDR-average,,
200,300,400,seed
0.044897959,,,
,,,
LSGO,delay-average,,
200,300,400,seed
0.005511469,,,
,,,
LSGO,overhead-average,,
200,300,400,seed
24.05102041,,,
,,,
LSGO,hop-average,,
200,300,400,seed
3.86462585,,,
