source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
45, 198, 112, 201, 10300200, 1, 1, 17, 216, 236, 598, 785, 17, 10000000, 10000000, 10000000, 10000000
112, 201, 241, 198, 10300641, 2, 2, 159, 17, 236, 598, 785, 27, 159, 10000000, 10000000, 10000000
241, 198, 278, 198, 10305082, 4, 3, 27, 159, 236, 598, 785, 244, 71, 314, 27, 197
241, 198, 323, 201, 10305082, 2, 3, 71, 159, 236, 598, 785, 244, 71, 314, 27, 197
241, 198, 412, 198, 10305083, 3, 3, 314, 159, 236, 598, 785, 244, 71, 314, 27, 197
323, 201, 495, 198, 10309524, 1, 4, 88, 71, 236, 598, 785, 88, 10000000, 10000000, 10000000, 10000000
495, 198, 553, 201, 10309965, 3, 5, 122, 88, 236, 598, 785, 312, 380, 122, 102, 287
495, 198, 587, 201, 10309965, 1, 5, 312, 88, 236, 598, 785, 312, 380, 122, 102, 287
495, 198, 587, 201, 10309965, 2, 5, 380, 88, 236, 598, 785, 312, 380, 122, 102, 287
495, 198, 620, 198, 10309965, 5, 5, 287, 88, 236, 598, 785, 312, 380, 122, 102, 287
495, 198, 677, 198, 10309966, 4, 5, 102, 88, 236, 598, 785, 312, 380, 122, 102, 287
587, 201, 601, 262, 10310407, 1, 6, 114, 312, 236, 598, 785, 114, 10000000, 10000000, 10000000, 10000000
601, 262, 598, 315, 10310848, 5, 7, 47, 114, 236, 598, 785, 179, 21, 286, 347, 47
601, 262, 601, 412, 10310848, 4, 7, 347, 114, 236, 598, 785, 179, 21, 286, 347, 47
601, 262, 601, 419, 10310848, 3, 7, 286, 114, 236, 598, 785, 179, 21, 286, 347, 47
601, 262, 601, 445, 10310848, 1, 7, 179, 114, 236, 598, 785, 179, 21, 286, 347, 47
601, 445, 598, 580, 10311290, 1, 8, 243, 179, 236, 598, 785, 243, 10000000, 10000000, 10000000, 10000000
201, 233, 198, 324, 12300200, 3, 1, 193, 249, 393, 598, 787, 363, 229, 193, 10000000, 10000000
201, 233, 198, 362, 12300200, 2, 1, 229, 249, 393, 598, 787, 363, 229, 193, 10000000, 10000000
198, 362, 198, 542, 12304642, 1, 2, 222, 229, 393, 598, 787, 222, 10000000, 10000000, 10000000, 10000000
341, 198, 466, 201, 14300200, 1, 1, 49, 27, 16, 458, 601, 49, 10000000, 10000000, 10000000, 10000000
201, 365, 201, 483, 16300200, 2, 1, 299, 23, 37, 798, 663, 205, 299, 10000000, 10000000, 10000000
201, 483, 201, 567, 16304641, 1, 2, 65, 299, 37, 798, 663, 65, 10000000, 10000000, 10000000, 10000000
201, 567, 198, 626, 16305082, 3, 3, 10, 65, 37, 798, 663, 20, 276, 10, 178, 210
201, 567, 198, 681, 16305083, 4, 3, 178, 65, 37, 798, 663, 20, 276, 10, 178, 210
198, 626, 201, 674, 16313524, 1, 4, 276, 10, 37, 798, 663, 276, 10000000, 10000000, 10000000, 10000000
1, 236, 2, 393, 18300200, 1, 1, 32, 379, 130, 598, 454, 32, 10000000, 10000000, 10000000, 10000000
2, 393, 133, 401, 18300641, 1, 2, 336, 32, 130, 598, 454, 336, 10000000, 10000000, 10000000, 10000000
133, 401, 210, 401, 18301083, 4, 3, 18, 336, 130, 598, 454, 188, 278, 274, 18, 10000000
133, 401, 313, 398, 18301083, 3, 3, 274, 336, 130, 598, 454, 188, 278, 274, 18, 10000000
313, 398, 449, 401, 18309525, 1, 4, 144, 274, 130, 598, 454, 144, 10000000, 10000000, 10000000, 10000000
