source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,send_log
176, 1, 247, 10299999, 1, 64, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 297, 0
64, -1, 319, 10300200, 2, 43, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 297, 1
43, 1, 474, 10300633, 3, 390, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 297, 1
264, 20, -1, 11299999, 1, 330, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 384, 0
313, 201, 215, 12299999, 1, 23, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 85, 0
23, 201, 312, 12300200, 2, 205, 363, 305, 10000000, 10000000, 0.932451, 0.952979, 1, 0, 0, 85, 1
305, 198, 385, 12300633, 3, 188, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 85, 0
205, 201, 472, 12300633, 3, 45, 188, 274, 10000000, 10000000, 0.648066, 0.755309, 0.970181, 0, 0, 85, 1
17, 71, 201, 13299999, 1, 159, 368, 10000000, 10000000, 10000000, 0.972497, 1, 0, 0, 0, 360, 0
368, 201, 212, 13300200, 2, 23, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 360, 1
23, 201, 325, 13304633, 3, 363, 305, 10000000, 10000000, 10000000, 0.958841, 1, 0, 0, 0, 360, 1
305, 198, 381, 13305066, 4, 65, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 360, 0
363, 201, 412, 13305067, 4, 65, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 360, 1
65, 201, 525, 13305500, 5, 276, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 360, 1
276, 201, 639, 13305933, 6, 67, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 360, 1
67, 201, 734, 13306367, 7, 324, 10000000, 10000000, 10000000, 10000000, 0.968963, 0, 0, 0, 0, 360, 1
324, 201, 819, 13306800, 8, 136, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 360, 1
394, 8, -1, 14299999, 1, 11, 8, 10000000, 10000000, 10000000, 0.96862, 1, 0, 0, 0, 194, 0
8, 126, -1, 14300200, 2, 149, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 194, 1
149, 303, 1, 14304633, 3, 156, 320, 10000000, 10000000, 10000000, 0.97153, 1, 0, 0, 0, 194, 1
7, 342, -1, 15299999, 1, 298, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 358, 0
8, 149, -1, 16299999, 1, 266, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 280, 0
266, 291, -1, 17299999, 1, 61, 7, 10000000, 10000000, 10000000, 0.872654, 1, 0, 0, 0, 393, 0
7, 367, -1, 17300200, 2, 320, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 393, 0
61, 423, 1, 17300200, 2, 338, 5, 298, 10000000, 10000000, 0.970085, 0.97224, 1, 0, 0, 393, 1
298, 506, 1, 17300633, 3, 291, 155, 46, 10000000, 10000000, 0.754243, 0.539199, 1, 0, 0, 393, 0
338, 545, 1, 17300633, 3, 291, 155, 12, 10000000, 10000000, 0.861992, 0.754878, 1, 0, 0, 393, 1
5, 580, -1, 17300633, 3, 183, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 393, 0
12, 598, 20, 17301067, 4, 155, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 393, 1
155, 601, 143, 17309500, 5, 206, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 393, 1
206, 598, 265, 17309933, 6, 286, 347, 130, 114, 10000000, 0.967336, 0.968752, 0.755212, 1, 0, 393, 1
114, 601, 334, 17310367, 7, 243, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 393, 1
368, 201, 237, 18299999, 1, 363, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 133, 0
363, 201, 435, 18300200, 2, 205, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 133, 1
205, 201, 554, 18300634, 3, 295, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 133, 1
295, 198, 694, 18301067, 4, 324, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 133, 1
284, 1, 314, 19299999, 1, 50, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 251, 0
50, -1, 422, 19300200, 2, 157, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 251, 1
157, 42, 401, 19300633, 3, 23, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 251, 1
