
LSGO,PDR
200,300,400,seed
0.0,10001
0.0,10002
0.0,10003
0.0,10004
0.0,10005
0.0,10006
0.0,10007
0.0,10008
0.0,10009
0.1,10010
0.0,10011
0.0,10012
0.0,10013
0.0,10014
0.0,10015
0.0,10016
0.0,10017
0.0,10018
0.0,10019
0.0,10020
0.0,10021
0.0,10022
0.0,10023
0.0,10024
0.0,10025
0.0,10026
0.0,10027
0.0,10028
0.0,10029
0.0,10030
0.1,10031
0.0,10032
0.0,10033
0.0,10034
0.0,10035
0.0,10036
0.0,10037
0.0,10038
0.0,10039
0.0,10040
0.0,10041
0.0,10042
0.0,10043
0.0,10044
0.0,10045
0.0,10046
0.0,10047
0.0,10048
0.0,10049

LSGO,delay
200,300,400,seed
0,10001
0,10002
0,10003
0,10004
0,10005
0,10006
0,10007
0,10008
0,10009
0.001928,10010
0,10011
0,10012
0,10013
0,10014
0,10015
0,10016
0,10017
0,10018
0,10019
0,10020
0,10021
0,10022
0,10023
0,10024
0,10025
0,10026
0,10027
0,10028
0,10029
0,10030
0.002421,10031
0,10032
0,10033
0,10034
0,10035
0,10036
0,10037
0,10038
0,10039
0,10040
0,10041
0,10042
0,10043
0,10044
0,10045
0,10046
0,10047
0,10048
0,10049

LSGO,Overhead
200,300,400,seed
13,10001
13,10002
17,10003
8,10004
14,10005
14,10006
24,10007
9,10008
12,10009
14.0,10010
9,10011
7,10012
10,10013
15,10014
21,10015
5,10016
14,10017
5,10018
10,10019
13,10020
15,10021
12,10022
9,10023
20,10024
22,10025
19,10026
6,10027
9,10028
21,10029
10,10030
16.0,10031
5,10032
7,10033
13,10034
9,10035
17,10036
14,10037
22,10038
3,10039
14,10040
17,10041
15,10042
20,10043
10,10044
4,10045
6,10046
11,10047
9,10048
5,10049

LSGO,Hop
200,300,400,seed
0,10001
0,10002
0,10003
0,10004
0,10005
0,10006
0,10007
0,10008
0,10009
7.0,10010
0,10011
0,10012
0,10013
0,10014
0,10015
0,10016
0,10017
0,10018
0,10019
0,10020
0,10021
0,10022
0,10023
0,10024
0,10025
0,10026
0,10027
0,10028
0,10029
0,10030
7.0,10031
0,10032
0,10033
0,10034
0,10035
0,10036
0,10037
0,10038
0,10039
0,10040
0,10041
0,10042
0,10043
0,10044
0,10045
0,10046
0,10047
0,10048
0,10049

LSGO,PDR-average
200,300,400,seed
0.004081632653061225

LSGO,delay-average
200,300,400,seed
8.875510204081633e-05

LSGO,overhead-average
200,300,400,seed
12.387755102040817

LSGO,hop-average
200,300,400,seed
0.2857142857142857
