LSGO,PDR,,
200,300,400,seed
0.6,10001,,
0.4,10002,,
0.5,10003,,
0.4,10004,,
0.5,10005,,
0.4,10006,,
0.6,10007,,
0.4,10008,,
0.6,10009,,
0.5,10010,,
0.6,10011,,
0.6,10012,,
0.6,10013,,
0.7,10014,,
0.1,10015,,
0.5,10016,,
0.5,10017,,
0.4,10018,,
0.6,10019,,
0.4,10020,,
0.5,10021,,
0.6,10022,,
0.5,10023,,
0.7,10024,,
0.5,10025,,
0.4,10026,,
0.6,10027,,
0.6,10028,,
0.4,10029,,
0.6,10030,,
0.5,10031,,
0.4,10032,,
0.6,10033,,
0.3,10034,,
0.5,10035,,
0.4,10036,,
0.3,10037,,
0.6,10038,,
0.5,10039,,
0.5,10040,,
0.8,10041,,
0.5,10042,,
0.2,10043,,
0.5,10044,,
0.6,10045,,
0.4,10046,,
0.5,10047,,
0.7,10048,,
0.6,10049,,
,,,
LSGO,delay,,
200,300,400,seed
0.022276667,10001,,
0.0167305,10002,,
0.0301608,10003,,
0.02500425,10004,,
0.0206558,10005,,
0.02294675,10006,,
0.020718833,10007,,
0.02117975,10008,,
0.016310167,10009,,
0.018828,10010,,
0.018710167,10011,,
0.020004667,10012,,
0.0265815,10013,,
0.015499857,10014,,
0.02898,10015,,
0.0215718,10016,,
0.0187908,10017,,
0.02229675,10018,,
0.0280825,10019,,
0.022863,10020,,
0.0260496,10021,,
0.019396833,10022,,
0.0188322,10023,,
0.023158857,10024,,
0.0292766,10025,,
0.0289135,10026,,
0.0233075,10027,,
0.0210215,10028,,
0.03695625,10029,,
0.026286333,10030,,
0.0213106,10031,,
0.02543275,10032,,
0.028240667,10033,,
0.034388333,10034,,
0.0319764,10035,,
0.02432775,10036,,
0.031291,10037,,
0.0183915,10038,,
0.0220032,10039,,
0.019534,10040,,
0.021653,10041,,
0.0202378,10042,,
0.017202,10043,,
0.0245834,10044,,
0.0251855,10045,,
0.0321455,10046,,
0.0240968,10047,,
0.026764714,10048,,
0.023934833,10049,,
,,,
LSGO,Overhead,,
200,300,400,seed
17.16666667,10001,,
20,10002,,
23.8,10003,,
28.25,10004,,
17.6,10005,,
21.75,10006,,
17.16666667,10007,,
20.5,10008,,
16,10009,,
19.6,10010,,
16.66666667,10011,,
13.66666667,10012,,
21,10013,,
13,10014,,
54,10015,,
16.2,10016,,
20.8,10017,,
21.75,10018,,
22.16666667,10019,,
26.25,10020,,
20.2,10021,,
19.66666667,10022,,
22.2,10023,,
17.14285714,10024,,
19.6,10025,,
24,10026,,
15,10027,,
14.33333333,10028,,
24.5,10029,,
14.5,10030,,
15.8,10031,,
20.5,10032,,
17.5,10033,,
26,10034,,
22,10035,,
28,10036,,
33.33333333,10037,,
18.16666667,10038,,
23.4,10039,,
20.4,10040,,
14.375,10041,,
19.8,10042,,
34,10043,,
23.2,10044,,
17.66666667,10045,,
24.5,10046,,
13,10047,,
15.42857143,10048,,
16.16666667,10049,,
,,,
LSGO,Hop,,
200,300,400,seed
10.29411765,10001,,
8.888888889,10002,,
10.77142857,10003,,
12.33333333,10004,,
10.53333333,10005,,
12.14285714,10006,,
11.61290323,10007,,
8.875,10008,,
11.8,10009,,
10.60869565,10010,,
10.82142857,10011,,
8.868421053,10012,,
11.34615385,10013,,
9.263157895,10014,,
10,10015,,
10,10016,,
10.69230769,10017,,
8.818181818,10018,,
12.15384615,10019,,
12.23076923,10020,,
10.8,10021,,
11.92105263,10022,,
9.081081081,10023,,
11.57142857,10024,,
10.66666667,10025,,
10.86666667,10026,,
10.4375,10027,,
11.80645161,10028,,
11.33333333,10029,,
11.23684211,10030,,
8.727272727,10031,,
10.16666667,10032,,
11.4375,10033,,
12.5,10034,,
12.13333333,10035,,
11.11111111,10036,,
10.42857143,10037,,
9.789473684,10038,,
10.33333333,10039,,
10.77272727,10040,,
9.961538462,10041,,
10,10042,,
13.25,10043,,
12.67857143,10044,,
10.85714286,10045,,
12.33333333,10046,,
9.421052632,10047,,
11.63636364,10048,,
11.76923077,10049,,
,,,
LSGO,PDR-average,,
200,300,400,seed
0.504081633,,,
,,,
LSGO,delay-average,,
200,300,400,seed
0.023756969,,,
,,,
LSGO,overhead-average,,
200,300,400,seed
20.85128766,,,
,,,
LSGO,hop-average,,
200,300,400,seed
10.83842999,,,
