source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
-1, 151, 1, 212, 10300200, 5, 1, 379, 165, 90, 716, 601, 32, 176, 284, 230, 379
-1, 151, 1, 219, 10300200, 3, 1, 284, 165, 90, 716, 601, 32, 176, 284, 230, 379
-1, 151, 1, 282, 10300200, 1, 1, 32, 165, 90, 716, 601, 32, 176, 284, 230, 379
1, 282, -1, 319, 10300678, 3, 2, 64, 32, 90, 716, 601, 282, 348, 64, 191, 174
1, 282, -1, 355, 10300678, 5, 2, 174, 32, 90, 716, 601, 282, 348, 64, 191, 174
1, 282, -1, 381, 10300678, 1, 2, 282, 32, 90, 716, 601, 282, 348, 64, 191, 174
1, 282, -1, 387, 10300678, 2, 2, 348, 32, 90, 716, 601, 282, 348, 64, 191, 174
-1, 381, 31, 398, 10301156, 1, 3, 221, 282, 90, 716, 601, 221, 110, 50, 43, 191
-1, 381, 1, 446, 10301156, 5, 3, 191, 282, 90, 716, 601, 221, 110, 50, 43, 191
-1, 381, 1, 474, 10301157, 4, 3, 43, 282, 90, 716, 601, 221, 110, 50, 43, 191
-1, 381, -1, 520, 10301157, 3, 3, 50, 282, 90, 716, 601, 221, 110, 50, 43, 191
31, 398, 61, 398, 10301634, 3, 4, 110, 221, 90, 716, 601, 363, 311, 110, 83, 274
31, 398, 121, 401, 10301635, 4, 4, 83, 221, 90, 716, 601, 363, 311, 110, 83, 274
-1, 520, 1, 612, 10309635, 3, 4, 328, 50, 90, 716, 601, 259, 374, 328, 267, 163
-1, 520, 1, 612, 10309635, 2, 4, 374, 50, 90, 716, 601, 259, 374, 328, 267, 163
-1, 520, 1, 619, 10309635, 4, 4, 267, 50, 90, 716, 601, 259, 374, 328, 267, 163
-1, 520, 1, 645, 10309635, 5, 4, 163, 50, 90, 716, 601, 259, 374, 328, 267, 163
61, 398, 121, 401, 10310113, 2, 5, 83, 110, 90, 716, 601, 363, 83, 299, 336, 157
61, 398, 156, 401, 10310113, 5, 5, 157, 110, 90, 716, 601, 363, 83, 299, 336, 157
