source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,send_log
369, 8, -1, 10299999, 1, 343, 379, 8, 11, 153, 1, 1, 1, 1, 1, 87, 1
153, 43, -1, 10300200, 2, 266, 270, 8, 38, 150, 1, 1, 1, 0.799771, 0.686528, 87, 0
8, 79, -1, 10300200, 2, 343, 365, 150, 330, 270, 1, 0.949848, 1, 0.844484, 0.863529, 87, 1
11, 1, 81, 10300200, 2, 379, 346, 284, 165, 29, 1, 1, 0.912955, 0.971217, 0.846106, 87, 1
150, 157, 1, 10308716, 3, 7, 170, 123, 266, 235, 0.968673, 1, 1, 1, 1, 87, 0
270, 182, 1, 10308716, 3, 149, 7, 98, 170, 123, 1, 1, 1, 1, 1, 87, 0
343, 187, 1, 10308716, 3, 320, 149, 344, 62, 7, 1, 1, 0.938866, 0.94611, 1, 87, 1
365, 212, -1, 10308716, 3, 7, 149, 320, 62, 170, 1, 0.756637, 0.697276, 0.7526, 1, 87, 0
7, 280, -1, 10309232, 4, 288, 149, 254, 320, 373, 1, 0.861554, 0.701779, 0.697193, 0.686584, 87, 0
62, 318, 1, 10309233, 4, 5, 156, 254, 158, 373, 0.967626, 1, 1, 0.966808, 1, 87, 0
149, 354, 1, 10309233, 4, 5, 158, 156, 373, 320, 1, 1, 1, 1, 1, 87, 1
29, -1, 116, 10312716, 3, 176, 284, 379, 346, 32, 1, 1, 1, 1, 0.862298, 87, 0
165, -1, 151, 10312716, 3, 32, 176, 230, 284, 379, 1, 1, 0.97121, 1, 1, 87, 0
346, 1, 212, 10312716, 3, 56, 348, 216, 174, 32, 0.966696, 1, 1, 0.907465, 1, 87, 0
379, 1, 212, 10312716, 3, 56, 216, 64, 32, 174, 0.966696, 1, 0.967383, 1, 0.757143, 87, 1
284, 1, 219, 10312716, 3, 216, 64, 56, 32, 176, 1, 0.96357, 0.859286, 1, 1, 87, 0
216, 45, 198, 10313232, 4, 17, 159, 56, 368, 129, 1, 0.776369, 1, 0.611018, 0.64457, 87, 0
32, 1, 282, 10313232, 4, 282, 348, 64, 191, 174, 0.859956, 0.846722, 1, 0.609561, 0.538771, 87, 0
56, 83, 198, 10313232, 4, 368, 129, 159, 17, 313, 0.916527, 0.917528, 0.609266, 0.824594, 0.547115, 87, 1
64, -1, 319, 10313233, 4, 43, 191, 348, 282, 174, 1, 1, 1, 1, 1, 87, 1
174, -1, 355, 10313233, 4, 221, 201, 191, 43, 348, 0.966732, 1, 1, 0.968648, 1, 87, 0
17, 112, 201, 10313749, 5, 27, 159, 249, 368, 313, 0.971228, 1, 1, 1, 1, 87, 0
129, 159, 201, 10313749, 5, 27, 159, 132, 71, 249, 0.971228, 0.968878, 1, 0.76801, 1, 87, 0
320, 401, 12, 10313749, 5, 48, 325, 100, 118, 5, 1, 0.75422, 0.844617, 0.645465, 0.967156, 87, 0
373, 401, 12, 10313749, 5, 48, 5, 158, 156, 325, 0.969403, 0.967156, 1, 1, 0.548543, 87, 0
158, 401, 41, 10313749, 5, 378, 138, 48, 100, 325, 0.700604, 0.722824, 0.969403, 0.753634, 0.646165, 87, 1
313, 201, 212, 10313749, 5, 27, 305, 23, 159, 13, 0.971228, 0.931751, 0.97084, 0.968878, 0.821512, 87, 0
368, 201, 212, 10313749, 5, 27, 399, 23, 159, 13, 0.971228, 0.843706, 0.97084, 0.968878, 0.821512, 87, 1
156, 447, -1, 10313749, 5, 5, 298, 338, 200, 61, 1, 0.538996, 0.537768, 0.548416, 0.601972, 87, 0
5, 488, -1, 10313749, 5, 200, 61, 220, 298, 291, 0.959729, 0.947111, 0.685723, 0.725451, 0.637527, 87, 1
159, 242, 198, 10314265, 6, 244, 71, 314, 27, 197, 0.867294, 0.846848, 0.699414, 0.971174, 0.566052, 87, 1
23, 201, 285, 10314265, 6, 205, 193, 305, 311, 386, 0.868117, 0.97148, 0.85916, 0.793034, 0.8449, 87, 0
61, 515, 1, 10314265, 6, 105, 291, 220, 338, 298, 1, 1, 1, 1, 1, 87, 0
13, 198, 315, 10314265, 6, 205, 299, 363, 311, 188, 1, 1, 1, 1, 0.755529, 87, 0
200, 561, 1, 10314265, 6, 155, 91, 291, 105, 220, 1, 0.861799, 1, 0.970503, 1, 87, 1
298, 580, 1, 10314265, 6, 91, 155, 105, 12, 291, 1, 1, 1, 0.637136, 1, 87, 0
399, 198, 387, 10314265, 6, 188, 45, 274, 65, 222, 1, 0.862284, 1, 1, 1, 87, 1
220, 634, -1, 10314266, 6, 155, 225, 91, 105, 315, 0.965355, 0.878963, 0.754074, 0.970503, 0.754134, 87, 0
291, 601, 19, 10314781, 7, 91, 183, 155, 12, 285, 1, 0.644419, 1, 0.686207, 0.275252, 87, 0
155, 601, 44, 10314782, 7, 91, 183, 12, 285, 10000000, 1, 0.724019, 0.752704, 0.430526, 0, 87, 1
220, 634, -1, 10314782, 7, 155, 225, 91, 105, 315, 0.965294, 0.878764, 0.754032, 0.970449, 0.754092, 87, 0
105, 674, -1, 10314782, 7, 225, 46, 315, 357, 125, 0.93763, 0.971246, 0.755156, 0.687717, 0.702585, 87, 1
91, 601, 85, 10315298, 8, 183, 285, 12, 114, 10000000, 0.954431, 0.756828, 0.842321, 0.13756, 0, 87, 1
12, 598, 110, 10315298, 8, 114, 312, 285, 287, 380, 0.970762, 0.967562, 1, 0.862618, 0.859088, 87, 0
183, 598, 147, 10315298, 8, 114, 287, 380, 312, 239, 0.970762, 0.970445, 1, 1, 1, 87, 0
285, 598, 179, 10315298, 8, 206, 114, 47, 137, 287, 0.933353, 1, 0.700575, 0.966761, 1, 87, 0
12, 598, 110, 10315814, 9, 114, 312, 285, 287, 380, 0.970708, 0.967508, 1, 0.86257, 0.85904, 87, 0
183, 598, 147, 10315814, 9, 114, 287, 380, 312, 239, 0.970708, 0.970391, 1, 1, 1, 87, 1
285, 598, 179, 10315814, 9, 206, 114, 47, 137, 287, 0.933241, 1, 0.70049, 0.966707, 1, 87, 0
114, 601, 262, 10315814, 9, 179, 21, 286, 47, 347, 0.877906, 0.786223, 0.603606, 0.685704, 0.547731, 87, 0
312, 587, 201, 10316330, 10, 114, 102, 137, 287, 47, 1, 1, 1, 0.970337, 0.476555, 87, 0
