source_id,send_x,send_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,send_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5,pri_recover
166, 20, 198, 45, 198, 10300200, 4, 1, 160, 166, 700, 750, 116, 56, 17, 160, 32, 0
166, 20, 198, 82, 198, 10300200, 2, 1, 56, 166, 700, 750, 116, 56, 17, 160, 32, 0
166, 20, 198, 112, 201, 10300200, 3, 1, 17, 166, 700, 750, 116, 56, 17, 160, 32, 0
166, 20, 198, 159, 201, 10300200, 1, 1, 116, 166, 700, 750, 116, 56, 17, 160, 32, 0
166, 159, 201, 181, 201, 10300718, 4, 1, 174, 116, 700, 750, 27, 119, 23, 174, 141, 0
166, 159, 201, 201, 245, 10300718, 2, 1, 119, 116, 700, 750, 27, 119, 23, 174, 141, 0
166, 159, 201, 357, 201, 10300719, 5, 1, 141, 116, 700, 750, 27, 119, 23, 174, 141, 0
166, 201, 245, 198, 351, 10305237, 4, 1, 137, 119, 700, 750, 189, 195, 149, 137, 165, 0
166, 201, 245, 198, 379, 10305237, 5, 1, 165, 119, 700, 750, 189, 195, 149, 137, 165, 0
166, 201, 245, 201, 412, 10305237, 2, 1, 195, 119, 700, 750, 189, 195, 149, 137, 165, 0
166, 201, 412, 201, 446, 10309755, 5, 1, 149, 195, 700, 750, 45, 65, 135, 154, 149, 0
166, 201, 412, 247, 398, 10309755, 3, 1, 135, 195, 700, 750, 45, 65, 135, 154, 149, 0
166, 201, 412, 201, 486, 10309755, 2, 1, 65, 195, 700, 750, 45, 65, 135, 154, 149, 0
166, 201, 486, 201, 645, 10314274, 2, 1, 154, 65, 700, 750, 45, 154, 10000000, 10000000, 10000000, 0
166, 357, 201, 387, 201, 10317237, 4, 1, 194, 141, 700, 750, 180, 88, 41, 194, 105, 0
166, 357, 201, 418, 198, 10317237, 1, 1, 180, 141, 700, 750, 180, 88, 41, 194, 105, 0
166, 357, 201, 449, 198, 10317237, 5, 1, 105, 141, 700, 750, 180, 88, 41, 194, 105, 0
166, 357, 201, 495, 198, 10317237, 2, 1, 88, 141, 700, 750, 180, 88, 41, 194, 105, 0
166, 418, 198, 495, 198, 10317755, 4, 1, 88, 180, 700, 750, 196, 124, 41, 88, 175, 0
166, 418, 198, 587, 201, 10317755, 1, 1, 196, 180, 700, 750, 196, 124, 41, 88, 175, 0
166, 247, 398, 283, 398, 10318273, 2, 1, 45, 135, 700, 750, 18, 45, 65, 10000000, 10000000, 0
166, 247, 398, 314, 401, 10318273, 1, 1, 18, 135, 700, 750, 18, 45, 65, 10000000, 10000000, 0
166, 587, 201, 648, 198, 10318274, 4, 1, 124, 196, 700, 750, 150, 47, 102, 124, 157, 0
166, 587, 201, 680, 198, 10318274, 3, 1, 102, 196, 700, 750, 150, 47, 102, 124, 157, 0
166, 587, 201, 598, 316, 10318274, 2, 1, 47, 196, 700, 750, 150, 47, 102, 124, 157, 0
166, 587, 201, 598, 359, 10318274, 1, 1, 150, 196, 700, 750, 150, 47, 102, 124, 157, 0
166, 587, 201, 756, 201, 10318274, 5, 1, 157, 196, 700, 750, 150, 47, 102, 124, 157, 0
166, 201, 645, 201, 690, 10318792, 1, 1, 67, 154, 700, 750, 67, 10000000, 10000000, 10000000, 10000000, 0
166, 314, 401, 486, 398, 10318792, 1, 1, 24, 18, 700, 750, 24, 104, 53, 107, 10000000, 0
166, 598, 359, 601, 486, 10318792, 1, 1, 21, 150, 700, 750, 21, 107, 131, 35, 85, 0
166, 598, 359, 598, 515, 10318792, 5, 1, 85, 150, 700, 750, 21, 107, 131, 35, 85, 0
166, 486, 398, 514, 401, 10319310, 2, 1, 53, 24, 700, 750, 21, 53, 131, 35, 107, 0
166, 486, 398, 553, 401, 10319310, 3, 1, 131, 24, 700, 750, 21, 53, 131, 35, 107, 0
166, 486, 398, 644, 398, 10319310, 5, 1, 107, 24, 700, 750, 21, 53, 131, 35, 107, 0
166, 601, 486, 598, 515, 10319310, 3, 1, 85, 21, 700, 750, 179, 117, 85, 4, 10000000, 0
166, 601, 486, 598, 551, 10319311, 10000000, 1, 117, 21, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 601, 486, 598, 580, 10319311, 10000000, 1, 179, 21, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 514, 401, 553, 401, 10323828, 4, 1, 131, 53, 700, 750, 107, 35, 21, 131, 150, 0
166, 514, 401, 644, 398, 10323828, 1, 1, 107, 53, 700, 750, 107, 35, 21, 131, 150, 0
166, 514, 401, 682, 398, 10323828, 2, 1, 35, 53, 700, 750, 107, 35, 21, 131, 150, 0
166, 644, 398, 682, 398, 10324346, 2, 1, 35, 107, 700, 750, 21, 35, 81, 111, 10000000, 0
166, 644, 398, 717, 401, 10324346, 3, 1, 81, 107, 700, 750, 21, 35, 81, 111, 10000000, 0
166, 644, 398, 757, 401, 10324347, 4, 1, 111, 107, 700, 750, 21, 35, 81, 111, 10000000, 0
166, 680, 198, 717, 201, 10326792, 1, 1, 86, 102, 700, 750, 86, 113, 58, 10000000, 10000000, 0
166, 598, 515, 601, 692, 10327829, 10000000, 1, 4, 85, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 682, 398, 717, 401, 10328346, 2, 1, 81, 35, 700, 750, 21, 81, 10000000, 10000000, 10000000, 0
166, 601, 692, 598, 710, 10346264, 10000000, 2, 19, 4, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 601, 692, 598, 750, 10346264, 10000000, 2, 148, 4, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 601, 692, 598, 780, 10346264, 10000000, 2, 172, 4, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 601, 692, 598, 787, 10346264, 10000000, 2, 193, 4, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 598, 787, 619, 798, 10354646, 10000000, 3, 176, 193, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 598, 787, 550, 801, 10354647, 10000000, 3, 128, 193, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 598, 787, 649, 798, 10354647, 10000000, 3, 138, 193, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 598, 787, 686, 798, 10354647, 10000000, 3, 6, 193, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 598, 787, 387, 801, 10354647, 10000000, 3, 188, 193, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 598, 787, 380, 801, 10354647, 10000000, 3, 163, 193, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 686, 798, 844, 798, 10357781, 10000000, 4, 155, 6, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 686, 798, 520, 801, 10357781, 10000000, 4, 33, 6, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 844, 798, 894, 798, 10370199, 10000000, 5, 57, 155, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 844, 798, 920, 801, 10370199, 10000000, 5, 51, 155, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 844, 798, 960, 801, 10370200, 10000000, 5, 140, 155, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 844, 798, 1001, 812, 10370200, 10000000, 5, 191, 155, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 619, 798, 484, 798, 10375814, 10000000, 4, 82, 176, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 550, 801, 387, 801, 10398678, 10000000, 4, 197, 128, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
166, 550, 801, 353, 801, 10398678, 10000000, 4, 159, 128, 700, 750, 10000000, 10000000, 10000000, 10000000, 10000000, 0
11, 1, 95, -1, 102, 11300200, 1, 1, 29, 11, 700, 750, 29, 10000000, 10000000, 10000000, 10000000, 0
110, 201, 74, 201, 99, 12300200, 2, 1, 98, 110, 700, 750, 143, 98, 119, 10000000, 10000000, 0
110, 201, 74, 198, 129, 12300200, 1, 1, 143, 110, 700, 750, 143, 98, 119, 10000000, 10000000, 0
110, 198, 129, 201, 312, 12300718, 1, 1, 23, 143, 700, 750, 23, 119, 174, 27, 116, 0
110, 201, 312, 198, 324, 12301236, 5, 1, 137, 23, 700, 750, 186, 195, 189, 165, 137, 0
110, 201, 312, 198, 361, 12301236, 4, 1, 165, 23, 700, 750, 186, 195, 189, 165, 137, 0
110, 201, 312, 198, 385, 12301237, 3, 1, 189, 23, 700, 750, 186, 195, 189, 165, 137, 0
110, 201, 312, 201, 415, 12301237, 2, 1, 195, 23, 700, 750, 186, 195, 189, 165, 137, 0
110, 201, 312, 201, 433, 12301237, 1, 1, 186, 23, 700, 750, 186, 195, 189, 165, 137, 0
110, 201, 433, 201, 472, 12301755, 4, 1, 149, 186, 700, 750, 135, 45, 65, 149, 67, 0
110, 201, 433, 201, 512, 12301755, 3, 1, 65, 186, 700, 750, 135, 45, 65, 149, 67, 0
110, 201, 512, 201, 672, 12310273, 2, 1, 154, 65, 700, 750, 45, 154, 135, 10000000, 10000000, 0
171, 201, 45, 198, 57, 13300200, 4, 1, 60, 171, 700, 750, 98, 143, 110, 60, 7, 0
171, 201, 45, 201, 86, 13300200, 3, 1, 110, 171, 700, 750, 98, 143, 110, 60, 7, 0
171, 201, 45, 201, 110, 13300200, 1, 1, 98, 171, 700, 750, 98, 143, 110, 60, 7, 0
171, 201, 45, 198, 116, 13300200, 2, 1, 143, 171, 700, 750, 98, 143, 110, 60, 7, 0
171, 201, 110, 198, 116, 13300718, 2, 1, 143, 98, 700, 750, 119, 143, 10000000, 10000000, 10000000, 0
171, 198, 116, 198, 273, 13304718, 4, 1, 13, 143, 700, 750, 23, 119, 174, 13, 27, 0
171, 198, 116, 201, 286, 13304718, 2, 1, 119, 143, 700, 750, 23, 119, 174, 13, 27, 0
171, 198, 116, 201, 325, 13304718, 1, 1, 23, 143, 700, 750, 23, 119, 174, 13, 27, 0
171, 201, 325, 198, 349, 13305237, 4, 1, 165, 23, 700, 750, 186, 195, 189, 165, 149, 0
171, 201, 325, 198, 381, 13305237, 3, 1, 189, 23, 700, 750, 186, 195, 189, 165, 149, 0
171, 201, 325, 201, 419, 13305237, 2, 1, 195, 23, 700, 750, 186, 195, 189, 165, 149, 0
171, 201, 325, 201, 444, 13305237, 1, 1, 186, 23, 700, 750, 186, 195, 189, 165, 149, 0
171, 201, 325, 201, 486, 13305237, 5, 1, 149, 23, 700, 750, 186, 195, 189, 165, 149, 0
171, 201, 444, 201, 486, 13305755, 4, 1, 149, 186, 700, 750, 135, 65, 45, 149, 67, 0
171, 201, 444, 201, 525, 13305755, 2, 1, 65, 186, 700, 750, 135, 65, 45, 149, 67, 0
171, 201, 525, 198, 668, 13310274, 4, 1, 10, 65, 700, 750, 154, 45, 135, 10, 10000000, 0
171, 201, 525, 201, 686, 13310274, 1, 1, 154, 65, 700, 750, 154, 45, 135, 10, 10000000, 0
171, 198, 668, 201, 686, 13322792, 1, 1, 154, 10, 700, 750, 154, 67, 123, 3, 10000000, 0
171, 198, 668, 201, 733, 13322792, 2, 1, 67, 10, 700, 750, 154, 67, 123, 3, 10000000, 0
171, 201, 733, 201, 686, 13327310, 1, 1, 154, 67, 700, 750, 154, 10000000, 10000000, 10000000, 10000000, 0
116, 109, 201, 145, 201, 14300200, 5, 1, 174, 116, 700, 750, 141, 71, 27, 119, 174, 0
116, 109, 201, 303, 201, 14300200, 1, 1, 141, 116, 700, 750, 141, 71, 27, 119, 174, 0
116, 303, 201, 374, 201, 14300718, 5, 1, 194, 141, 700, 750, 105, 49, 180, 88, 194, 0
116, 303, 201, 504, 198, 14300719, 1, 1, 105, 141, 700, 750, 105, 49, 180, 88, 194, 0
116, 504, 198, 547, 201, 14301237, 4, 1, 175, 105, 700, 750, 88, 86, 196, 175, 41, 0
116, 504, 198, 554, 198, 14301237, 1, 1, 88, 105, 700, 750, 88, 86, 196, 175, 41, 0
116, 504, 198, 571, 201, 14301237, 3, 1, 196, 105, 700, 750, 88, 86, 196, 175, 41, 0
116, 554, 198, 547, 201, 14301755, 5, 1, 175, 88, 700, 750, 86, 157, 124, 196, 175, 0
116, 554, 198, 571, 201, 14301755, 4, 1, 196, 88, 700, 750, 86, 157, 124, 196, 175, 0
116, 554, 198, 661, 201, 14301755, 1, 1, 86, 88, 700, 750, 86, 157, 124, 196, 175, 0
116, 554, 198, 696, 198, 14301755, 3, 1, 124, 88, 700, 750, 86, 157, 124, 196, 175, 0
116, 661, 201, 711, 201, 14302274, 3, 1, 157, 86, 700, 750, 113, 58, 157, 10000000, 10000000, 0
116, 145, 201, 276, 201, 14316718, 2, 1, 71, 174, 700, 750, 27, 71, 119, 23, 125, 0
116, 276, 201, 345, 201, 14321236, 5, 1, 177, 71, 700, 750, 104, 180, 105, 194, 177, 0
116, 276, 201, 374, 201, 14321236, 4, 1, 194, 71, 700, 750, 104, 180, 105, 194, 177, 0
116, 374, 201, 505, 198, 14333755, 3, 1, 105, 194, 700, 750, 88, 41, 105, 180, 104, 0
116, 374, 201, 554, 198, 14333755, 1, 1, 88, 194, 700, 750, 88, 41, 105, 180, 104, 0
116, 554, 198, 571, 201, 14334273, 4, 1, 196, 88, 700, 750, 86, 157, 124, 196, 102, 0
