source_id,send_x,send_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,send_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
166, 20, 198, 45, 198, 10300200, 4, 1, 160, 166, 700, 750, 116, 56, 17, 160, 32
166, 20, 198, 82, 198, 10300200, 2, 1, 56, 166, 700, 750, 116, 56, 17, 160, 32
166, 20, 198, 112, 201, 10300200, 3, 1, 17, 166, 700, 750, 116, 56, 17, 160, 32
166, 20, 198, 159, 201, 10300200, 1, 1, 116, 166, 700, 750, 116, 56, 17, 160, 32
166, 159, 201, 181, 201, 10300718, 4, 1, 174, 116, 700, 750, 27, 119, 23, 174, 141
166, 159, 201, 201, 245, 10300718, 2, 1, 119, 116, 700, 750, 27, 119, 23, 174, 141
166, 159, 201, 284, 198, 10300718, 1, 1, 27, 116, 700, 750, 27, 119, 23, 174, 141
166, 284, 198, 357, 201, 10301237, 3, 1, 141, 27, 700, 750, 88, 194, 141, 180, 177
166, 284, 198, 379, 201, 10301237, 5, 1, 177, 27, 700, 750, 88, 194, 141, 180, 177
166, 284, 198, 387, 201, 10301237, 2, 1, 194, 27, 700, 750, 88, 194, 141, 180, 177
166, 284, 198, 418, 198, 10301237, 4, 1, 180, 27, 700, 750, 88, 194, 141, 180, 177
166, 284, 198, 495, 198, 10301237, 1, 1, 88, 27, 700, 750, 88, 194, 141, 180, 177
166, 495, 198, 513, 201, 10301755, 5, 1, 49, 88, 700, 750, 196, 175, 109, 124, 49
166, 495, 198, 553, 201, 10301755, 3, 1, 109, 88, 700, 750, 196, 175, 109, 124, 49
166, 495, 198, 581, 201, 10301755, 2, 1, 175, 88, 700, 750, 196, 175, 109, 124, 49
166, 495, 198, 587, 201, 10301755, 1, 1, 196, 88, 700, 750, 196, 175, 109, 124, 49
166, 495, 198, 648, 198, 10301756, 4, 1, 124, 88, 700, 750, 196, 175, 109, 124, 49
166, 587, 201, 648, 198, 10302274, 4, 1, 124, 196, 700, 750, 150, 47, 102, 124, 86
166, 587, 201, 680, 198, 10302274, 3, 1, 102, 196, 700, 750, 150, 47, 102, 124, 86
166, 587, 201, 598, 316, 10302274, 2, 1, 47, 196, 700, 750, 150, 47, 102, 124, 86
166, 587, 201, 717, 201, 10302274, 5, 1, 86, 196, 700, 750, 150, 47, 102, 124, 86
166, 587, 201, 598, 359, 10302274, 1, 1, 150, 196, 700, 750, 150, 47, 102, 124, 86
166, 201, 245, 201, 285, 10305236, 5, 1, 23, 119, 700, 750, 195, 189, 165, 186, 23
166, 201, 245, 198, 387, 10305237, 2, 1, 189, 119, 700, 750, 195, 189, 165, 186, 23
166, 201, 245, 201, 412, 10305237, 1, 1, 195, 119, 700, 750, 195, 189, 165, 186, 23
166, 201, 412, 201, 446, 10305755, 5, 1, 149, 195, 700, 750, 65, 135, 154, 45, 149
166, 201, 412, 247, 398, 10305755, 2, 1, 135, 195, 700, 750, 65, 135, 154, 45, 149
166, 201, 412, 201, 486, 10305755, 1, 1, 65, 195, 700, 750, 65, 135, 154, 45, 149
166, 201, 486, 201, 645, 10306273, 2, 1, 154, 65, 700, 750, 67, 154, 10000000, 10000000, 10000000
166, 247, 398, 283, 398, 10310273, 2, 1, 45, 135, 700, 750, 18, 45, 10000000, 10000000, 10000000
166, 247, 398, 314, 401, 10310273, 1, 1, 18, 135, 700, 750, 18, 45, 10000000, 10000000, 10000000
166, 201, 645, 201, 689, 10310792, 1, 1, 67, 154, 700, 750, 67, 10000000, 10000000, 10000000, 10000000
166, 680, 198, 717, 201, 10310792, 1, 1, 86, 102, 700, 750, 86, 113, 58, 10000000, 10000000
166, 201, 285, 198, 314, 10321754, 3, 1, 13, 23, 700, 750, 165, 137, 13, 189, 195
166, 201, 285, 198, 350, 10321755, 2, 1, 137, 23, 700, 750, 165, 137, 13, 189, 195
166, 201, 285, 198, 379, 10321755, 1, 1, 165, 23, 700, 750, 165, 137, 13, 189, 195
166, 201, 285, 198, 387, 10321755, 4, 1, 189, 23, 700, 750, 165, 137, 13, 189, 195
166, 201, 285, 201, 412, 10321755, 5, 1, 195, 23, 700, 750, 165, 137, 13, 189, 195
166, 198, 379, 201, 419, 10322273, 5, 1, 186, 165, 700, 750, 65, 135, 149, 45, 186
166, 198, 379, 201, 446, 10322273, 3, 1, 149, 165, 700, 750, 65, 135, 149, 45, 186
166, 198, 379, 201, 486, 10322273, 1, 1, 65, 165, 700, 750, 65, 135, 149, 45, 186
11, 1, 95, -1, 102, 11300200, 2, 1, 29, 11, 700, 750, 32, 29, 10000000, 10000000, 10000000
11, 1, 95, 1, 295, 11300200, 1, 1, 32, 11, 700, 750, 32, 29, 10000000, 10000000, 10000000
11, 1, 295, -1, 304, 11300718, 2, 1, 64, 32, 700, 750, 43, 64, 10000000, 10000000, 10000000
11, 1, 295, 1, 491, 11300719, 1, 1, 43, 32, 700, 750, 43, 64, 10000000, 10000000, 10000000
11, 1, 491, -1, 509, 11301237, 2, 1, 50, 43, 700, 750, 145, 50, 28, 10000000, 10000000
11, 1, 491, -1, 545, 11301237, 1, 1, 145, 43, 700, 750, 145, 50, 28, 10000000, 10000000
11, -1, 545, 1, 696, 11301756, 1, 1, 28, 145, 700, 750, 28, 121, 34, 2, 178
11, -1, 545, -1, 702, 11301756, 4, 1, 2, 145, 700, 750, 28, 121, 34, 2, 178
110, 201, 74, 198, 73, 12300200, 4, 1, 60, 110, 700, 750, 143, 98, 119, 60, 10000000
110, 201, 74, 201, 99, 12300200, 2, 1, 98, 110, 700, 750, 143, 98, 119, 60, 10000000
110, 201, 74, 198, 129, 12300200, 1, 1, 143, 110, 700, 750, 143, 98, 119, 60, 10000000
110, 198, 129, 201, 272, 12300718, 2, 1, 119, 143, 700, 750, 23, 119, 174, 13, 116
110, 201, 272, 198, 324, 12305236, 2, 1, 137, 119, 700, 750, 186, 137, 165, 195, 189
110, 201, 272, 198, 361, 12305236, 3, 1, 165, 119, 700, 750, 186, 137, 165, 195, 189
110, 201, 272, 198, 384, 12305237, 5, 1, 189, 119, 700, 750, 186, 137, 165, 195, 189
110, 201, 272, 201, 415, 12305237, 4, 1, 195, 119, 700, 750, 186, 137, 165, 195, 189
110, 201, 272, 201, 434, 12305237, 1, 1, 186, 119, 700, 750, 186, 137, 165, 195, 189
110, 201, 434, 201, 472, 12305755, 2, 1, 149, 186, 700, 750, 65, 149, 45, 135, 154
110, 201, 434, 201, 512, 12305755, 1, 1, 65, 186, 700, 750, 65, 149, 45, 135, 154
110, 201, 512, 198, 682, 12306274, 3, 1, 10, 65, 700, 750, 154, 67, 10, 10000000, 10000000
110, 198, 682, 201, 672, 12314792, 2, 1, 154, 10, 700, 750, 67, 154, 123, 3, 10000000
110, 198, 682, 201, 719, 12314792, 1, 1, 67, 10, 700, 750, 67, 154, 123, 3, 10000000
110, 201, 672, 201, 719, 12319310, 1, 1, 67, 154, 700, 750, 67, 10000000, 10000000, 10000000, 10000000
171, 201, 45, 198, 57, 13300200, 4, 1, 60, 171, 700, 750, 143, 98, 110, 60, 119
171, 201, 45, 201, 86, 13300200, 3, 1, 110, 171, 700, 750, 143, 98, 110, 60, 119
171, 201, 45, 201, 110, 13300200, 2, 1, 98, 171, 700, 750, 143, 98, 110, 60, 119
171, 201, 45, 198, 116, 13300200, 1, 1, 143, 171, 700, 750, 143, 98, 110, 60, 119
