source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,send_log
243, 219, -1, 10299999, 1, 7, 117, 62, 164, 98, 1, 0.97026, 0.723334, 1, 0.75622, 10000000, 243
243, 248, -1, 10300200, 2, 150, 62, 143, 7, 275, 1, 1, 0.724492, 1, 0.430144, 10000000, 0
243, 280, -1, 10300200, 2, 62, 143, 231, 275, 150, 1, 0.845241, 0.538641, 0.53768, 0.242021, 10000000, 1
243, 319, 1, 10300200, 2, 5, 231, 150, 275, 152, 0.968874, 1, 1, 1, 0.8605, 10000000, 0
243, 319, 1, 10300783, 2, 5, 231, 150, 275, 152, 0.968813, 1, 1, 1, 0.860446, 10000000, 1
243, 354, 1, 10300783, 2, 152, 5, 48, 231, 150, 1, 1, 0.86158, 1, 1, 10000000, 0
243, 401, 12, 10300783, 2, 100, 48, 280, 152, 5, 1, 1, 0.646801, 1, 0.968813, 10000000, 0
243, 401, 12, 10301366, 2, 100, 48, 280, 152, 5, 1, 1, 0.64676, 1, 0.968752, 10000000, 0
243, 401, 19, 10301366, 2, 132, 100, 280, 48, 237, 0.952777, 0.862634, 0.754553, 0.969216, 0.603222, 10000000, 1
243, 401, 79, 10305949, 2, 237, 280, 132, 100, 10000000, 0.96286, 0.754181, 0.753438, 0.646656, 0, 10000000, 0
243, 398, 114, 10305949, 2, 292, 268, 41, 280, 237, 1, 1, 0.86121, 1, 1, 10000000, 0
243, 398, 155, 10305950, 2, 41, 292, 268, 221, 264, 1, 1, 1, 0.969477, 0.969935, 10000000, 1
243, 398, 187, 10305950, 2, 256, 41, 112, 88, 221, 0.872245, 1, 1, 0.847295, 1, 10000000, 0
243, 412, 198, 10306533, 2, 41, 216, 49, 88, 116, 1, 0.939334, 0.94967, 1, 0.759932, 10000000, 0
243, 412, 198, 10306533, 2, 41, 88, 112, 216, 116, 0.9688, 1, 1, 0.645533, 0.605, 10000000, 0
243, 387, 201, 10306533, 2, 111, 41, 88, 112, 201, 1, 1, 1, 1, 0.538295, 10000000, 0
243, 401, 287, 10306533, 2, 255, 256, 111, 201, 198, 1, 0.937006, 1, 0.753613, 0.611585, 10000000, 1
243, 398, 347, 10307116, 2, 104, 198, 255, 256, 201, 1, 1, 1, 1, 1, 10000000, 0
243, 398, 375, 10307116, 2, 104, 198, 255, 24, 256, 1, 1, 1, 0.752234, 1, 10000000, 0
