source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id ,send_log
17, 112, 201, 10299999, 1, 27, 174, 119, 23, 116, 0.969437, 1, 0.864459, 0.754035, 1, 37, 0, 1, 0, 0, 0, 1
116, 159, 201, 10300200, 2, 27, 119, 23, 174, 141, 1, 1, 0.861735, 1, 0.361741, 37, 0, 0, 0, 1, 0, 0
174, 181, 201, 10300200, 2, 71, 27, 23, 119, 194, 1, 1, 1, 1, 0.48286, 37, 0, 0, 0, 0, 1, 0
27, 284, 198, 10300200, 2, 88, 141, 180, 177, 194, 0.794808, 0.960872, 0.635468, 0.648434, 0.539654, 37, 0, 0, 1, 1, 1, 1
141, 357, 201, 10300805, 3, 88, 180, 41, 105, 194, 1, 1, 0.861701, 1, 1, 37, 0, 1, 0, 0, 1, 1
177, 379, 201, 10300805, 3, 175, 41, 88, 105, 180, 1, 1, 1, 1, 1, 37, 1, 0, 0, 0, 1, 0
194, 387, 201, 10300805, 3, 104, 41, 88, 105, 180, 1, 1, 1, 1, 1, 37, 0, 0, 0, 0, 1, 0
180, 418, 198, 10300806, 3, 175, 196, 124, 88, 41, 0.754851, 0.648477, 0.215815, 1, 0.861701, 37, 1, 1, 1, 0, 0, 0
194, 387, 201, 10305410, 4, 104, 41, 88, 105, 180, 1, 1, 1, 1, 1, 37, 0, 0, 0, 0, 1, 0
180, 418, 198, 10305411, 4, 175, 196, 124, 88, 41, 0.754477, 0.648154, 0.215708, 1, 0.861273, 37, 1, 1, 1, 0, 0, 0
105, 448, 198, 10305411, 4, 196, 124, 175, 88, 109, 0.648154, 0.189975, 0.273928, 1, 0.726123, 37, 1, 1, 1, 0, 0, 0
88, 495, 198, 10305411, 4, 196, 175, 102, 109, 124, 0.864205, 0.844981, 0.702556, 0.797488, 0.569925, 37, 1, 1, 0, 0, 0, 1
109, 553, 201, 10306016, 5, 153, 168, 196, 175, 102, 0.158685, 0.137534, 1, 1, 1, 37, 1, 1, 1, 1, 0, 0
175, 581, 201, 10306016, 5, 196, 168, 113, 102, 124, 1, 0.32241, 0.137406, 1, 1, 37, 1, 1, 1, 0, 0, 0
196, 587, 201, 10306016, 5, 168, 106, 150, 47, 102, 0.137534, 0.18885, 0.756222, 0.757762, 1, 37, 1, 1, 0, 0, 0, 1
124, 648, 198, 10306016, 5, 173, 86, 102, 157, 99, 1, 0.862827, 1, 0.322985, 0.318131, 37, 1, 0, 0, 0, 0, 0
102, 680, 198, 10306621, 6, 86, 157, 106, 173, 113, 1, 0.79825, 0.607729, 0.482304, 0.319288, 37, 0, 0, 0, 1, 1, 1
47, 598, 316, 10306621, 6, 21, 150, 107, 131, 35, 0.860799, 1, 0.75471, 0.64524, 0.540054, 37, 0, 0, 1, 1, 0, 0
150, 598, 359, 10306622, 6, 21, 107, 35, 131, 85, 1, 0.862526, 0.648065, 0.96786, 0.466214, 37, 0, 0, 0, 0, 0, 1
21, 601, 486, 10315227, 7, 179, 117, 85, 4, 10000000, 0.859649, 0.725575, 0.844762, 0, 0, 37, 1, 0, 0, 1, 1, 1
85, 598, 515, 10315227, 7, 4, 179, 117, 115, 84, 1, 1, 1, 0.645375, 0.539454, 37, 0, 1, 0, 1, 0, 0
85, 598, 515, 10315832, 8, 4, 179, 117, 115, 84, 1, 1, 1, 0.645333, 0.539419, 37, 0, 1, 0, 1, 0, 0
117, 598, 551, 10315832, 8, 4, 179, 115, 193, 172, 1, 1, 0.860444, 0.158863, 0.15877, 37, 0, 1, 0, 1, 1, 1
179, 598, 580, 10320437, 9, 4, 84, 115, 193, 172, 1, 0.862642, 0.967521, 0.322633, 0.274283, 37, 0, 0, 0, 1, 1, 0
4, 601, 692, 10320438, 9, 84, 148, 10000000, 10000000, 10000000, 0.539151, 0.965494, 0, 0, 0, 37, 0, 0, 1, 1, 1, 1
148, 598, 750, 10321043, 10, 176, 6, 138, 69, 10000000, 0.968044, 0.753669, 0.754959, 0.137336, 0, 37, 1, 0, 1, 1, 1, 1
86, 717, 201, 10323227, 7, 173, 58, 113, 157, 106, 1, 0.752748, 0.859955, 1, 1, 37, 1, 0, 0, 0, 0, 1
157, 756, 201, 10323227, 7, 113, 58, 40, 10000000, 10000000, 1, 0.860283, 0.360566, 0, 0, 37, 0, 0, 1, 1, 1, 0
173, 818, 198, 10323227, 7, 58, 113, 157, 10000000, 10000000, 0.860283, 0.967449, 1, 0, 0, 37, 0, 0, 0, 1, 1, 0
106, 847, 198, 10323227, 7, 173, 58, 113, 157, 10000000, 1, 0.752748, 0.859955, 1, 0, 37, 1, 0, 0, 0, 1, 0
157, 756, 201, 10323832, 8, 113, 58, 40, 10000000, 10000000, 1, 0.860227, 0.36054, 0, 0, 37, 0, 0, 1, 1, 1, 0
173, 818, 198, 10323832, 8, 58, 113, 157, 10000000, 10000000, 0.860227, 0.967386, 1, 0, 0, 37, 0, 0, 0, 1, 1, 1
106, 847, 198, 10323832, 8, 173, 58, 113, 157, 10000000, 1, 0.752699, 0.859899, 1, 0, 37, 1, 0, 0, 0, 1, 0
157, 756, 201, 10324437, 9, 113, 58, 40, 10000000, 10000000, 1, 0.860171, 0.360514, 0, 0, 37, 0, 0, 1, 1, 1, 0
113, 801, 245, 10333042, 10, 58, 40, 10000000, 10000000, 10000000, 1, 0.535753, 0, 0, 0, 37, 0, 0, 1, 1, 1, 1
58, 801, 287, 10333647, 11, 40, 10000000, 10000000, 10000000, 10000000, 0.943858, 0, 0, 0, 0, 37, 0, 1, 1, 1, 1, 1
40, 798, 323, 10333648, 11, 190, 170, 111, 126, 81, 1, 0.967565, 0.857885, 0.751401, 0.644855, 37, 1, 1, 0, 1, 0, 0
40, 798, 323, 10334253, 12, 190, 170, 111, 126, 81, 1, 0.967502, 0.857829, 0.751352, 0.644813, 37, 1, 1, 0, 1, 0, 1
190, 787, 401, 10334858, 13, 87, 133, 118, 10000000, 10000000, 0.961639, 0.53568, 0.432696, 0, 0, 37, 0, 0, 0, 1, 1, 1
87, 798, 516, 10335463, 14, 94, 118, 133, 130, 9, 0.968649, 1, 1, 0.752481, 0.536257, 37, 0, 0, 0, 1, 0, 1
133, 798, 552, 10336068, 15, 94, 118, 130, 37, 9, 0.968586, 1, 0.967413, 0.431443, 0.643466, 37, 0, 0, 0, 0, 0, 0
118, 801, 648, 10336069, 15, 37, 94, 184, 10000000, 10000000, 0.857243, 1, 0.410368, 0, 0, 37, 0, 0, 1, 1, 1, 0
94, 801, 678, 10336069, 15, 37, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 37, 0, 1, 1, 1, 1, 0
118, 801, 648, 10344674, 16, 37, 94, 184, 10000000, 10000000, 0.856454, 1, 0.409886, 0, 0, 37, 0, 0, 1, 1, 1, 0
94, 801, 678, 10344674, 16, 37, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 37, 0, 1, 1, 1, 1, 0
11, 1, 95, 11299999, 1, 29, 8, 10000000, 10000000, 10000000, 0.972344, 0.540414, 0, 0, 0, 155, 0, 0, 1, 1, 1, 0
29, -1, 102, 11300200, 2, 32, 166, 160, 56, 64, 0.969452, 0.969043, 0.755179, 0.54002, 0.120697, 155, 0, 1, 1, 0, 1, 1
98, 201, 99, 12299999, 1, 143, 119, 10000000, 10000000, 10000000, 0.846579, 0.306337, 0, 0, 0, 138, 0, 0, 1, 1, 1, 0
143, 198, 129, 12300200, 2, 23, 119, 174, 27, 116, 1, 1, 0.969075, 0.645257, 0.754708, 138, 0, 0, 1, 0, 0, 1
119, 201, 272, 12300200, 2, 189, 137, 165, 149, 23, 0.958352, 1, 0.846502, 0.685071, 1, 138, 1, 0, 0, 0, 0, 0
119, 201, 272, 12300805, 3, 189, 137, 165, 149, 23, 0.958259, 1, 0.84644, 0.685014, 1, 138, 1, 0, 0, 0, 0, 0
23, 201, 312, 12305410, 4, 186, 195, 189, 165, 149, 1, 1, 1, 1, 0.431618, 138, 0, 1, 1, 0, 0, 0
137, 198, 324, 12305410, 4, 65, 149, 186, 195, 189, 0.971008, 1, 1, 1, 1, 138, 0, 0, 0, 1, 1, 0
165, 198, 361, 12305410, 4, 65, 149, 186, 135, 195, 1, 1, 1, 0.860292, 1, 138, 0, 0, 0, 0, 1, 0
189, 198, 384, 12305410, 4, 65, 135, 149, 45, 186, 1, 1, 1, 0.86378, 1, 138, 0, 0, 0, 0, 0, 1
186, 201, 434, 12306016, 5, 65, 45, 135, 149, 67, 1, 0.863724, 1, 1, 0.189446, 138, 0, 0, 0, 0, 0, 0
149, 201, 472, 12306016, 5, 154, 65, 45, 135, 67, 0.766187, 1, 0.863724, 0.752707, 0.137474, 138, 0, 0, 0, 0, 0, 0
65, 201, 512, 12306016, 5, 154, 45, 10, 10000000, 10000000, 0.479455, 0.539827, 0, 0, 0, 138, 0, 0, 0, 1, 1, 1
119, 201, 286, 13299999, 1, 189, 195, 23, 149, 27, 0.964115, 0.571065, 1, 0.723039, 0.538214, 87, 1, 1, 0, 0, 0, 0
23, 201, 325, 13300200, 2, 189, 195, 186, 165, 149, 1, 1, 1, 1, 0.55023, 87, 1, 1, 0, 0, 0, 0
189, 198, 381, 13300200, 2, 135, 195, 45, 149, 186, 0.972529, 1, 0.755833, 1, 1, 87, 0, 1, 0, 0, 0, 1
