source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
198, 105, 198, 154, 10300200, 3, 1, 143, 60, 176, 614, 798, 119, 23, 143, 174, 116
198, 105, 201, 245, 10300200, 1, 1, 119, 60, 176, 614, 798, 119, 23, 143, 174, 116
201, 245, 198, 351, 10300734, 4, 2, 137, 119, 176, 614, 798, 189, 195, 149, 137, 165
201, 245, 198, 387, 10300734, 1, 2, 189, 119, 176, 614, 798, 189, 195, 149, 137, 165
198, 387, 201, 418, 10301269, 5, 3, 186, 189, 176, 614, 798, 65, 45, 149, 135, 186
198, 387, 247, 398, 10301269, 4, 3, 135, 189, 176, 614, 798, 65, 45, 149, 135, 186
198, 387, 201, 446, 10301269, 3, 3, 149, 189, 176, 614, 798, 65, 45, 149, 135, 186
198, 387, 201, 485, 10301269, 1, 3, 65, 189, 176, 614, 798, 65, 45, 149, 135, 186
201, 485, 201, 645, 10301803, 1, 4, 154, 65, 176, 614, 798, 154, 10000000, 10000000, 10000000, 10000000
201, 645, 201, 689, 10302337, 1, 5, 67, 154, 176, 614, 798, 67, 10, 136, 182, 10000000
201, 645, 198, 710, 10302338, 2, 5, 10, 154, 176, 614, 798, 67, 10, 136, 182, 10000000
201, 689, 198, 710, 10302872, 4, 6, 10, 67, 176, 614, 798, 136, 182, 55, 10, 10000000
247, 398, 283, 398, 10313803, 2, 4, 45, 135, 176, 614, 798, 18, 45, 65, 10000000, 10000000
247, 398, 314, 401, 10313803, 1, 4, 18, 135, 176, 614, 798, 18, 45, 65, 10000000, 10000000
198, 710, 201, 820, 10315406, 1, 7, 182, 10, 176, 614, 798, 182, 3, 136, 123, 55
201, 820, 245, 798, 10315940, 2, 8, 123, 182, 176, 614, 798, 3, 123, 10000000, 10000000, 10000000
245, 798, 278, 798, 10320474, 5, 9, 3, 123, 176, 614, 798, 163, 188, 159, 197, 3
245, 798, 354, 801, 10320474, 3, 9, 159, 123, 176, 614, 798, 163, 188, 159, 197, 3
245, 798, 387, 801, 10320475, 2, 9, 188, 123, 176, 614, 798, 163, 188, 159, 197, 3
387, 801, 483, 798, 10325009, 1, 10, 82, 188, 176, 614, 798, 82, 33, 128, 193, 176
387, 801, 520, 801, 10325009, 2, 10, 33, 188, 176, 614, 798, 82, 33, 128, 193, 176
387, 801, 550, 801, 10325009, 3, 10, 128, 188, 176, 614, 798, 82, 33, 128, 193, 176
483, 798, 520, 801, 10325543, 3, 11, 33, 82, 176, 614, 798, 138, 128, 33, 176, 6
483, 798, 550, 801, 10325543, 2, 11, 128, 82, 176, 614, 798, 138, 128, 33, 176, 6
483, 798, 619, 798, 10325543, 176, 11, 176, 82, 176, 614, 798, 138, 128, 33, 176, 6
99, 201, 148, 201, 11300200, 4, 1, 116, 17, 84, 680, 598, 27, 119, 174, 116, 23
99, 201, 175, 201, 11300200, 3, 1, 174, 17, 84, 680, 598, 27, 119, 174, 116, 23
175, 201, 201, 257, 11308734, 4, 2, 119, 174, 84, 680, 598, 71, 27, 23, 119, 194
175, 201, 300, 198, 11308734, 2, 2, 27, 174, 84, 680, 598, 71, 27, 23, 119, 194
175, 201, 312, 201, 11308734, 1, 2, 71, 174, 84, 680, 598, 71, 27, 23, 119, 194
312, 201, 387, 201, 11309268, 3, 3, 194, 71, 84, 680, 598, 88, 105, 194, 180, 41
312, 201, 424, 198, 11309269, 4, 3, 180, 71, 84, 680, 598, 88, 105, 194, 180, 41
387, 201, 424, 198, 11317803, 5, 4, 180, 194, 84, 680, 598, 104, 41, 88, 105, 180
387, 201, 462, 198, 11317803, 4, 4, 105, 194, 84, 680, 598, 104, 41, 88, 105, 180
387, 201, 401, 300, 11317803, 2, 4, 41, 194, 84, 680, 598, 104, 41, 88, 105, 180
387, 201, 398, 332, 11317803, 1, 4, 104, 194, 84, 680, 598, 104, 41, 88, 105, 180
201, 257, 201, 299, 11321268, 5, 3, 23, 119, 84, 680, 598, 195, 189, 137, 165, 23
201, 257, 198, 337, 11321268, 3, 3, 137, 119, 84, 680, 598, 195, 189, 137, 165, 23
201, 257, 198, 371, 11321268, 4, 3, 165, 119, 84, 680, 598, 195, 189, 137, 165, 23
201, 257, 198, 387, 11321268, 2, 3, 189, 119, 84, 680, 598, 195, 189, 137, 165, 23
198, 387, 201, 425, 11325803, 5, 4, 186, 189, 84, 680, 598, 45, 135, 65, 149, 186
198, 387, 259, 398, 11325803, 2, 4, 135, 189, 84, 680, 598, 45, 135, 65, 149, 186
198, 387, 201, 459, 11325803, 4, 4, 149, 189, 84, 680, 598, 45, 135, 65, 149, 186
198, 387, 201, 499, 11325803, 3, 4, 65, 189, 84, 680, 598, 45, 135, 65, 149, 186
259, 398, 297, 398, 11330337, 2, 5, 45, 135, 84, 680, 598, 18, 45, 10000000, 10000000, 10000000
259, 398, 301, 401, 11330337, 1, 5, 18, 135, 84, 680, 598, 18, 45, 10000000, 10000000, 10000000
462, 198, 501, 201, 11330337, 5, 5, 49, 105, 84, 680, 598, 196, 88, 109, 41, 49
462, 198, 510, 198, 11330337, 2, 5, 88, 105, 84, 680, 598, 196, 88, 109, 41, 49
462, 198, 540, 201, 11330337, 3, 5, 109, 105, 84, 680, 598, 196, 88, 109, 41, 49
462, 198, 587, 201, 11330337, 1, 5, 196, 105, 84, 680, 598, 196, 88, 109, 41, 49
587, 201, 660, 198, 11330871, 4, 6, 124, 196, 84, 680, 598, 150, 47, 102, 124, 86
587, 201, 598, 303, 11330871, 2, 6, 47, 196, 84, 680, 598, 150, 47, 102, 124, 86
587, 201, 695, 198, 11330871, 3, 6, 102, 196, 84, 680, 598, 150, 47, 102, 124, 86
587, 201, 703, 201, 11330872, 5, 6, 86, 196, 84, 680, 598, 150, 47, 102, 124, 86
587, 201, 598, 346, 11330872, 1, 6, 150, 196, 84, 680, 598, 150, 47, 102, 124, 86
598, 346, 601, 499, 11331406, 1, 7, 21, 150, 84, 680, 598, 21, 107, 131, 35, 85
601, 499, 598, 537, 11331940, 2, 8, 117, 21, 84, 680, 598, 179, 117, 10000000, 10000000, 10000000
601, 499, 598, 574, 11331940, 1, 8, 179, 21, 84, 680, 598, 179, 117, 10000000, 10000000, 10000000
695, 198, 703, 201, 11339406, 1, 7, 86, 102, 84, 680, 598, 86, 10000000, 10000000, 10000000, 10000000
201, 35, 198, 73, 12300200, 5, 1, 60, 171, 87, 798, 495, 143, 119, 98, 110, 60
201, 35, 201, 74, 12300200, 4, 1, 110, 171, 87, 798, 495, 143, 119, 98, 110, 60
201, 35, 201, 99, 12300200, 3, 1, 98, 171, 87, 798, 495, 143, 119, 98, 110, 60
