source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
106, 1, 201, 19, 10300200, 2, 1, 171, 38, 148, 598, 765, 7, 171, 110, 98, 143
106, 1, 278, -1, 10300200, 1, 1, 7, 38, 148, 598, 765, 7, 171, 110, 98, 143
278, -1, 320, 1, 10300551, 1, 2, 62, 7, 148, 598, 765, 62, 98, 110, 5, 10000000
320, 1, 401, 76, 10300903, 1, 3, 48, 62, 148, 598, 765, 48, 5, 100, 125, 10000000
401, 76, 398, 114, 10301254, 3, 4, 100, 48, 148, 598, 765, 194, 177, 100, 125, 49
401, 76, 398, 156, 10301254, 4, 4, 125, 48, 148, 598, 765, 194, 177, 100, 125, 49
401, 76, 387, 201, 10301254, 1, 4, 194, 48, 148, 598, 765, 194, 177, 100, 125, 49
387, 201, 448, 198, 10301605, 5, 5, 105, 194, 148, 598, 765, 104, 41, 109, 88, 105
387, 201, 401, 287, 10301605, 2, 5, 41, 194, 148, 598, 765, 104, 41, 109, 88, 105
387, 201, 398, 346, 10301605, 1, 5, 104, 194, 148, 598, 765, 104, 41, 109, 88, 105
398, 346, 485, 398, 10301957, 1, 6, 24, 104, 148, 598, 765, 24, 18, 96, 10000000, 10000000
485, 398, 514, 401, 10302308, 1, 7, 53, 24, 148, 598, 765, 53, 131, 35, 107, 10000000
485, 398, 554, 401, 10302308, 2, 7, 131, 24, 148, 598, 765, 53, 131, 35, 107, 10000000
514, 401, 554, 401, 10302659, 2, 8, 131, 53, 148, 598, 765, 21, 131, 107, 10000000, 10000000
514, 401, 644, 398, 10302659, 3, 8, 107, 53, 148, 598, 765, 21, 131, 107, 10000000, 10000000
448, 198, 495, 198, 10317956, 2, 6, 88, 105, 148, 598, 765, 41, 88, 196, 109, 49
448, 198, 513, 201, 10317956, 5, 6, 49, 105, 148, 598, 765, 41, 88, 196, 109, 49
448, 198, 401, 287, 10317957, 1, 6, 41, 105, 148, 598, 765, 41, 88, 196, 109, 49
448, 198, 553, 201, 10317957, 4, 6, 109, 105, 148, 598, 765, 41, 88, 196, 109, 49
448, 198, 587, 201, 10317957, 3, 6, 196, 105, 148, 598, 765, 41, 88, 196, 109, 49
401, 287, 398, 346, 10318308, 1, 7, 104, 41, 148, 598, 765, 104, 18, 10000000, 10000000, 10000000
398, 346, 486, 398, 10318659, 1, 8, 24, 104, 148, 598, 765, 24, 18, 96, 10000000, 10000000
486, 398, 514, 401, 10319010, 1, 9, 53, 24, 148, 598, 765, 53, 131, 35, 107, 10000000
486, 398, 553, 401, 10319010, 2, 9, 131, 24, 148, 598, 765, 53, 131, 35, 107, 10000000
486, 398, 644, 398, 10319011, 4, 9, 107, 24, 148, 598, 765, 53, 131, 35, 107, 10000000
514, 401, 553, 401, 10319361, 2, 10, 131, 53, 148, 598, 765, 21, 131, 107, 10000000, 10000000
514, 401, 644, 398, 10319362, 3, 10, 107, 53, 148, 598, 765, 21, 131, 107, 10000000, 10000000
495, 198, 513, 201, 10322307, 5, 7, 49, 88, 148, 598, 765, 41, 196, 175, 109, 49
495, 198, 553, 201, 10322308, 4, 7, 109, 88, 148, 598, 765, 41, 196, 175, 109, 49
495, 198, 581, 201, 10322308, 3, 7, 175, 88, 148, 598, 765, 41, 196, 175, 109, 49
495, 198, 587, 201, 10322308, 2, 7, 196, 88, 148, 598, 765, 41, 196, 175, 109, 49
