source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,send_log
29, -1, 116, 10299999, 1, 17, 32, 166, 160, 56, 1, 0.968507, 0.971527, 0.860587, 0.753722, 33, 1
32, 1, 280, 10300200, 2, 64, 43, 10000000, 10000000, 10000000, 0.722914, 0.107892, 0, 0, 0, 33, 1
64, -1, 318, 10304600, 3, 43, 145, 50, 10000000, 10000000, 1, 0.241157, 0.234233, 0, 0, 33, 1
43, 1, 476, 10305001, 4, 145, 50, 28, 165, 10000000, 0.822271, 0.861931, 0.379205, 0.120719, 0, 33, 1
50, -1, 520, 10305401, 5, 28, 121, 34, 103, 145, 0.969012, 0.860381, 0.755575, 0.613524, 1, 33, 0
145, -1, 556, 10305401, 5, 28, 121, 34, 178, 158, 1, 0.967929, 0.755575, 0.567213, 0.275154, 33, 1
34, 79, 598, 10305801, 6, 103, 154, 67, 152, 10000000, 1, 0.240854, 0.120797, 1, 0, 33, 1
28, 1, 680, 10305801, 6, 34, 178, 121, 2, 129, 0.863477, 0.963735, 0.967888, 0.843163, 0.68817, 33, 1
2, -1, 717, 10306202, 7, 68, 198, 192, 77, 169, 1, 1, 1, 0.755225, 0.969382, 33, 0
178, -1, 780, 10306202, 7, 152, 77, 169, 198, 192, 1, 0.863114, 1, 1, 1, 33, 1
129, 1, 850, 10306202, 7, 77, 152, 169, 198, 192, 0.863114, 0.969834, 1, 1, 1, 33, 0
192, 12, 798, 10310602, 8, 68, 77, 152, 169, 182, 0.962664, 0.970543, 1, 1, 0.379254, 33, 0
198, 12, 798, 10310602, 8, 68, 77, 152, 123, 169, 1, 1, 1, 0.466766, 1, 33, 0
169, 19, 798, 10310602, 8, 68, 10, 77, 152, 182, 0.949002, 0.789747, 1, 1, 0.274454, 33, 0
152, 40, 798, 10310602, 8, 77, 68, 182, 123, 136, 0.970543, 0.721998, 0.411681, 0.274195, 0.274776, 33, 1
77, 86, 798, 10311002, 9, 55, 182, 68, 136, 123, 1, 0.635463, 0.860899, 0.412142, 0.32273, 33, 1
68, 108, 801, 10311002, 9, 3, 123, 182, 136, 55, 0.968924, 0.968191, 1, 0.859237, 0.754022, 33, 0
68, 108, 801, 10311402, 10, 3, 123, 182, 136, 55, 0.968882, 0.968149, 1, 0.8592, 0.75399, 33, 0
182, 201, 819, 10311402, 10, 95, 3, 123, 163, 188, 0.932017, 1, 1, 0.466214, 0.3774, 33, 1
123, 245, 798, 10311403, 10, 188, 159, 3, 95, 197, 0.821323, 0.754205, 1, 0.753958, 0.602091, 33, 0
103, 112, 601, 10314201, 7, 154, 67, 20, 10, 10000000, 0.96629, 0.754214, 0.319195, 0, 0, 33, 1
123, 245, 798, 10315803, 11, 188, 159, 3, 95, 197, 0.820829, 0.753847, 1, 0.753601, 0.601772, 33, 0
3, 278, 798, 10315803, 11, 188, 197, 159, 95, 163, 0.846243, 0.842481, 0.842705, 0.846478, 0.430898, 33, 0
95, 318, 801, 10315803, 11, 82, 197, 188, 163, 159, 0.967863, 1, 1, 1, 1, 33, 1
159, 354, 801, 10316203, 12, 82, 33, 197, 188, 31, 0.967821, 0.722873, 1, 1, 0.97121, 33, 0
