source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
181, 201, 201, 285, 10300200, 3, 1, 23, 174, 85, 598, 519, 71, 27, 23, 165, 189
181, 201, 284, 198, 10300200, 2, 1, 27, 174, 85, 598, 519, 71, 27, 23, 165, 189
284, 198, 357, 201, 10304638, 3, 2, 141, 27, 85, 598, 519, 180, 88, 141, 194, 177
284, 198, 379, 201, 10304638, 5, 2, 177, 27, 85, 598, 519, 180, 88, 141, 194, 177
284, 198, 387, 201, 10304638, 4, 2, 194, 27, 85, 598, 519, 180, 88, 141, 194, 177
284, 198, 418, 198, 10304638, 1, 2, 180, 27, 85, 598, 519, 180, 88, 141, 194, 177
418, 198, 495, 198, 10305077, 5, 3, 88, 180, 85, 598, 519, 41, 175, 196, 124, 88
495, 198, 553, 201, 10321515, 4, 4, 109, 88, 85, 598, 519, 196, 175, 41, 109, 102
495, 198, 581, 201, 10321515, 2, 4, 175, 88, 85, 598, 519, 196, 175, 41, 109, 102
495, 198, 587, 201, 10321515, 1, 4, 196, 88, 85, 598, 519, 196, 175, 41, 109, 102
587, 201, 598, 316, 10321953, 3, 5, 47, 196, 85, 598, 519, 107, 150, 47, 21, 41
587, 201, 598, 359, 10321953, 2, 5, 150, 196, 85, 598, 519, 107, 150, 47, 21, 41
598, 359, 601, 486, 10326392, 1, 6, 21, 150, 85, 598, 519, 21, 131, 107, 35, 85
598, 359, 598, 515, 10326392, 85, 6, 85, 150, 85, 598, 519, 21, 131, 107, 35, 85
290, -1, 307, 1, 11300200, 2, 1, 62, 7, 19, 598, 715, 110, 62, 98, 5, 10000000
63, 1, 112, -1, 13300200, 4, 1, 8, 38, 184, 801, 835, 171, 7, 11, 8, 110
63, 1, 1, 121, 13300200, 3, 1, 11, 38, 184, 801, 835, 171, 7, 11, 8, 110
63, 1, 315, -1, 13300200, 2, 1, 7, 38, 184, 801, 835, 171, 7, 11, 8, 110
1, 121, -1, 277, 13308638, 2, 2, 64, 11, 184, 801, 835, 17, 64, 10000000, 10000000, 10000000
-1, 277, 1, 326, 13313077, 2, 3, 32, 64, 184, 801, 835, 43, 32, 50, 17, 10000000
201, 301, 198, 336, 14300200, 5, 1, 165, 119, 90, 663, 601, 125, 189, 195, 23, 165
201, 301, 201, 339, 14300200, 4, 1, 23, 119, 90, 663, 601, 125, 189, 195, 23, 165
201, 301, 198, 374, 14300200, 2, 1, 189, 119, 90, 663, 601, 125, 189, 195, 23, 165
201, 301, 201, 425, 14300200, 3, 1, 195, 119, 90, 663, 601, 125, 189, 195, 23, 165
198, 374, 201, 456, 14304638, 5, 2, 186, 189, 90, 663, 601, 135, 45, 65, 149, 186
198, 374, 201, 499, 14304638, 4, 2, 149, 189, 90, 663, 601, 135, 45, 65, 149, 186
