source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id ,send_log
281, 8, -1, 10299999, 1, 243, 29, 11, 8, 154, 1, 0.940039, 1, 0.97154, 1, 217, 0, 0, 0, 0, 0, 1
154, 1, 47, 10300200, 2, 159, 11, 29, 8, 38, 0.758284, 1, 0.754105, 0.755626, 0.431044, 217, 0, 0, 0, 0, 0, 0
8, 78, -1, 10300200, 2, 243, 7, 285, 144, 212, 1, 0.701435, 0.75872, 0.645256, 0.549247, 217, 0, 0, 1, 0, 1, 1
11, 1, 81, 10300200, 2, 243, 159, 29, 170, 38, 0.137429, 0.952976, 0.754105, 0.379906, 0.215522, 217, 1, 0, 0, 0, 1, 1
29, -1, 115, 10308753, 3, 32, 170, 207, 159, 197, 0.970119, 1, 0.862876, 1, 0.753539, 217, 0, 0, 1, 0, 0, 0
159, -1, 151, 10308753, 3, 32, 170, 207, 168, 64, 1, 1, 0.970736, 0.612407, 0.634995, 217, 0, 0, 1, 0, 0, 1
170, 1, 248, 10308753, 3, 168, 32, 56, 64, 10000000, 0.863238, 1, 0.752607, 0.603054, 0, 217, 0, 0, 0, 0, 1, 0
144, 156, 1, 10312753, 3, 98, 7, 117, 164, 212, 0.970946, 1, 0.96893, 1, 1, 217, 0, 0, 0, 0, 0, 0
285, 212, -1, 10312753, 3, 62, 98, 143, 117, 7, 1, 0.863063, 0.861433, 0.96893, 1, 217, 0, 0, 0, 0, 0, 0
243, 219, -1, 10312753, 3, 98, 117, 7, 164, 62, 0.863063, 0.96893, 1, 1, 0.722225, 217, 0, 0, 0, 0, 0, 1
164, 248, -1, 10313306, 4, 275, 152, 7, 117, 143, 0.536924, 0.120738, 1, 0.86122, 0.685267, 217, 1, 1, 0, 0, 0, 0
170, 1, 248, 10313306, 4, 168, 32, 56, 64, 10000000, 0.862814, 1, 0.752239, 0.602723, 0, 217, 0, 0, 0, 0, 1, 1
7, 280, -1, 10313306, 4, 5, 275, 143, 152, 150, 0, 0.644309, 0.822321, 0.644468, 0.609352, 217, 1, 1, 0, 1, 0, 1
62, 318, 1, 10313307, 4, 5, 231, 275, 48, 152, 1, 1, 1, 0.752869, 0.85929, 217, 0, 0, 1, 0, 0, 0
64, -1, 317, 10313307, 4, 43, 168, 110, 50, 245, 1, 1, 0.646459, 0.322455, 0.137218, 217, 0, 0, 0, 0, 1, 0
32, 1, 281, 10317859, 5, 168, 64, 43, 10000000, 10000000, 0.685033, 0.754958, 0.273609, 0, 0, 217, 0, 0, 0, 1, 1, 0
64, -1, 317, 10317860, 5, 43, 168, 110, 50, 245, 1, 1, 0.646142, 0.322298, 0.137132, 217, 0, 0, 0, 0, 1, 0
168, -1, 358, 10317860, 5, 43, 245, 110, 50, 10000000, 1, 0.137132, 0.646142, 0.463885, 0, 217, 0, 1, 0, 0, 1, 1
43, 1, 476, 10318413, 6, 283, 157, 50, 245, 244, 0.793192, 0.753416, 0.964667, 0.645635, 0.567184, 217, 1, 0, 0, 0, 0, 1
