source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5,pri_recover
219, -1, 201, 12, 10300200, 1, 1, 278, 243, 294, 587, 801, 278, 212, 150, 5, 98, 0
219, -1, 201, 18, 10300200, 2, 1, 212, 243, 294, 587, 801, 278, 212, 150, 5, 98, 0
201, 12, 201, 49, 10300783, 4, 2, 117, 278, 294, 587, 801, 98, 60, 240, 117, 7, 0
201, 12, 201, 76, 10300783, 1, 2, 98, 278, 294, 587, 801, 98, 60, 240, 117, 7, 0
201, 12, 280, -1, 10300783, 5, 2, 7, 278, 294, 587, 801, 98, 60, 240, 117, 7, 0
201, 12, 198, 105, 10300783, 2, 2, 60, 278, 294, 587, 801, 98, 60, 240, 117, 7, 0
201, 76, 198, 105, 10301366, 5, 3, 60, 98, 294, 587, 801, 267, 180, 226, 240, 60, 0
201, 76, 198, 153, 10301366, 2, 3, 180, 98, 294, 587, 801, 267, 180, 226, 240, 60, 0
201, 76, 198, 179, 10301366, 4, 3, 240, 98, 294, 587, 801, 267, 180, 226, 240, 60, 0
201, 76, 201, 218, 10301366, 3, 3, 226, 98, 294, 587, 801, 267, 180, 226, 240, 60, 0
198, 153, 201, 218, 10305949, 5, 4, 226, 180, 294, 587, 801, 174, 13, 23, 126, 226, 0
280, -1, 354, 1, 10317366, 5, 3, 143, 7, 294, 587, 801, 5, 275, 152, 231, 143, 0
280, -1, 401, 12, 10317366, 2, 3, 275, 7, 294, 587, 801, 5, 275, 152, 231, 143, 0
401, 12, 401, 41, 10321949, 3, 4, 152, 275, 294, 587, 801, 100, 48, 152, 280, 237, 0
401, 12, 401, 79, 10321949, 2, 4, 48, 275, 294, 587, 801, 100, 48, 152, 280, 237, 0
401, 12, 398, 114, 10321950, 1, 4, 100, 275, 294, 587, 801, 100, 48, 152, 280, 237, 0
201, 218, 201, 245, 10322532, 5, 5, 126, 226, 294, 587, 801, 174, 23, 259, 13, 126, 0
201, 218, 201, 285, 10322532, 2, 5, 23, 226, 294, 587, 801, 174, 23, 259, 13, 126, 0
201, 218, 198, 314, 10322533, 4, 5, 13, 226, 294, 587, 801, 174, 23, 259, 13, 126, 0
398, 114, 398, 180, 10322533, 5, 5, 237, 100, 294, 587, 801, 41, 292, 268, 280, 237, 0
398, 114, 398, 187, 10322533, 4, 5, 280, 100, 294, 587, 801, 41, 292, 268, 280, 237, 0
398, 114, 401, 287, 10322533, 1, 5, 41, 100, 294, 587, 801, 41, 292, 268, 280, 237, 0
401, 287, 398, 347, 10323116, 4, 6, 111, 41, 294, 587, 801, 198, 255, 201, 111, 256, 0
401, 287, 398, 375, 10323116, 3, 6, 201, 41, 294, 587, 801, 198, 255, 201, 111, 256, 0
401, 287, 398, 387, 10323116, 5, 6, 256, 41, 294, 587, 801, 198, 255, 201, 111, 256, 0
401, 287, 401, 416, 10323117, 2, 6, 255, 41, 294, 587, 801, 198, 255, 201, 111, 256, 0
401, 287, 401, 431, 10323117, 1, 6, 198, 41, 294, 587, 801, 198, 255, 201, 111, 256, 0
401, 431, 401, 467, 10323700, 1, 7, 104, 198, 294, 587, 801, 104, 148, 79, 10000000, 10000000, 0
201, 285, 198, 314, 10327116, 3, 6, 13, 23, 294, 587, 801, 259, 174, 13, 254, 206, 0
201, 285, 198, 350, 10327116, 2, 6, 174, 23, 294, 587, 801, 259, 174, 13, 254, 206, 0
201, 285, 198, 387, 10327116, 1, 6, 259, 23, 294, 587, 801, 259, 174, 13, 254, 206, 0
201, 285, 201, 419, 10327116, 4, 6, 254, 23, 294, 587, 801, 259, 174, 13, 254, 206, 0
198, 387, 201, 419, 10327699, 5, 7, 254, 259, 294, 587, 801, 65, 45, 186, 172, 254, 0
198, 387, 248, 398, 10327699, 4, 7, 172, 259, 294, 587, 801, 65, 45, 186, 172, 254, 0
198, 387, 201, 446, 10327699, 3, 7, 186, 259, 294, 587, 801, 65, 45, 186, 172, 254, 0
198, 387, 201, 486, 10327699, 1, 7, 65, 259, 294, 587, 801, 65, 45, 186, 172, 254, 0
201, 486, 201, 646, 10328283, 2, 8, 191, 65, 294, 587, 801, 67, 191, 10000000, 10000000, 10000000, 0
201, 646, 201, 690, 10332866, 2, 9, 67, 191, 294, 587, 801, 279, 67, 10, 107, 10000000, 0
201, 646, 198, 713, 10332866, 3, 9, 10, 191, 294, 587, 801, 279, 67, 10, 107, 10000000, 0
201, 646, 201, 812, 10332866, 1, 9, 279, 191, 294, 587, 801, 279, 67, 10, 107, 10000000, 0
201, 812, 220, 798, 10333449, 3, 10, 248, 279, 294, 587, 801, 3, 130, 248, 10000000, 10000000, 0
201, 812, 248, 798, 10333449, 2, 10, 130, 279, 294, 587, 801, 3, 130, 248, 10000000, 10000000, 0
201, 812, 275, 798, 10333449, 1, 10, 3, 279, 294, 587, 801, 3, 130, 248, 10000000, 10000000, 0
275, 798, 318, 801, 10334033, 5, 11, 95, 3, 294, 587, 801, 288, 204, 258, 196, 95, 0
