source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id ,send_log
29, -1, 116, 10299999, 1, 32, 166, 160, 56, 64, 1, 0.863581, 0.645442, 0.430699, 0.137268, 85, 0, 1, 1, 1, 1, 1
171, 201, 26, 11299999, 1, 143, 98, 60, 110, 119, 0.957557, 1, 0.860687, 1, 0.324301, 16, 0, 0, 0, 0, 1, 0
110, 201, 61, 11300200, 2, 143, 98, 60, 119, 10000000, 0.754201, 1, 0.965676, 0.275138, 0, 16, 0, 0, 0, 1, 1, 0
98, 201, 87, 11300200, 2, 13, 143, 119, 10000000, 10000000, 1, 0.861944, 0.441582, 0, 0, 16, 0, 0, 0, 1, 1, 1
60, 198, 89, 11300200, 2, 23, 119, 174, 143, 116, 1, 1, 0.860526, 1, 0.539325, 16, 0, 0, 1, 0, 0, 0
143, 198, 142, 11304731, 3, 23, 119, 174, 27, 116, 1, 1, 0.96762, 0.644895, 0.754686, 16, 0, 0, 1, 0, 0, 1
119, 201, 257, 11309262, 4, 189, 195, 137, 23, 165, 1, 0.919511, 1, 1, 0.686965, 16, 1, 1, 0, 0, 0, 0
23, 201, 299, 11309262, 4, 195, 189, 165, 137, 186, 1, 0.862656, 1, 0.723884, 0.537938, 16, 1, 1, 0, 0, 0, 1
137, 198, 337, 11309794, 5, 65, 195, 149, 189, 186, 1, 1, 1, 1, 1, 16, 0, 1, 0, 1, 0, 0
165, 198, 371, 11309794, 5, 65, 135, 45, 149, 195, 1, 0.970369, 0.862837, 1, 1, 16, 0, 0, 0, 0, 1, 0
189, 198, 387, 11309794, 5, 45, 135, 65, 149, 186, 0.970692, 1, 1, 1, 1, 16, 0, 0, 0, 0, 0, 0
195, 201, 412, 11309794, 5, 45, 135, 65, 149, 186, 0.862837, 1, 1, 1, 1, 16, 0, 0, 0, 0, 0, 1
