source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
1498, 1182, 1498, 1187, 10000200, 2, 1, 581, 400, 205, 901, 1542, 227, 437, 581, 344, 710
1498, 1182, 1501, 1218, 10000200, 1, 1, 437, 400, 205, 901, 1542, 227, 437, 581, 344, 710
1498, 1182, 1501, 1239, 10000200, 0, 1, 227, 400, 205, 901, 1542, 227, 437, 581, 344, 710
1501, 1239, 1475, 1201, 10000562, 2, 2, 344, 227, 205, 901, 1542, 118, 98, 344, 10000000, 10000000
1501, 1239, 1438, 1201, 10000562, 1, 2, 98, 227, 205, 901, 1542, 118, 98, 344, 10000000, 10000000
1475, 1201, 1438, 1201, 10008948, 0, 3, 98, 344, 205, 901, 1542, 98, 10000000, 10000000, 10000000, 10000000
1890, 2098, 1787, 2101, 12000200, 4, 1, 768, 129, 267, 1242, 1198, 88, 262, 449, 843, 768
1890, 2098, 1787, 2101, 12000200, 3, 1, 843, 129, 267, 1242, 1198, 88, 262, 449, 843, 768
1890, 2098, 1775, 2101, 12000200, 2, 1, 449, 129, 267, 1242, 1198, 88, 262, 449, 843, 768
1890, 2098, 1748, 2101, 12000200, 1, 1, 262, 129, 267, 1242, 1198, 88, 262, 449, 843, 768
1890, 2098, 1713, 2101, 12000200, 0, 1, 88, 129, 267, 1242, 1198, 88, 262, 449, 843, 768
1713, 2101, 1608, 2098, 12000549, 0, 2, 20, 88, 267, 1242, 1198, 20, 10000000, 10000000, 10000000, 10000000
1608, 2098, 1512, 2098, 12000873, 4, 3, 736, 20, 267, 1242, 1198, 152, 536, 712, 717, 736
1608, 2098, 1498, 2087, 12000873, 2, 3, 712, 20, 267, 1242, 1198, 152, 536, 712, 717, 736
1608, 2098, 1498, 2081, 12000873, 1, 3, 536, 20, 267, 1242, 1198, 152, 536, 712, 717, 736
1608, 2098, 1487, 2101, 12000873, 3, 3, 717, 20, 267, 1242, 1198, 152, 536, 712, 717, 736
1498, 2081, 1498, 2055, 12005298, 1, 4, 331, 536, 267, 1242, 1198, 152, 331, 10000000, 10000000, 10000000
1498, 2081, 1498, 2019, 12005298, 0, 4, 152, 536, 267, 1242, 1198, 152, 331, 10000000, 10000000, 10000000
1498, 2019, 1501, 1899, 12005595, 0, 5, 124, 152, 267, 1242, 1198, 124, 10000000, 10000000, 10000000, 10000000
1501, 1899, 1498, 1787, 12005854, 4, 6, 827, 124, 267, 1242, 1198, 246, 390, 163, 870, 827
1501, 1899, 1498, 1787, 12005854, 3, 6, 870, 124, 267, 1242, 1198, 246, 390, 163, 870, 827
1501, 1899, 1428, 1801, 12005854, 2, 6, 163, 124, 267, 1242, 1198, 246, 390, 163, 870, 827
