source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
280, 0, 440, 0, 5100275, 4, 1, 22, 14, 239, 780, 800, 451, 27, 24, 22, 401
280, 0, 480, 0, 5100275, 3, 1, 24, 14, 239, 780, 800, 451, 27, 24, 22, 401
480, 0, 620, 0, 5108551, 5, 2, 31, 24, 239, 780, 800, 35, 34, 33, 32, 31
480, 0, 640, 0, 5108551, 4, 2, 32, 24, 239, 780, 800, 35, 34, 33, 32, 31
480, 0, 660, 0, 5108551, 3, 2, 33, 24, 239, 780, 800, 35, 34, 33, 32, 31
480, 0, 680, 0, 5108551, 2, 2, 34, 24, 239, 780, 800, 35, 34, 33, 32, 31
480, 0, 700, 0, 5108551, 1, 2, 35, 24, 239, 780, 800, 35, 34, 33, 32, 31
700, 0, 800, 0, 5109476, 5, 3, 40, 35, 239, 780, 800, 85, 501, 500, 41, 40
700, 0, 800, 0, 5109476, 3, 3, 500, 35, 239, 780, 800, 85, 501, 500, 41, 40
700, 0, 820, 0, 5109476, 4, 3, 41, 35, 239, 780, 800, 85, 501, 500, 41, 40
800, 0, 800, 140, 5117752, 5, 4, 507, 500, 239, 780, 800, 90, 513, 509, 508, 507
800, 0, 800, 160, 5117752, 4, 4, 508, 500, 239, 780, 800, 90, 513, 509, 508, 507
800, 0, 800, 180, 5117752, 3, 4, 509, 500, 239, 780, 800, 90, 513, 509, 508, 507
800, 0, 800, 200, 5117752, 1, 4, 90, 500, 239, 780, 800, 90, 513, 509, 508, 507
800, 200, 800, 280, 5118457, 4, 5, 514, 90, 239, 780, 800, 518, 517, 515, 514, 520
800, 200, 800, 300, 5118457, 3, 5, 515, 90, 239, 780, 800, 518, 517, 515, 514, 520
800, 200, 800, 340, 5118457, 2, 5, 517, 90, 239, 780, 800, 518, 517, 515, 514, 520
800, 200, 800, 360, 5118457, 1, 5, 518, 90, 239, 780, 800, 518, 517, 515, 514, 520
800, 200, 800, 400, 5118458, 5, 5, 520, 90, 239, 780, 800, 518, 517, 515, 514, 520
800, 360, 800, 480, 5119363, 5, 6, 524, 518, 239, 780, 800, 528, 527, 190, 525, 524
800, 360, 800, 500, 5119363, 4, 6, 525, 518, 239, 780, 800, 528, 527, 190, 525, 524
800, 360, 800, 540, 5119363, 2, 6, 527, 518, 239, 780, 800, 528, 527, 190, 525, 524
800, 360, 800, 560, 5119363, 1, 6, 528, 518, 239, 780, 800, 528, 527, 190, 525, 524
800, 360, 800, 600, 5119363, 3, 6, 190, 518, 239, 780, 800, 528, 527, 190, 525, 524
800, 560, 800, 760, 5119689, 4, 7, 538, 528, 239, 780, 800, 240, 539, 540, 538, 537
800, 560, 800, 780, 5119689, 2, 7, 539, 528, 239, 780, 800, 240, 539, 540, 538, 537
800, 560, 800, 800, 5119689, 1, 7, 240, 528, 239, 780, 800, 240, 539, 540, 538, 537
800, 800, 800, 800, 5120054, 2, 8, 540, 240, 239, 780, 800, 239, 540, 238, 10000000, 10000000
800, 800, 780, 800, 5120054, 239, 8, 239, 240, 239, 780, 800, 239, 540, 238, 10000000, 10000000
800, 800, 780, 800, 5124329, 239, 9, 239, 540, 239, 780, 800, 239, 240, 238, 10000000, 10000000
800, 800, 780, 800, 5128604, 239, 10, 239, 240, 239, 780, 800, 239, 540, 238, 10000000, 10000000
800, 800, 780, 800, 5132879, 239, 11, 239, 540, 239, 780, 800, 239, 240, 238, 10000000, 10000000
800, 800, 780, 800, 5137154, 239, 12, 239, 240, 239, 780, 800, 239, 540, 238, 10000000, 10000000
800, 800, 780, 800, 5141429, 239, 13, 239, 540, 239, 780, 800, 239, 240, 238, 10000000, 10000000
800, 800, 780, 800, 5145704, 239, 14, 239, 240, 239, 780, 800, 239, 540, 238, 10000000, 10000000
800, 800, 780, 800, 5149979, 239, 15, 239, 540, 239, 780, 800, 239, 240, 238, 10000000, 10000000
800, 800, 780, 800, 5154254, 239, 16, 239, 240, 239, 780, 800, 239, 540, 238, 10000000, 10000000
800, 800, 780, 800, 5158529, 239, 17, 239, 540, 239, 780, 800, 239, 240, 238, 10000000, 10000000
800, 800, 780, 800, 5162804, 239, 18, 239, 240, 239, 780, 800, 239, 540, 238, 10000000, 10000000
800, 800, 780, 800, 5167079, 239, 19, 239, 540, 239, 780, 800, 239, 240, 238, 10000000, 10000000
800, 800, 780, 800, 5171354, 239, 20, 239, 240, 239, 780, 800, 239, 540, 238, 10000000, 10000000
800, 800, 780, 800, 5175629, 239, 21, 239, 540, 239, 780, 800, 239, 240, 238, 10000000, 10000000
0, 60, 0, 200, 6100275, 5, 1, 50, 303, 293, 860, 1000, 313, 312, 311, 310, 50
0, 60, 0, 200, 6100275, 4, 1, 310, 303, 293, 860, 1000, 313, 312, 311, 310, 50
0, 60, 0, 220, 6100275, 3, 1, 311, 303, 293, 860, 1000, 313, 312, 311, 310, 50
0, 60, 0, 240, 6100275, 2, 1, 312, 303, 293, 860, 1000, 313, 312, 311, 310, 50
0, 60, 0, 260, 6100275, 1, 1, 313, 303, 293, 860, 1000, 313, 312, 311, 310, 50
0, 260, 0, 380, 6100641, 5, 2, 319, 313, 293, 860, 1000, 325, 323, 320, 100, 319
0, 260, 0, 400, 6100641, 4, 2, 100, 313, 293, 860, 1000, 325, 323, 320, 100, 319
0, 260, 0, 400, 6100641, 3, 2, 320, 313, 293, 860, 1000, 325, 323, 320, 100, 319
0, 260, 0, 500, 6100641, 1, 2, 325, 313, 293, 860, 1000, 325, 323, 320, 100, 319
0, 500, 0, 640, 6101326, 5, 3, 332, 325, 293, 860, 1000, 375, 335, 334, 333, 332
0, 500, 0, 660, 6101327, 4, 3, 333, 325, 293, 860, 1000, 375, 335, 334, 333, 332
0, 500, 0, 680, 6101327, 3, 3, 334, 325, 293, 860, 1000, 375, 335, 334, 333, 332
0, 500, 0, 700, 6101327, 2, 3, 335, 325, 293, 860, 1000, 375, 335, 334, 333, 332
0, 500, 200, 500, 6101327, 1, 3, 375, 325, 293, 860, 1000, 375, 335, 334, 333, 332
200, 500, 200, 640, 6101892, 5, 4, 382, 375, 293, 860, 1000, 388, 389, 385, 210, 382
200, 500, 200, 760, 6101893, 1, 4, 388, 375, 293, 860, 1000, 388, 389, 385, 210, 382
200, 760, 220, 800, 6102338, 3, 5, 211, 388, 293, 860, 1000, 397, 395, 211, 393, 392
200, 760, 200, 840, 6102338, 5, 5, 392, 388, 293, 860, 1000, 397, 395, 211, 393, 392
200, 760, 200, 860, 6102338, 4, 5, 393, 388, 293, 860, 1000, 397, 395, 211, 393, 392
200, 760, 200, 900, 6102338, 2, 5, 395, 388, 293, 860, 1000, 397, 395, 211, 393, 392
200, 760, 200, 940, 6102338, 1, 5, 397, 388, 293, 860, 1000, 397, 395, 211, 393, 392
200, 940, 200, 960, 6102983, 3, 6, 398, 397, 293, 860, 1000, 399, 260, 398, 10000000, 10000000
200, 940, 200, 980, 6102983, 1, 6, 399, 397, 293, 860, 1000, 399, 260, 398, 10000000, 10000000
200, 940, 200, 1000, 6102983, 2, 6, 260, 397, 293, 860, 1000, 399, 260, 398, 10000000, 10000000
200, 980, 200, 1000, 6103508, 3, 7, 260, 399, 293, 860, 1000, 262, 261, 260, 10000000, 10000000
200, 980, 220, 1000, 6103508, 2, 7, 261, 399, 293, 860, 1000, 262, 261, 260, 10000000, 10000000
200, 980, 240, 1000, 6103508, 1, 7, 262, 399, 293, 860, 1000, 262, 261, 260, 10000000, 10000000
240, 1000, 360, 1000, 6104094, 5, 8, 268, 262, 293, 860, 1000, 275, 273, 272, 269, 268
240, 1000, 380, 1000, 6104094, 4, 8, 269, 262, 293, 860, 1000, 275, 273, 272, 269, 268
240, 1000, 440, 1000, 6104094, 3, 8, 272, 262, 293, 860, 1000, 275, 273, 272, 269, 268
240, 1000, 460, 1000, 6104094, 2, 8, 273, 262, 293, 860, 1000, 275, 273, 272, 269, 268
0, 700, 0, 880, 6105602, 5, 4, 344, 335, 293, 860, 1000, 385, 349, 346, 345, 344
0, 700, 200, 700, 6105602, 1, 4, 385, 335, 293, 860, 1000, 385, 349, 346, 345, 344
200, 700, 200, 820, 6106388, 5, 5, 391, 385, 293, 860, 1000, 398, 395, 393, 392, 391
200, 700, 200, 840, 6106388, 4, 5, 392, 385, 293, 860, 1000, 398, 395, 393, 392, 391
200, 700, 200, 860, 6106388, 3, 5, 393, 385, 293, 860, 1000, 398, 395, 393, 392, 391
200, 700, 200, 900, 6106388, 2, 5, 395, 385, 293, 860, 1000, 398, 395, 393, 392, 391
460, 1000, 540, 1000, 6108369, 5, 9, 277, 273, 293, 860, 1000, 281, 280, 279, 278, 277
460, 1000, 560, 1000, 6108369, 4, 9, 278, 273, 293, 860, 1000, 281, 280, 279, 278, 277
460, 1000, 580, 1000, 6108370, 3, 9, 279, 273, 293, 860, 1000, 281, 280, 279, 278, 277
460, 1000, 600, 1000, 6108370, 2, 9, 280, 273, 293, 860, 1000, 281, 280, 279, 278, 277
460, 1000, 620, 1000, 6108370, 1, 9, 281, 273, 293, 860, 1000, 281, 280, 279, 278, 277
620, 1000, 760, 1000, 6109235, 5, 10, 288, 281, 293, 860, 1000, 292, 291, 290, 289, 288
620, 1000, 780, 1000, 6109235, 4, 10, 289, 281, 293, 860, 1000, 292, 291, 290, 289, 288
620, 1000, 800, 1000, 6109235, 3, 10, 290, 281, 293, 860, 1000, 292, 291, 290, 289, 288
620, 1000, 820, 1000, 6109235, 2, 10, 291, 281, 293, 860, 1000, 292, 291, 290, 289, 288
620, 1000, 840, 1000, 6109235, 1, 10, 292, 281, 293, 860, 1000, 292, 291, 290, 289, 288
840, 1000, 860, 1000, 6109660, 293, 11, 293, 292, 293, 860, 1000, 293, 294, 10000000, 10000000, 10000000
700, 1000, 860, 1000, 6112690, 293, 9, 293, 285, 293, 860, 1000, 293, 292, 294, 291, 290
700, 1000, 860, 1000, 6113502, 293, 11, 293, 285, 293, 860, 1000, 293, 292, 294, 291, 290
880, 1000, 860, 1000, 6113936, 293, 12, 293, 294, 293, 860, 1000, 293, 292, 10000000, 10000000, 10000000
840, 1000, 860, 1000, 6119076, 293, 13, 293, 292, 293, 860, 1000, 293, 294, 10000000, 10000000, 10000000
840, 1000, 860, 1000, 6119441, 293, 12, 293, 292, 293, 860, 1000, 293, 294, 10000000, 10000000, 10000000
780, 1000, 860, 1000, 6121230, 293, 11, 293, 289, 293, 860, 1000, 293, 294, 292, 291, 295
880, 1000, 860, 1000, 6121777, 293, 12, 293, 294, 293, 860, 1000, 293, 292, 10000000, 10000000, 10000000
840, 1000, 860, 1000, 6126052, 293, 13, 293, 292, 293, 860, 1000, 293, 294, 10000000, 10000000, 10000000
720, 1000, 860, 1000, 6128920, 293, 11, 293, 286, 293, 860, 1000, 293, 292, 294, 291, 295
840, 1000, 860, 1000, 6129485, 293, 11, 293, 292, 293, 860, 1000, 293, 294, 10000000, 10000000, 10000000
840, 1000, 860, 1000, 6130370, 293, 12, 293, 292, 293, 860, 1000, 293, 294, 10000000, 10000000, 10000000
700, 1000, 860, 1000, 6130896, 293, 11, 293, 285, 293, 860, 1000, 293, 292, 294, 291, 290
840, 1000, 860, 1000, 6133195, 293, 12, 293, 292, 293, 860, 1000, 293, 294, 10000000, 10000000, 10000000
880, 1000, 860, 1000, 6134646, 293, 13, 293, 294, 293, 860, 1000, 293, 292, 10000000, 10000000, 10000000
840, 1000, 860, 1000, 6138281, 293, 13, 293, 292, 293, 860, 1000, 293, 294, 10000000, 10000000, 10000000
680, 1000, 860, 1000, 6140621, 293, 11, 293, 284, 293, 860, 1000, 292, 291, 290, 289, 288
800, 1000, 860, 1000, 6141006, 293, 12, 293, 290, 293, 860, 1000, 293, 294, 292, 291, 295
820, 1000, 860, 1000, 6141771, 293, 12, 293, 291, 293, 860, 1000, 293, 294, 292, 295, 10000000
840, 1000, 860, 1000, 6142116, 293, 12, 293, 292, 293, 860, 1000, 293, 294, 10000000, 10000000, 10000000
820, 1000, 860, 1000, 6142461, 293, 13, 293, 291, 293, 860, 1000, 293, 294, 292, 295, 10000000
880, 1000, 860, 1000, 6146736, 293, 14, 293, 294, 293, 860, 1000, 293, 292, 10000000, 10000000, 10000000
640, 1000, 860, 1000, 6149466, 293, 12, 293, 282, 293, 860, 1000, 290, 289, 288, 287, 293
800, 1000, 860, 1000, 6150111, 293, 13, 293, 290, 293, 860, 1000, 293, 294, 292, 291, 295
840, 1000, 860, 1000, 6150736, 293, 14, 293, 292, 293, 860, 1000, 293, 294, 10000000, 10000000, 10000000
840, 1000, 860, 1000, 6153461, 293, 13, 293, 292, 293, 860, 1000, 293, 294, 10000000, 10000000, 10000000
880, 1000, 860, 1000, 6154386, 293, 14, 293, 294, 293, 860, 1000, 293, 292, 10000000, 10000000, 10000000
840, 1000, 860, 1000, 6158661, 293, 15, 293, 292, 293, 860, 1000, 293, 294, 10000000, 10000000, 10000000
880, 1000, 860, 1000, 6162936, 293, 16, 293, 294, 293, 860, 1000, 293, 292, 10000000, 10000000, 10000000
840, 1000, 860, 1000, 6167211, 293, 17, 293, 292, 293, 860, 1000, 293, 294, 10000000, 10000000, 10000000
880, 1000, 860, 1000, 6171486, 293, 18, 293, 294, 293, 860, 1000, 293, 292, 10000000, 10000000, 10000000
840, 1000, 860, 1000, 6175761, 293, 19, 293, 292, 293, 860, 1000, 293, 294, 10000000, 10000000, 10000000
880, 1000, 860, 1000, 6180037, 293, 20, 293, 294, 293, 860, 1000, 293, 292, 10000000, 10000000, 10000000
840, 1000, 860, 1000, 6184312, 293, 21, 293, 292, 293, 860, 1000, 293, 294, 10000000, 10000000, 10000000
