source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
1, 280, -1, 318, 10300200, 2, 1, 64, 32, 138, 634, 798, 17, 64, 174, 116, 143
1, 280, 112, 201, 10300200, 1, 1, 17, 32, 138, 634, 798, 17, 64, 174, 116, 143
1, 280, 159, 201, 10300200, 4, 1, 116, 32, 138, 634, 798, 17, 64, 174, 116, 143
112, 201, 159, 201, 10300635, 5, 2, 116, 17, 138, 634, 798, 23, 119, 13, 174, 116
112, 201, 181, 201, 10300635, 4, 2, 174, 17, 138, 634, 798, 23, 119, 13, 174, 116
112, 201, 201, 245, 10300635, 2, 2, 119, 17, 138, 634, 798, 23, 119, 13, 174, 116
112, 201, 198, 315, 10300635, 3, 2, 13, 17, 138, 634, 798, 23, 119, 13, 174, 116
201, 245, 198, 351, 10305071, 2, 3, 137, 119, 138, 634, 798, 18, 137, 189, 104, 165
201, 245, 198, 387, 10305071, 3, 3, 189, 119, 138, 634, 798, 18, 137, 189, 104, 165
201, 245, 314, 401, 10305071, 1, 3, 18, 119, 138, 634, 798, 18, 137, 189, 104, 165
314, 401, 398, 346, 10305506, 4, 4, 104, 18, 138, 634, 798, 24, 20, 96, 104, 79
314, 401, 315, 601, 10305507, 2, 4, 20, 18, 138, 634, 798, 24, 20, 96, 104, 79
315, 601, 482, 598, 10309942, 2, 5, 96, 20, 138, 634, 798, 79, 96, 95, 163, 197
315, 601, 318, 801, 10309942, 3, 5, 95, 20, 138, 634, 798, 79, 96, 95, 163, 197
482, 598, 598, 580, 10314378, 3, 6, 179, 96, 138, 634, 798, 4, 115, 179, 82, 148
482, 598, 601, 692, 10314378, 1, 6, 4, 96, 138, 634, 798, 4, 115, 179, 82, 148
482, 598, 644, 598, 10314378, 2, 6, 115, 96, 138, 634, 798, 4, 115, 179, 82, 148
482, 598, 483, 798, 10314378, 4, 6, 82, 96, 138, 634, 798, 4, 115, 179, 82, 148
601, 692, 598, 711, 10314813, 4, 7, 19, 4, 138, 634, 798, 176, 148, 138, 19, 193
601, 692, 598, 750, 10314813, 2, 7, 148, 4, 138, 634, 798, 176, 148, 138, 19, 193
601, 692, 598, 787, 10314813, 5, 7, 193, 4, 138, 634, 798, 176, 148, 138, 19, 193
601, 692, 619, 798, 10314813, 1, 7, 176, 4, 138, 634, 798, 176, 148, 138, 19, 193
601, 692, 648, 798, 10314813, 138, 7, 138, 4, 138, 634, 798, 176, 148, 138, 19, 193
619, 798, 648, 798, 10315248, 138, 8, 138, 176, 138, 634, 798, 138, 10000000, 10000000, 10000000, 10000000
601, 692, 648, 798, 10323683, 138, 9, 138, 4, 138, 634, 798, 176, 148, 138, 19, 193
619, 798, 648, 798, 10324118, 138, 10, 138, 176, 138, 634, 798, 138, 10000000, 10000000, 10000000, 10000000
483, 798, 648, 798, 10331249, 138, 8, 138, 82, 138, 634, 798, 19, 6, 128, 33, 176
598, 710, 648, 798, 10331684, 138, 9, 138, 19, 138, 634, 798, 138, 176, 193, 6, 172
619, 798, 649, 798, 10336119, 138, 10, 138, 176, 138, 634, 798, 138, 10000000, 10000000, 10000000, 10000000
520, 801, 649, 798, 10343684, 138, 9, 138, 33, 138, 634, 798, 138, 176, 193, 172, 6
619, 798, 649, 798, 10348119, 138, 10, 138, 176, 138, 634, 798, 138, 10000000, 10000000, 10000000, 10000000
798, 720, 649, 798, 10348554, 138, 11, 138, 37, 138, 634, 798, 172, 6, 138, 184, 120
686, 798, 649, 798, 10352989, 138, 12, 138, 6, 138, 634, 798, 138, 176, 193, 172, 10000000
619, 798, 649, 798, 10357425, 138, 13, 138, 176, 138, 634, 798, 138, 10000000, 10000000, 10000000, 10000000
598, 750, 649, 798, 10364119, 138, 10, 138, 148, 138, 634, 798, 138, 176, 193, 172, 6
619, 798, 649, 798, 10368554, 138, 11, 138, 176, 138, 634, 798, 138, 10000000, 10000000, 10000000, 10000000
