source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,send_log
23, 201, 284, 10299999, 1, 224, 168, 18, 305, 193, 1, 0.786048, 0.800044, 0.860479, 0.944119, 33, 0
193, 198, 351, 10300200, 2, 339, 65, 45, 188, 205, 1, 0.967957, 0.971543, 1, 0.970262, 33, 1
305, 198, 387, 10300200, 2, 339, 65, 45, 205, 188, 1, 0.967957, 0.971543, 1, 1, 33, 0
18, 312, 401, 10300200, 2, 107, 104, 24, 388, 349, 1, 1, 1, 1, 1, 33, 1
349, 401, 412, 10308637, 3, 162, 115, 104, 182, 217, 0.885393, 0.847096, 1, 0.605396, 1, 33, 0
388, 401, 412, 10308637, 3, 115, 104, 20, 217, 96, 0.847096, 1, 0.768746, 1, 0.410634, 33, 1
188, 248, 398, 10316637, 3, 189, 65, 113, 335, 45, 1, 0.966249, 0.767271, 0.722247, 0.969822, 33, 0
205, 201, 446, 10316637, 3, 18, 302, 65, 276, 222, 1, 0.872174, 1, 0.634328, 0.645469, 33, 0
45, 283, 398, 10316637, 3, 395, 349, 302, 339, 388, 1, 0.937393, 1, 0.917974, 0.797507, 33, 0
217, 401, 431, 10321074, 4, 162, 104, 115, 96, 154, 0.701404, 1, 0.483327, 0.361571, 0.361958, 33, 0
104, 401, 467, 10321075, 4, 79, 173, 20, 21, 107, 0.869532, 0.775709, 0.915258, 1, 1, 33, 0
115, 398, 533, 10321075, 4, 79, 154, 162, 96, 130, 0.966887, 1, 1, 0.862613, 1, 33, 1
162, 447, 598, 10321512, 5, 82, 79, 96, 16, 154, 0.768477, 0.966841, 1, 0.753881, 1, 33, 0
154, 401, 638, 10321512, 5, 33, 108, 352, 79, 292, 1, 0.946532, 0.878452, 0.966841, 0.607281, 33, 1
79, 401, 680, 10325949, 6, 177, 181, 352, 31, 108, 0.934211, 0.752351, 0.792786, 0.698621, 0.643833, 33, 0
108, 398, 728, 10325949, 6, 82, 181, 236, 292, 177, 1, 1, 0.763004, 0.967414, 1, 33, 1
352, 387, 801, 10325950, 6, 33, 82, 181, 292, 393, 1, 1, 1, 1, 0.607055, 33, 0
181, 444, 798, 10330387, 7, 141, 82, 257, 387, 393, 1, 0.964536, 0.750292, 0.724228, 0.791016, 33, 0
292, 401, 821, 10330387, 7, 33, 82, 181, 358, 317, 0.942827, 1, 1, 0.636595, 0.41207, 33, 0
82, 484, 798, 10330387, 7, 33, 141, 257, 10000000, 10000000, 0.942827, 0.751194, 0.93081, 0, 0, 33, 1
177, 401, 843, 10330387, 7, 82, 181, 358, 33, 141, 0.964536, 1, 0.684162, 0.536813, 0.429254, 33, 0
141, 551, 801, 10330824, 8, 33, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 33, 0
257, 578, 801, 10330824, 8, 33, 141, 10000000, 10000000, 10000000, 1, 0.965776, 0, 0, 0, 33, 0
170, 261, -1, 11299999, 1, 100, 373, 320, 7, 98, 1, 1, 0.844814, 1, 0.969589, 334, 0
7, 293, -1, 11300200, 2, 100, 138, 373, 254, 48, 0.88409, 0.795299, 1, 0.939202, 0.72472, 334, 1
98, 201, 87, 11300200, 2, 71, 100, 23, 344, 159, 1, 1, 1, 0.956368, 0.796417, 334, 0
373, 401, 12, 11312637, 3, 260, 298, 100, 48, 138, 1, 1, 0.969131, 1, 0.793141, 334, 0
254, 401, 26, 11312637, 3, 48, 260, 100, 325, 5, 1, 0.794195, 0.86145, 0.686129, 1, 334, 0
48, 401, 92, 11312637, 3, 239, 117, 314, 244, 241, 1, 1, 1, 0.907882, 1, 334, 0
100, 398, 101, 11312637, 3, 118, 117, 88, 49, 244, 1, 1, 0.966717, 0.911948, 1, 334, 1
138, 398, 146, 11312637, 3, 88, 41, 118, 117, 244, 1, 1, 1, 1, 1, 334, 0
244, 424, 198, 11313074, 4, 372, 278, 116, 88, 41, 1, 1, 1, 1, 1, 334, 0
117, 462, 198, 11313074, 4, 335, 278, 116, 114, 88, 1, 1, 1, 0.698292, 1, 334, 1
49, 501, 201, 11313075, 4, 114, 279, 137, 372, 388, 1, 1, 1, 1, 1, 334, 0
88, 510, 198, 11317512, 5, 144, 47, 114, 206, 290, 1, 1, 1, 0.868951, 0.788709, 334, 0
114, 601, 272, 11317512, 5, 290, 286, 206, 144, 120, 1, 0.880043, 1, 0.947438, 0.753006, 334, 1
206, 598, 347, 11329949, 6, 124, 35, 81, 179, 120, 1, 1, 0.949328, 1, 1, 334, 0
290, 598, 371, 11329949, 6, 35, 21, 81, 179, 130, 1, 0.965306, 0.949328, 1, 0.860126, 334, 1
179, 601, 458, 11330387, 7, 84, 124, 85, 21, 234, 0.696758, 0.932077, 1, 1, 0.754884, 334, 0
35, 696, 398, 11330387, 7, 90, 87, 130, 367, 283, 1, 1, 1, 0.962583, 1, 334, 1
81, 705, 401, 11330387, 7, 87, 111, 146, 398, 367, 1, 0.966099, 0.634818, 1, 1, 334, 0
130, 598, 540, 11330387, 7, 84, 318, 128, 377, 273, 1, 0.775775, 1, 0.694075, 1, 334, 0
367, 787, 401, 11330824, 8, 280, 146, 111, 84, 87, 0.957007, 1, 1, 0.775797, 0.721152, 334, 0
283, 826, 398, 11330824, 8, 377, 111, 87, 280, 143, 1, 1, 0.721152, 0.483031, 0.47406, 334, 0
87, 798, 505, 11330824, 8, 371, 334, 261, 377, 318, 1, 1, 1, 1, 1, 334, 1
130, 598, 540, 11330824, 8, 84, 318, 128, 377, 273, 1, 0.775512, 1, 0.694005, 1, 334, 0
377, 787, 601, 11335261, 9, 371, 334, 261, 10000000, 10000000, 1, 1, 1, 0, 0, 334, 0
318, 787, 601, 11335261, 9, 371, 334, 261, 377, 10000000, 1, 1, 1, 1, 0, 334, 0
371, 801, 612, 11335262, 9, 334, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 334, 0
261, 801, 629, 11335262, 9, 371, 334, 377, 318, 10000000, 1, 1, 1, 1, 0, 334, 0
11, 1, 108, 12299999, 1, 17, 56, 216, 129, 150, 1, 0.962427, 1, 0.771119, 0.940399, 9, 0
216, 69, 198, 12300200, 2, 13, 344, 313, 263, 98, 1, 1, 0.939424, 0.951645, 1, 9, 0
17, 85, 201, 12300200, 2, 71, 193, 23, 13, 132, 1, 1, 1, 1, 1, 9, 1
129, 135, 201, 12300200, 2, 229, 27, 159, 23, 386, 1, 0.968522, 1, 1, 0.914561, 9, 0
13, 198, 287, 12300637, 3, 45, 188, 18, 274, 71, 1, 1, 0.922915, 1, 1, 9, 0
71, 300, 201, 12300638, 3, 278, 41, 118, 244, 314, 1, 1, 1, 1, 1, 9, 1
314, 416, 198, 12301075, 4, 351, 88, 122, 41, 117, 1, 1, 0.943548, 1, 1, 9, 0
118, 401, 270, 12301075, 4, 166, 312, 372, 279, 349, 0.965384, 1, 1, 0.935292, 1, 9, 1
244, 432, 198, 12301075, 4, 372, 88, 116, 41, 278, 1, 0.970535, 0.940106, 1, 0.88455, 9, 0
372, 412, 398, 12309512, 5, 130, 144, 47, 114, 24, 1, 1, 1, 1, 1, 9, 0
279, 433, 398, 12309512, 5, 130, 286, 347, 24, 290, 1, 1, 1, 1, 0.846767, 9, 0
349, 401, 412, 12309513, 5, 130, 24, 53, 166, 144, 1, 1, 0.958433, 1, 0.684323, 9, 0
166, 469, 398, 12309513, 5, 144, 114, 179, 21, 24, 1, 1, 0.723376, 0.686875, 1, 9, 1
24, 513, 398, 12309950, 6, 85, 206, 286, 120, 290, 0.785302, 1, 0.75731, 0.686065, 0.825222, 9, 0
144, 529, 401, 12309950, 6, 120, 179, 85, 35, 286, 1, 1, 0.966734, 0.863098, 1, 9, 1
114, 601, 283, 12309950, 6, 234, 124, 81, 35, 85, 1, 1, 1, 1, 1, 9, 0
286, 601, 434, 12310387, 7, 234, 35, 120, 21, 85, 1, 1, 1, 1, 1, 9, 0
179, 601, 470, 12310387, 7, 124, 84, 35, 234, 130, 0.948498, 0.756765, 0.970939, 0.637062, 1, 9, 0
85, 598, 491, 12310387, 7, 377, 84, 128, 273, 81, 1, 1, 1, 1, 1, 9, 0
120, 666, 398, 12310387, 7, 280, 367, 234, 124, 35, 1, 1, 0.936534, 1, 1, 9, 1
35, 707, 398, 12310824, 8, 146, 87, 283, 90, 367, 1, 1, 1, 0.878093, 0.968637, 9, 0
124, 733, 401, 12310824, 8, 371, 111, 87, 277, 93, 1, 1, 0.953392, 0.777417, 1, 9, 0
234, 765, 401, 12310825, 8, 111, 87, 93, 139, 283, 1, 0.967739, 1, 1, 1, 9, 1
283, 835, 398, 12319262, 9, 148, 228, 72, 111, 377, 1, 1, 1, 1, 0.763831, 9, 0
87, 798, 492, 12319262, 9, 9, 148, 277, 303, 371, 1, 0.968774, 0.969955, 1, 1, 9, 0
111, 801, 493, 12319262, 9, 202, 148, 70, 341, 277, 1, 1, 0.929272, 1, 0.969955, 9, 1
139, 870, 398, 12319262, 9, 148, 146, 111, 87, 9, 0.879354, 0.91574, 1, 0.943959, 0.477495, 9, 0
93, 908, 398, 12319262, 9, 72, 111, 376, 202, 245, 1, 1, 0.787589, 0.606377, 0.961586, 9, 0
277, 836, 598, 12319699, 10, 9, 148, 70, 202, 10000000, 1, 1, 0.754921, 0.646313, 0, 9, 0
148, 865, 598, 12319699, 10, 9, 70, 202, 10000000, 10000000, 1, 1, 0.754032, 0, 0, 9, 0
70, 891, 601, 12319699, 10, 9, 10000000, 10000000, 10000000, 10000000, 0.965867, 0, 0, 0, 0, 9, 0
341, 984, 601, 12319700, 10, 9, 70, 202, 256, 148, 1, 1, 1, 1, 0.845044, 9, 0
70, 891, 601, 12324136, 11, 9, 10000000, 10000000, 10000000, 10000000, 0.965407, 0, 0, 0, 0, 9, 0
202, 930, 601, 12324136, 11, 70, 9, 10000000, 10000000, 10000000, 1, 0.721446, 0, 0, 0, 9, 0
245, 1001, 433, 12327699, 10, 202, 376, 212, 25, 397, 1, 1, 0.967931, 1, 0.861517, 9, 0
72, 998, 500, 12327699, 10, 70, 202, 256, 341, 376, 1, 1, 1, 1, 1, 9, 0
111, 801, 494, 12327699, 10, 202, 148, 70, 341, 277, 1, 1, 0.927454, 1, 0.969074, 9, 0
376, 987, 601, 12328137, 11, 9, 70, 202, 256, 148, 1, 1, 1, 1, 0.752772, 9, 0
341, 984, 601, 12328137, 11, 9, 70, 202, 256, 148, 1, 1, 1, 1, 0.844185, 9, 0
256, 963, 601, 12328137, 11, 9, 70, 202, 148, 10000000, 1, 1, 1, 0.537694, 0, 9, 0
202, 930, 601, 12328137, 11, 70, 9, 10000000, 10000000, 10000000, 1, 0.721099, 0, 0, 0, 9, 0
70, 891, 601, 12328137, 11, 9, 10000000, 10000000, 10000000, 10000000, 0.964993, 0, 0, 0, 0, 9, 0
7, 318, -1, 13299999, 1, 260, 71, 100, 254, 325, 1, 1, 0.938524, 0.95866, 0.771381, 277, 0
