source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id ,send_log
180, 198, 153, 10299999, 1, 215, 267, 226, 239, 27, 1, 1, 0.96917, 0.242157, 1, 273, 1, 1, 1, 1, 0, 0
215, 181, 201, 10300200, 2, 178, 27, 264, 172, 153, 0.950893, 1, 0.787788, 0.799074, 1, 273, 0, 0, 1, 0, 0, 1
267, 201, 212, 10300200, 2, 226, 259, 206, 265, 254, 0.861466, 0.318845, 0.274377, 0.377718, 0.318212, 273, 1, 1, 1, 1, 1, 0
226, 201, 218, 10300200, 2, 239, 83, 259, 254, 186, 0.46644, 0.120667, 0.60475, 0.215784, 0.189683, 273, 1, 1, 1, 1, 1, 0
27, 278, 198, 10300200, 2, 239, 259, 206, 254, 251, 0.121076, 0.318845, 0.120676, 0.18931, 0.324312, 273, 1, 1, 1, 1, 1, 0
153, 241, 198, 10300765, 3, 264, 178, 221, 218, 268, 1, 1, 0.882392, 0.845375, 0.782792, 273, 1, 0, 1, 1, 1, 0
27, 278, 198, 10300765, 3, 239, 259, 206, 254, 251, 0.121067, 0.318816, 0.120668, 0.189289, 0.324292, 273, 1, 1, 1, 1, 1, 1
164, 261, -1, 11299999, 1, 275, 98, 60, 117, 240, 0.755542, 1, 0.930295, 1, 0.568935, 263, 1, 0, 0, 0, 0, 0
117, 201, 62, 11300200, 2, 143, 275, 152, 231, 153, 0.549301, 0.443512, 0.159205, 0.43977, 0.872687, 263, 1, 1, 1, 1, 0, 0
98, 201, 87, 11300200, 2, 264, 178, 275, 231, 100, 1, 1, 0.411596, 0.241222, 1, 263, 1, 0, 1, 1, 0, 1
275, 401, 12, 11300200, 2, 253, 71, 100, 48, 152, 0.430567, 1, 1, 1, 1, 263, 1, 0, 0, 0, 0, 1
152, 401, 53, 11300765, 3, 132, 100, 112, 48, 268, 0.959163, 1, 0.699321, 1, 0.68717, 263, 0, 0, 0, 0, 1, 0
48, 401, 92, 11300765, 3, 49, 221, 268, 292, 132, 1, 0.947186, 0.84629, 0.796123, 0.959163, 263, 0, 0, 1, 1, 0, 0
100, 398, 100, 11300765, 3, 88, 41, 221, 112, 292, 1, 0.862867, 1, 0.970411, 1, 263, 0, 0, 0, 0, 1, 1
253, 574, 1, 11300766, 3, 91, 12, 149, 116, 216, 1, 0.96167, 1, 0.540034, 0.440744, 263, 0, 0, 0, 0, 1, 1
71, 312, 201, 11300766, 3, 280, 292, 268, 264, 41, 1, 1, 1, 1, 1, 263, 1, 1, 1, 1, 0, 0
149, 601, 56, 11301331, 4, 216, 86, 91, 12, 75, 1, 0.781715, 1, 0.844504, 1, 263, 0, 0, 0, 0, 0, 0
91, 601, 97, 11301331, 4, 131, 88, 116, 49, 266, 1, 1, 0.964495, 0.968047, 0.94841, 263, 0, 0, 0, 0, 1, 1
266, 587, 201, 11301896, 5, 187, 47, 35, 114, 138, 1, 0.725307, 0.467873, 0.413354, 0.36316, 263, 0, 0, 0, 1, 0, 0
131, 660, 198, 11301896, 5, 266, 58, 187, 216, 47, 0.96792, 1, 0.549285, 0.97221, 0.430319, 263, 1, 0, 0, 0, 0, 1
116, 541, 201, 11301896, 5, 266, 201, 111, 47, 187, 1, 1, 1, 0.860638, 0.722834, 263, 1, 0, 0, 0, 1, 0
88, 510, 198, 11301896, 5, 266, 256, 47, 41, 216, 0.64528, 1, 1, 1, 1, 263, 1, 1, 0, 0, 0, 1
49, 501, 201, 11301896, 5, 266, 47, 111, 216, 116, 1, 1, 1, 1, 1, 263, 1, 0, 0, 0, 0, 0
266, 587, 201, 11302462, 6, 187, 47, 35, 114, 138, 1, 0.725257, 0.467811, 0.413321, 0.363135, 263, 0, 0, 0, 1, 0, 1
216, 575, 201, 11302462, 6, 111, 47, 187, 114, 138, 1, 0.823773, 0.431678, 0.318396, 0.24209, 263, 0, 0, 0, 0, 0, 0
47, 598, 303, 11302462, 6, 111, 256, 211, 260, 255, 0.137024, 0.107924, 0.611877, 0.215043, 0.159625, 263, 1, 1, 1, 1, 1, 0
187, 598, 347, 11302462, 6, 21, 124, 138, 114, 85, 1, 0.792806, 1, 1, 0.725832, 263, 0, 0, 0, 0, 0, 0
47, 598, 303, 11303027, 7, 111, 256, 211, 260, 255, 0.137013, 0.107918, 0.611772, 0.21503, 0.15961, 263, 1, 1, 1, 1, 1, 0
178, 344, 201, 11304765, 3, 45, 41, 280, 160, 292, 1, 1, 1, 0.790907, 1, 263, 0, 0, 1, 0, 1, 1
216, 575, 201, 11306462, 6, 111, 47, 187, 114, 138, 1, 0.82332, 0.431492, 0.318193, 0.241973, 263, 0, 0, 0, 0, 0, 0
266, 587, 201, 11306462, 6, 187, 47, 35, 114, 138, 1, 0.724907, 0.467374, 0.413094, 0.362959, 263, 0, 0, 0, 1, 0, 1
47, 598, 303, 11306462, 6, 111, 256, 211, 260, 255, 0.136949, 0.107878, 0.611129, 0.21495, 0.159523, 263, 1, 1, 1, 1, 1, 0
