source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
198, 154, 181, 201, 10300200, 1, 1, 174, 143, 118, 801, 644, 174, 100, 141, 194, 27
198, 154, 284, 198, 10300200, 5, 1, 27, 143, 118, 801, 644, 174, 100, 141, 194, 27
181, 201, 201, 245, 10300847, 5, 2, 119, 174, 118, 801, 644, 27, 23, 194, 125, 119
181, 201, 201, 285, 10300847, 2, 2, 23, 174, 118, 801, 644, 27, 23, 194, 125, 119
181, 201, 284, 198, 10300847, 1, 2, 27, 174, 118, 801, 644, 27, 23, 194, 125, 119
284, 198, 323, 201, 10301494, 5, 3, 71, 27, 118, 801, 644, 104, 45, 177, 180, 71
284, 198, 379, 201, 10301494, 3, 3, 177, 27, 118, 801, 644, 104, 45, 177, 180, 71
284, 198, 283, 398, 10301495, 2, 3, 45, 27, 118, 801, 644, 104, 45, 177, 180, 71
283, 398, 314, 401, 10306142, 1, 4, 18, 45, 118, 801, 644, 18, 104, 24, 10000000, 10000000
283, 398, 398, 346, 10306142, 2, 4, 104, 45, 118, 801, 644, 18, 104, 24, 10000000, 10000000
314, 401, 398, 346, 10306789, 2, 5, 104, 18, 118, 801, 644, 24, 104, 41, 88, 79
314, 401, 401, 287, 10306789, 3, 5, 41, 18, 118, 801, 644, 24, 104, 41, 88, 79
379, 201, 448, 198, 10310142, 4, 4, 105, 177, 118, 801, 644, 41, 88, 109, 105, 45
401, 287, 398, 346, 10315436, 4, 6, 104, 41, 118, 801, 644, 196, 175, 47, 104, 49
401, 287, 513, 201, 10315437, 5, 6, 49, 41, 118, 801, 644, 196, 175, 47, 104, 49
448, 198, 495, 198, 10322789, 5, 5, 88, 105, 118, 801, 644, 196, 175, 104, 41, 88
448, 198, 401, 287, 10322789, 4, 5, 41, 105, 118, 801, 644, 196, 175, 104, 41, 88
448, 198, 581, 201, 10322789, 2, 5, 175, 105, 118, 801, 644, 196, 175, 104, 41, 88
448, 198, 587, 201, 10322789, 1, 5, 196, 105, 118, 801, 644, 196, 175, 104, 41, 88
587, 201, 648, 198, 10323436, 5, 6, 124, 196, 118, 801, 644, 75, 47, 102, 131, 124
587, 201, 680, 198, 10323436, 3, 6, 102, 196, 118, 801, 644, 75, 47, 102, 131, 124
587, 201, 598, 316, 10323436, 2, 6, 47, 196, 118, 801, 644, 75, 47, 102, 131, 124
598, 316, 598, 358, 10328084, 5, 7, 150, 47, 118, 801, 644, 21, 35, 111, 107, 150
598, 316, 644, 398, 10328084, 4, 7, 107, 47, 118, 801, 644, 21, 35, 111, 107, 150
598, 316, 682, 398, 10328084, 2, 7, 35, 47, 118, 801, 644, 21, 35, 111, 107, 150
