source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r
360, 200, 200, 2000000, 1, 74, 71, 372, 410, 371, 1, 1, 1, 1, 1
71, 420, 200, 2000275, 2, 85, 84, 82, 81, 460, 1, 1, 1, 1, 1
371, 200, 420, 2000275, 2, 381, 160, 115, 379, 378, 1, 1, 1, 1, 1
378, 200, 560, 2016551, 3, 390, 389, 387, 388, 386, 1, 1, 1, 0.986341, 0.995087
379, 200, 580, 2016551, 3, 162, 390, 389, 387, 386, 1, 1, 1, 1, 0.995087
160, 200, 600, 2016551, 3, 174, 172, 170, 430, 167, 0.989727, 1, 1, 0.995957, 1
167, 340, 600, 2020826, 4, 179, 178, 177, 176, 175, 1, 1, 0.996367, 0.988647, 1
175, 500, 600, 2037856, 5, 189, 188, 187, 186, 185, 1, 1, 1, 0.985112, 1
176, 520, 600, 2037856, 5, 190, 189, 188, 187, 186, 1, 1, 1, 1, 0.985112
177, 540, 600, 2037856, 5, 189, 188, 187, 186, 185, 1, 1, 1, 0.985112, 1
185, 700, 600, 2046132, 6, 235, 531, 193, 192, 191, 1, 0.993458, 1, 1, 1
187, 740, 600, 2046132, 6, 532, 531, 193, 192, 191, 1, 1, 1, 1, 1
189, 780, 600, 2046132, 6, 535, 534, 533, 532, 531, 1, 1, 1, 1, 1
531, 800, 620, 2046917, 7, 540, 240, 542, 538, 539, 1, 1, 1, 1, 0.967998
532, 800, 640, 2046917, 7, 540, 240, 541, 539, 542, 1, 1, 1, 1, 1
533, 800, 660, 2046917, 7, 540, 240, 541, 539, 542, 1, 1, 1, 1, 1
534, 800, 680, 2046917, 7, 540, 541, 539, 240, 542, 1, 1, 1, 0.959406, 1
535, 800, 700, 2046917, 7, 540, 240, 541, 539, 244, 1, 1, 1, 1, 0.966594
539, 800, 780, 2047863, 8, 242, 241, 540, 240, 541, 0.972093, 1, 1, 1, 1
240, 800, 800, 2047863, 8, 242, 241, 243, 540, 244, 0.972093, 1, 0.991727, 1, 1
540, 800, 800, 2047863, 8, 242, 241, 243, 244, 240, 0.972093, 1, 0.991727, 1, 1
541, 800, 820, 2047863, 8, 242, 241, 243, 540, 240, 0.972093, 1, 0.991727, 1, 1
240, 800, 800, 2048488, 9, 242, 241, 243, 540, 244, 0.971503, 1, 0.991113, 1, 1
241, 820, 800, 2048488, 9, 242, 243, 10000000, 10000000, 10000000, 0.971503, 1, 0, 0, 0
243, 860, 800, 2048488, 9, 242, 241, 10000000, 10000000, 10000000, 0.971503, 1, 0, 0, 0
244, 880, 800, 2048488, 9, 242, 243, 241, 540, 240, 0.971503, 1, 1, 1, 1
243, 860, 800, 2052763, 10, 242, 241, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
531, 800, 620, 2054407, 7, 540, 240, 542, 538, 539, 1, 1, 1, 1, 0.96103
191, 820, 600, 2054407, 7, 533, 532, 531, 193, 192, 0.951181, 1, 1, 1, 1
192, 840, 600, 2054407, 7, 535, 533, 532, 531, 193, 1, 1, 1, 1, 1
193, 860, 600, 2054407, 7, 533, 531, 192, 191, 10000000, 0.951181, 1, 1, 1, 0
241, 820, 800, 2057038, 11, 242, 243, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
538, 800, 760, 2058683, 8, 241, 540, 240, 541, 539, 1, 1, 1, 1, 1
539, 800, 780, 2058683, 8, 242, 241, 540, 240, 541, 1, 0.991477, 1, 1, 1
542, 800, 840, 2058683, 8, 242, 241, 243, 540, 240, 1, 1, 0.981198, 1, 1
240, 800, 800, 2060138, 9, 242, 241, 243, 540, 244, 1, 0.990049, 0.979799, 1, 1
540, 800, 800, 2060138, 9, 242, 241, 243, 244, 240, 1, 1, 0.979799, 1, 1
241, 820, 800, 2060138, 9, 242, 243, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
541, 800, 820, 2060138, 9, 242, 241, 243, 540, 240, 1, 0.990049, 0.979799, 1, 1
243, 860, 800, 2064413, 10, 242, 241, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
241, 820, 800, 2068688, 11, 242, 243, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
243, 860, 800, 2072963, 12, 242, 241, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
241, 820, 800, 2077238, 13, 242, 243, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
243, 860, 800, 2081513, 14, 242, 241, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
241, 820, 800, 2085789, 15, 242, 243, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
243, 860, 800, 2090064, 16, 242, 241, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
241, 820, 800, 2094339, 17, 242, 243, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
243, 860, 800, 2098614, 18, 242, 241, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
241, 820, 800, 2102889, 19, 242, 243, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
243, 860, 800, 2107164, 20, 242, 241, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
241, 820, 800, 2111439, 21, 242, 243, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
303, 0, 60, 3000000, 1, 313, 312, 311, 310, 50, 1, 1, 1, 1, 1
50, 0, 200, 3000275, 2, 62, 360, 324, 59, 322, 1, 1, 1, 1, 1
310, 0, 200, 3000275, 2, 360, 59, 322, 58, 321, 1, 1, 1, 1, 1
311, 0, 220, 3000275, 2, 322, 321, 320, 100, 319, 1, 1, 1, 1, 1
312, 0, 240, 3000275, 2, 362, 322, 321, 320, 100, 1, 1, 1, 1, 1
313, 0, 260, 3000275, 2, 325, 324, 323, 322, 320, 1, 1, 1, 1, 1
320, 0, 400, 3001446, 3, 113, 108, 107, 106, 105, 1, 1, 1, 1, 1
322, 0, 440, 3001447, 3, 334, 332, 150, 330, 329, 1, 1, 1, 0.999963, 1
323, 0, 460, 3001447, 3, 334, 333, 332, 331, 150, 1, 1, 1, 1, 1
324, 0, 480, 3001447, 3, 338, 335, 334, 332, 331, 1, 1, 1, 1, 1
331, 0, 620, 3005722, 4, 155, 153, 152, 342, 341, 1, 0.99987, 1, 1, 1
332, 0, 640, 3005722, 4, 382, 152, 341, 340, 339, 1, 1, 1, 1, 1
334, 0, 680, 3005722, 4, 342, 341, 340, 339, 338, 1, 1, 1, 1, 1
335, 0, 700, 3005722, 4, 385, 202, 342, 341, 340, 1, 1, 1, 1, 1
338, 0, 760, 3005723, 4, 201, 388, 205, 342, 341, 0.99937, 0.499246, 0.508557, 1, 1
201, 20, 800, 3006668, 5, 214, 212, 210, 209, 208, 1, 1, 1, 1, 1
341, 0, 820, 3006668, 5, 204, 203, 202, 201, 342, 1, 1, 1, 0.998899, 1
