source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,send_log
32, 1, 281, 10299999, 1, 168, 43, 64, 10000000, 10000000, 0.967547, 0.776501, 0.648354, 0, 0, 235, 1
64, -1, 317, 10300200, 2, 43, 168, 50, 110, 283, 0.968824, 1, 0.538183, 0.539477, 0.304685, 235, 0
168, -1, 358, 10300200, 2, 43, 50, 110, 236, 182, 1, 0.82647, 0.647372, 0.27448, 0.275127, 235, 1
43, 1, 476, 10300588, 3, 157, 244, 245, 50, 182, 0.934695, 0.876862, 0.8625, 1, 0.752747, 235, 1
50, -1, 520, 10300588, 3, 28, 157, 244, 283, 245, 1, 0.970402, 1, 1, 1, 235, 0
50, -1, 520, 10300846, 4, 28, 157, 244, 283, 245, 1, 0.970375, 1, 1, 1, 235, 0
182, -1, 556, 10300846, 4, 28, 236, 157, 244, 283, 1, 1, 0.970375, 1, 1, 235, 0
245, -1, 579, 10300846, 4, 2, 28, 128, 34, 236, 1, 1, 0.968193, 0.862305, 1, 235, 0
244, 1, 618, 10300847, 4, 34, 128, 28, 2, 219, 0.970093, 1, 1, 0.82513, 0.686018, 235, 0
157, 1, 648, 10300847, 4, 195, 28, 34, 2, 128, 0.84547, 1, 0.754517, 0.724657, 0.860616, 235, 1
28, 1, 682, 10301144, 5, 252, 195, 2, 136, 219, 0.877465, 0.968537, 0.966175, 0.430271, 0.482289, 235, 0
2, -1, 718, 10301144, 5, 299, 289, 262, 22, 136, 1, 1, 1, 0.970832, 1, 235, 0
195, -1, 756, 10301144, 5, 210, 22, 299, 262, 289, 1, 1, 1, 1, 0.972046, 235, 1
262, 12, 798, 10301532, 6, 68, 77, 279, 223, 189, 0.96587, 1, 0.61436, 0.613914, 1, 235, 0
289, 12, 798, 10301532, 6, 130, 77, 68, 189, 223, 0.776354, 1, 0.825217, 1, 0.538988, 235, 0
299, 12, 798, 10301532, 6, 77, 279, 189, 68, 210, 1, 0.702275, 1, 0.687681, 1, 235, 1
22, 1, 896, 10301533, 6, 77, 158, 10000000, 10000000, 10000000, 0.539068, 0.108072, 0, 0, 0, 235, 1
210, 19, 798, 10309732, 7, 68, 77, 189, 223, 248, 0.955652, 1, 1, 0.43081, 0.323002, 235, 0
189, 40, 798, 10309732, 7, 77, 248, 68, 279, 223, 1, 0.411222, 0.482457, 0.362325, 0.318795, 235, 0
77, 86, 798, 10309732, 7, 130, 248, 279, 223, 68, 1, 0.953695, 0.548332, 0.538512, 0.723686, 235, 1
68, 109, 801, 10309733, 7, 3, 130, 248, 223, 279, 0.96966, 1, 1, 1, 0.970193, 235, 0
68, 109, 801, 10310043, 8, 3, 130, 248, 223, 279, 0.969628, 1, 1, 1, 0.970161, 235, 0
279, 201, 812, 10310043, 8, 3, 130, 248, 55, 173, 1, 1, 1, 1, 1, 235, 0
248, 220, 798, 10310043, 8, 288, 196, 3, 95, 130, 0.944847, 0.953529, 1, 0.797193, 1, 235, 0
130, 248, 798, 10310043, 8, 258, 196, 3, 288, 95, 0.95523, 0.947511, 1, 0.605116, 0.538903, 235, 1
3, 275, 798, 10310379, 9, 196, 288, 258, 204, 95, 0.932421, 0.861703, 0.795982, 0.644767, 0.64666, 235, 0
95, 318, 801, 10310379, 9, 82, 288, 258, 204, 196, 0.968499, 1, 1, 1, 1, 235, 0
196, 354, 801, 10310379, 9, 82, 31, 288, 258, 204, 1, 0.862818, 1, 1, 1, 235, 1
288, 387, 801, 10310379, 9, 82, 135, 163, 31, 52, 1, 0.844142, 1, 1, 0.93863, 235, 0
204, 381, 801, 10314579, 10, 82, 31, 52, 135, 234, 1, 1, 0.909074, 0.605994, 0.478537, 235, 0
258, 387, 801, 10314579, 10, 82, 135, 31, 33, 52, 1, 0.791863, 1, 0.476119, 0.63628, 235, 0
288, 387, 801, 10314579, 10, 82, 135, 163, 31, 52, 1, 0.843714, 1, 1, 0.937705, 235, 0
82, 483, 798, 10314580, 10, 135, 294, 271, 234, 33, 0.821951, 0.723877, 0.723524, 0.686147, 0.645436, 235, 1
33, 520, 801, 10314994, 11, 6, 175, 217, 294, 271, 1, 0.968828, 1, 1, 1, 235, 0
135, 551, 801, 10314994, 11, 6, 175, 217, 296, 263, 1, 1, 1, 1, 1, 235, 1
234, 578, 801, 10314994, 11, 6, 175, 217, 296, 263, 1, 0.968828, 1, 1, 1, 235, 0
271, 587, 801, 10314994, 11, 6, 175, 217, 192, 109, 0.969224, 1, 1, 0.436527, 0.60186, 235, 0
294, 587, 801, 10314994, 11, 6, 175, 217, 296, 263, 1, 1, 1, 1, 1, 235, 0
263, 598, 787, 10315291, 12, 6, 175, 217, 109, 277, 1, 1, 1, 0.637527, 0.323552, 235, 0
296, 598, 787, 10315291, 12, 6, 175, 217, 109, 225, 1, 1, 0.970962, 0.537, 0.107701, 235, 0
217, 619, 798, 10315291, 12, 6, 225, 175, 192, 272, 1, 0.646205, 1, 0.304536, 0.136998, 235, 0
175, 648, 798, 10315291, 12, 200, 6, 225, 272, 127, 1, 1, 0.465421, 0.362187, 0.189631, 235, 0
6, 685, 798, 10315291, 12, 272, 200, 192, 225, 127, 0.754259, 0.636221, 0.537915, 0.538505, 0.362361, 235, 1
272, 812, 798, 10315693, 13, 57, 69, 192, 127, 284, 0.970509, 0.968007, 1, 1, 0.536856, 235, 1
200, 821, 798, 10315693, 13, 177, 291, 51, 57, 261, 1, 0.917441, 1, 1, 0.685609, 235, 0
192, 850, 798, 10316094, 14, 284, 57, 51, 291, 229, 0.928962, 1, 0.752818, 0.637982, 0.636936, 235, 0
127, 801, 846, 10316094, 14, 69, 74, 10000000, 10000000, 10000000, 1, 0.647203, 0, 0, 0, 235, 0
57, 889, 798, 10316094, 14, 261, 291, 177, 284, 51, 0.952936, 0.94104, 0.752261, 0.723307, 0.820145, 235, 1
51, 920, 801, 10316365, 15, 203, 291, 261, 184, 63, 1, 1, 1, 0.859831, 0.755339, 235, 0
177, 956, 801, 10316365, 15, 184, 63, 203, 291, 261, 1, 0.863244, 1, 1, 1, 235, 0
284, 987, 801, 10316365, 15, 101, 63, 146, 184, 203, 0.8818, 1, 0.753398, 1, 0.970809, 235, 0
261, 1001, 812, 10316366, 15, 235, 63, 184, 101, 276, 0.793866, 1, 1, 0.645686, 0.47825, 235, 1
291, 1001, 812, 10316366, 15, 63, 276, 184, 101, 235, 1, 0.763021, 1, 0.645686, 0.568745, 235, 0
184, 1001, 841, 10316728, 16, 101, 63, 242, 276, 146, 0.860881, 1, 0.603897, 0.546881, 0.317398, 235, 0
63, 1001, 879, 10316728, 16, 101, 276, 242, 146, 235, 0.966279, 0.721708, 0.603379, 0.538121, 0.481044, 235, 1
101, 998, 921, 10316728, 16, 276, 235, 242, 146, 179, 1, 1, 0.966037, 1, 0.754609, 235, 0
101, 998, 921, 10320928, 17, 276, 235, 242, 146, 179, 1, 1, 0.965602, 1, 0.754267, 235, 1
146, 998, 958, 10320928, 17, 276, 235, 242, 179, 10000000, 1, 1, 0.965602, 0.969772, 0, 235, 0
276, 998, 991, 10320928, 17, 10000000, 10000000, 10000000, 10000000, 10000000, 0, 0, 0, 0, 0, 235, 0
146, 998, 958, 10321355, 18, 276, 235, 242, 179, 10000000, 1, 1, 0.965557, 0.969728, 0, 235, 0
276, 998, 991, 10321355, 18, 10000000, 10000000, 10000000, 10000000, 10000000, 0, 0, 0, 0, 0, 235, 0
69, 801, 888, 10328294, 15, 74, 10000000, 10000000, 10000000, 10000000, 0.754078, 0, 0, 0, 0, 235, 0
74, 798, 920, 10328294, 15, 97, 10000000, 10000000, 10000000, 10000000, 0.536084, 0, 0, 0, 0, 235, 0
74, 798, 920, 10328552, 16, 97, 10000000, 10000000, 10000000, 10000000, 0.536069, 0, 0, 0, 0, 235, 0
276, 998, 991, 10333555, 19, 10000000, 10000000, 10000000, 10000000, 10000000, 0, 0, 0, 0, 0, 235, 0
242, 982, 1001, 10333555, 19, 276, 235, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0, 235, 0
276, 998, 991, 10341755, 20, 10000000, 10000000, 10000000, 10000000, 10000000, 0, 0, 0, 0, 0, 235, 0
285, 212, -1, 11299999, 1, 117, 62, 7, 98, 164, 1, 0.962471, 1, 0.861427, 1, 141, 0
164, 261, -1, 11300200, 2, 150, 62, 7, 143, 275, 0.784076, 1, 1, 0.754175, 0.548793, 141, 0
7, 293, -1, 11300200, 2, 275, 143, 62, 231, 150, 0.82319, 0.861914, 1, 0.603054, 0.323844, 141, 0
62, 305, 1, 11300200, 2, 231, 150, 275, 5, 152, 1, 1, 1, 0.861686, 0.863061, 141, 1
275, 401, 12, 11304400, 3, 237, 100, 48, 152, 280, 0.950487, 0.963832, 1, 1, 0.645571, 141, 1
152, 401, 53, 11312600, 4, 132, 100, 280, 48, 237, 0.957349, 0.968636, 0.724512, 1, 0.537631, 141, 0
48, 401, 92, 11312600, 4, 237, 132, 280, 100, 10000000, 0.966573, 1, 0.752502, 1, 0, 141, 0
100, 398, 100, 11312600, 4, 292, 268, 280, 237, 221, 1, 1, 1, 1, 0.861392, 141, 1
280, 398, 186, 11312601, 4, 41, 112, 256, 221, 292, 1, 1, 0.606137, 1, 1, 141, 0
237, 398, 173, 11316801, 5, 41, 111, 221, 112, 292, 1, 0.753782, 1, 0.968734, 1, 141, 0
280, 398, 186, 11316801, 5, 41, 112, 256, 221, 292, 1, 1, 0.605366, 1, 1, 141, 1
292, 412, 198, 11325001, 6, 41, 88, 112, 216, 116, 0.968193, 1, 1, 0.646525, 0.646348, 141, 0
221, 424, 198, 11325001, 6, 49, 266, 88, 41, 112, 1, 0.858239, 1, 0.860616, 1, 141, 1
41, 401, 300, 11325001, 6, 255, 256, 201, 111, 198, 1, 0.945647, 0.861954, 1, 0.699519, 141, 1
111, 398, 333, 11325350, 7, 104, 198, 255, 256, 201, 1, 1, 1, 1, 1, 141, 0
201, 398, 367, 11325350, 7, 104, 198, 255, 24, 256, 1, 1, 1, 0.860544, 1, 141, 0
256, 398, 384, 11325350, 7, 104, 198, 24, 255, 160, 1, 1, 0.968111, 1, 0.965293, 141, 0
255, 401, 420, 11325350, 7, 104, 198, 24, 148, 10000000, 1, 1, 0.968111, 0.37749, 0, 141, 1
198, 401, 440, 11325635, 8, 104, 79, 148, 10000000, 10000000, 1, 0.158488, 0.120373, 0, 0, 141, 0
104, 401, 479, 11325635, 8, 148, 10000000, 10000000, 10000000, 10000000, 0.773521, 0, 0, 0, 0, 141, 1
112, 462, 198, 11337201, 7, 266, 49, 88, 41, 216, 1, 1, 1, 0.752052, 0.602745, 141, 0
49, 500, 201, 11337201, 7, 131, 266, 216, 102, 116, 1, 1, 1, 0.860331, 1, 141, 1
88, 510, 198, 11337201, 7, 102, 216, 116, 131, 266, 0.870355, 0.945357, 1, 0.68413, 0.642838, 141, 0
266, 586, 201, 11337201, 7, 187, 274, 102, 47, 131, 0.900407, 1, 1, 0.535863, 1, 141, 0
116, 540, 201, 11337472, 8, 102, 131, 266, 216, 86, 0.967844, 1, 1, 1, 0.681862, 141, 0
216, 575, 201, 11337472, 8, 47, 187, 102, 131, 86, 0.683192, 0.537565, 1, 1, 0.818235, 141, 0
266, 586, 201, 11337472, 8, 187, 274, 102, 47, 131, 0.900334, 1, 1, 0.535847, 1, 141, 0
131, 661, 198, 11341673, 9, 274, 194, 86, 249, 102, 0.943169, 0.752504, 0.751743, 0.643607, 1, 141, 0
47, 598, 303, 11341673, 9, 21, 187, 138, 114, 35, 1, 1, 0.7529, 0.644737, 0.535939, 141, 1
102, 692, 198, 11341673, 9, 274, 227, 86, 249, 194, 1, 0.751124, 0.96303, 0.858142, 0.752504, 141, 1
86, 702, 201, 11349873, 10, 58, 120, 274, 227, 249, 0.750691, 0.860081, 1, 0.85785, 1, 141, 0
194, 743, 201, 11349873, 10, 120, 58, 227, 274, 40, 1, 0.857932, 1, 1, 0.214891, 141, 0
249, 772, 201, 11349873, 10, 58, 120, 227, 274, 40, 1, 1, 1, 1, 0.360212, 141, 0
274, 801, 212, 11349873, 10, 58, 40, 120, 227, 10000000, 1, 0.951499, 1, 1, 0, 141, 1
227, 801, 226, 11350313, 11, 58, 120, 40, 10000000, 10000000, 1, 1, 0.720386, 0, 0, 141, 0
120, 801, 259, 11350313, 11, 58, 40, 10000000, 10000000, 10000000, 1, 0.820397, 0, 0, 0, 141, 0
58, 801, 304, 11350313, 11, 40, 10000000, 10000000, 10000000, 10000000, 0.752083, 0, 0, 0, 0, 141, 1
40, 798, 310, 11350313, 11, 260, 211, 118, 133, 81, 0.962737, 0.858278, 0.750612, 0.750138, 0.537348, 141, 0
40, 798, 310, 11350766, 12, 260, 211, 118, 133, 81, 0.962691, 0.858236, 0.750576, 0.750101, 0.537321, 141, 1
187, 598, 346, 11353873, 10, 21, 85, 138, 114, 35, 1, 0.858092, 0.966746, 0.858524, 0.642287, 141, 1
21, 601, 501, 11358073, 11, 220, 124, 85, 287, 10000000, 1, 0.962491, 1, 0.321701, 0, 141, 1
85, 598, 502, 11358073, 11, 4, 287, 220, 19, 250, 1, 1, 1, 0.738698, 0.855757, 141, 0
85, 598, 502, 11358435, 12, 4, 287, 220, 19, 250, 1, 1, 1, 0.738501, 0.855724, 141, 0
124, 598, 540, 11358435, 12, 4, 263, 250, 287, 19, 0.856717, 0.736583, 0.962689, 1, 0.721426, 141, 0
220, 598, 573, 11358436, 12, 263, 19, 4, 250, 122, 1, 1, 0.963806, 1, 0.96242, 141, 1
287, 598, 587, 11358436, 12, 4, 122, 250, 84, 19, 1, 1, 1, 0.855687, 0.562873, 141, 0
250, 627, 598, 11358850, 13, 90, 4, 84, 122, 228, 1, 0.749594, 1, 1, 0.632812, 141, 1
19, 598, 695, 11358850, 13, 296, 263, 213, 217, 294, 1, 1, 1, 0.855345, 0.857176, 141, 1
213, 598, 770, 11363050, 14, 175, 217, 6, 109, 294, 0.963922, 1, 0.858793, 0.688331, 1, 141, 0
296, 598, 787, 11363050, 14, 109, 6, 175, 217, 294, 0.94803, 1, 1, 1, 1, 141, 1
294, 587, 801, 11363373, 15, 6, 175, 217, 109, 57, 0.966108, 1, 1, 0.534419, 0.120028, 141, 0
217, 625, 798, 11363373, 15, 6, 225, 175, 272, 192, 1, 0.817603, 1, 0.239594, 0.230853, 141, 0
175, 662, 798, 11363374, 15, 6, 225, 272, 127, 69, 1, 0.374163, 0.428674, 0.158191, 0.107336, 141, 1
109, 598, 911, 11363374, 15, 277, 297, 230, 134, 80, 0.961646, 0.961331, 0.856878, 0.75075, 0.536567, 141, 1
122, 654, 598, 11371050, 14, 84, 90, 238, 273, 4, 1, 0.748685, 0.598213, 0.641333, 0.534725, 141, 0
84, 698, 598, 11371050, 14, 228, 90, 273, 137, 238, 1, 0.962595, 0.952807, 0.748659, 0.535238, 141, 0
90, 698, 601, 11371050, 14, 238, 125, 94, 137, 228, 1, 0.855945, 0.750298, 1, 1, 141, 1
228, 775, 601, 11371050, 14, 94, 125, 238, 37, 127, 1, 1, 1, 0.358783, 0.272462, 141, 0
137, 742, 601, 11371464, 15, 125, 94, 238, 127, 165, 1, 0.857445, 1, 0.107121, 0.106775, 141, 1
228, 775, 601, 11371464, 15, 94, 125, 238, 37, 127, 1, 1, 1, 0.358765, 0.272447, 141, 0
6, 700, 798, 11371574, 16, 225, 127, 10000000, 10000000, 10000000, 0.680575, 0.32136, 0, 0, 0, 141, 1
272, 812, 798, 11371574, 16, 69, 127, 225, 6, 10000000, 0.965176, 1, 1, 0.429004, 0, 141, 0
238, 801, 626, 11383664, 16, 165, 94, 125, 37, 127, 1, 1, 1, 0.64164, 0.407992, 141, 1
125, 801, 661, 11391864, 17, 127, 165, 94, 37, 225, 0.849174, 0.814204, 1, 0.85477, 0.238817, 141, 0
94, 801, 693, 11391865, 17, 225, 69, 37, 165, 127, 0.896759, 0.722374, 1, 0.532716, 0.29575, 141, 0
37, 798, 707, 11391865, 17, 69, 127, 225, 272, 200, 1, 1, 1, 0.961582, 0.855062, 141, 0
165, 798, 743, 11391865, 17, 69, 127, 225, 272, 200, 1, 1, 1, 1, 0.961945, 141, 1
127, 801, 859, 11392318, 18, 69, 74, 10000000, 10000000, 10000000, 1, 0.640667, 0, 0, 0, 141, 0
69, 801, 902, 11392318, 18, 74, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 141, 1
74, 798, 906, 11392602, 19, 141, 36, 97, 10000000, 10000000, 0.74762, 0.534337, 0.535111, 0, 0, 141, 1
29, -1, 88, 12299999, 1, 170, 32, 159, 207, 197, 0.972017, 0.860562, 1, 0.755515, 0.645857, 165, 0
159, -1, 124, 12300200, 2, 32, 170, 64, 207, 197, 1, 1, 0.911107, 0.863427, 0.753483, 165, 1
32, 1, 313, 12308400, 3, 168, 43, 10000000, 10000000, 10000000, 1, 0.303377, 0, 0, 0, 165, 1
168, -1, 335, 12308853, 4, 43, 50, 110, 236, 182, 1, 0.647358, 0.604604, 0.215166, 0.215563, 165, 1
7, 318, -1, 13299999, 1, 61, 275, 150, 143, 231, 1, 0.753619, 0.638072, 1, 0.484314, 74, 0
143, 316, 1, 13300200, 2, 253, 150, 231, 275, 152, 1, 1, 0.969735, 1, 0.863996, 74, 0
275, 401, 19, 13300200, 2, 48, 237, 152, 100, 231, 1, 0.826872, 1, 1, 1, 74, 1
231, 401, 45, 13304400, 3, 48, 237, 280, 132, 152, 1, 0.826394, 0.755269, 0.860176, 1, 74, 0
100, 398, 72, 13304400, 3, 280, 237, 268, 292, 132, 1, 1, 0.862081, 0.860824, 1, 74, 0
152, 401, 81, 13304400, 3, 280, 132, 48, 237, 10000000, 0.968771, 0.968628, 1, 0.754384, 0, 74, 0
48, 401, 118, 13304400, 3, 237, 280, 132, 10000000, 10000000, 1, 0.863165, 1, 0, 0, 74, 1
237, 398, 155, 13304400, 3, 41, 268, 292, 221, 264, 0.969774, 1, 1, 0.968795, 1, 74, 0
132, 398, 115, 13304684, 4, 292, 268, 264, 280, 41, 1, 0.969812, 0.963791, 1, 0.754246, 74, 0
237, 398, 155, 13304684, 4, 41, 268, 292, 221, 264, 0.969745, 1, 1, 0.968765, 1, 74, 1
280, 398, 178, 13304684, 4, 41, 112, 221, 268, 292, 1, 0.969128, 1, 1, 1, 74, 0
292, 412, 198, 13305137, 5, 111, 88, 112, 49, 41, 1, 0.969795, 1, 0.862759, 0.754209, 74, 1
264, 380, 201, 13305137, 5, 111, 41, 116, 88, 49, 0.949524, 0.969697, 1, 0.969795, 1, 74, 0
41, 401, 326, 13305138, 5, 255, 198, 256, 201, 10000000, 1, 0.797601, 0.963189, 0.971631, 0, 74, 1
201, 398, 346, 13305448, 6, 104, 198, 255, 256, 24, 1, 1, 1, 1, 0.646123, 74, 0
256, 398, 373, 13305448, 6, 104, 198, 255, 24, 160, 1, 1, 1, 0.75381, 0.75506, 74, 0
255, 401, 434, 13305448, 6, 104, 198, 24, 148, 10000000, 1, 1, 0.75381, 0.274791, 0, 74, 1
198, 401, 464, 13305888, 7, 148, 104, 79, 10000000, 10000000, 1, 1, 0.120629, 0, 0, 74, 0
104, 401, 502, 13305888, 7, 108, 148, 10000000, 10000000, 10000000, 1, 0.916579, 0, 0, 0, 74, 1
108, 398, 688, 13306186, 8, 31, 258, 288, 79, 204, 0.754887, 0.862315, 0.862273, 0.971217, 0.648097, 74, 1
79, 401, 720, 13306613, 9, 288, 31, 10000000, 10000000, 10000000, 1, 0.41297, 0, 0, 0, 74, 1
49, 477, 201, 13313338, 6, 131, 266, 216, 88, 116, 1, 1, 1, 1, 1, 74, 0
