source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id ,send_check 
247, 187, 1, 5299999, 1, 23, 126, 240, 98, 180, 1, 0.780804, 0.703174, 1, 0.607278, 200, 0, 1, 1, 0, 1, 1
98, 201, 25, 5300200, 2, 126, 240, 60, 180, 267, 0.921693, 0.913877, 0.918766, 0.884434, 0.793194, 200, 1, 1, 0, 1, 1, 1
240, 198, 187, 5300200, 2, 174, 27, 267, 226, 126, 0.786751, 1, 1, 1, 1, 200, 1, 0, 1, 1, 1, 1
226, 201, 212, 5308400, 3, 265, 174, 259, 206, 23, 0.882331, 0.912842, 0.780712, 0.607004, 1, 200, 1, 1, 1, 1, 0, 0
267, 201, 212, 5308400, 3, 265, 254, 174, 259, 186, 1, 1, 1, 0.610483, 0.440806, 200, 1, 1, 1, 1, 1, 0
126, 201, 212, 5308400, 3, 259, 186, 27, 23, 254, 1, 0.440806, 1, 0.932172, 0.306163, 200, 1, 1, 0, 0, 1, 0
27, 224, 198, 5308400, 3, 292, 268, 264, 218, 112, 1, 1, 0.880568, 0.786513, 0.46806, 200, 1, 1, 1, 1, 1, 1
174, 198, 387, 5308401, 3, 45, 65, 251, 172, 265, 1, 1, 1, 1, 1, 200, 0, 0, 1, 1, 1, 1
251, 212, 398, 5308659, 4, 255, 18, 104, 45, 162, 1, 0.937981, 0.776208, 1, 0.46596, 200, 1, 0, 1, 0, 1, 0
172, 212, 398, 5308659, 4, 255, 162, 45, 65, 24, 1, 0.609908, 1, 1, 0.3049, 200, 1, 1, 0, 0, 1, 0
265, 201, 412, 5308659, 4, 254, 186, 251, 172, 191, 1, 1, 1, 1, 1, 200, 1, 1, 1, 1, 1, 0
45, 225, 398, 5308659, 4, 160, 162, 18, 104, 24, 1, 1, 1, 0.874278, 0.775572, 200, 1, 1, 0, 1, 0, 1
65, 201, 427, 5308659, 4, 191, 45, 67, 10000000, 10000000, 1, 1, 0.234323, 0, 0, 200, 1, 0, 1, 1, 1, 0
18, 373, 401, 5308930, 5, 53, 24, 104, 255, 198, 1, 1, 1, 1, 1, 200, 0, 0, 0, 1, 1, 0
162, 386, 401, 5308930, 5, 79, 53, 24, 104, 255, 1, 1, 1, 1, 1, 200, 0, 0, 0, 0, 1, 0
160, 412, 398, 5308931, 5, 53, 24, 138, 104, 255, 0.938926, 1, 0.440942, 1, 1, 200, 0, 0, 1, 0, 1, 1
24, 427, 398, 5309241, 6, 138, 53, 114, 21, 10000000, 0.934383, 0.938858, 0.790471, 0.233677, 0, 200, 1, 0, 1, 1, 1, 0
255, 401, 412, 5309241, 6, 24, 104, 79, 198, 10000000, 1, 1, 0.232072, 1, 0, 200, 0, 0, 1, 1, 1, 0
104, 401, 419, 5309241, 6, 24, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 200, 0, 1, 1, 1, 1, 1
53, 572, 401, 5309241, 6, 21, 35, 114, 138, 118, 1, 1, 1, 1, 0.466493, 200, 0, 0, 1, 1, 1, 1
138, 587, 401, 5309564, 7, 260, 21, 85, 220, 35, 1, 1, 0.609997, 0.604715, 1, 200, 1, 0, 0, 1, 0, 0
21, 601, 426, 5309564, 7, 220, 124, 85, 287, 10000000, 1, 0.933402, 0.696776, 0.305164, 0, 200, 1, 1, 0, 1, 1, 1
114, 612, 398, 5309564, 7, 118, 81, 211, 21, 260, 1, 0.881535, 0.776344, 1, 0.699963, 200, 1, 0, 1, 0, 1, 0
35, 626, 398, 5309564, 7, 133, 21, 81, 211, 118, 1, 1, 0.612705, 0.609711, 0.466458, 200, 1, 0, 1, 1, 1, 0
85, 598, 572, 5309862, 8, 4, 84, 296, 250, 122, 1, 1, 0.769526, 1, 1, 200, 0, 0, 1, 1, 1, 1
60, 198, 171, 5312400, 3, 174, 27, 267, 226, 126, 1, 1, 1, 1, 1, 200, 1, 0, 1, 1, 1, 0
268, 412, 198, 5312601, 4, 116, 112, 49, 102, 266, 1, 1, 1, 0.867714, 0.60441, 200, 1, 1, 0, 0, 1, 1
112, 413, 198, 5316801, 5, 131, 49, 41, 116, 88, 1, 1, 1, 0.610737, 1, 200, 1, 0, 0, 1, 0, 1
250, 612, 598, 5318062, 9, 238, 273, 228, 90, 125, 1, 1, 1, 1, 0.871028, 200, 1, 1, 1, 0, 1, 0
122, 612, 598, 5318062, 9, 142, 273, 90, 4, 84, 0.468585, 0.701585, 0.606661, 1, 1, 200, 1, 1, 1, 0, 0, 0
4, 601, 629, 5318062, 9, 296, 185, 19, 213, 10000000, 1, 1, 1, 0.779401, 0, 200, 1, 1, 0, 1, 1, 1
19, 598, 771, 5318320, 10, 6, 217, 175, 296, 263, 1, 1, 1, 1, 1, 200, 0, 1, 1, 1, 1, 0
185, 598, 786, 5318320, 10, 225, 6, 217, 175, 69, 0.773111, 1, 1, 1, 0.305673, 200, 1, 0, 1, 1, 1, 1
213, 598, 787, 5318320, 10, 6, 217, 175, 69, 10000000, 1, 1, 1, 0.43454, 0, 200, 0, 1, 1, 1, 1, 0
88, 430, 198, 5321001, 6, 116, 131, 49, 41, 266, 0.932289, 0.773784, 0.60639, 1, 0.30144, 200, 1, 1, 0, 0, 1, 0
41, 401, 229, 5321001, 6, 255, 201, 10000000, 10000000, 10000000, 1, 0.929571, 0, 0, 0, 200, 1, 1, 1, 1, 1, 1
49, 571, 201, 5321001, 6, 86, 120, 102, 131, 266, 1, 0.775427, 1, 1, 1, 200, 0, 1, 0, 1, 1, 1
116, 586, 201, 5321001, 6, 266, 216, 120, 47, 131, 1, 1, 1, 0.872798, 1, 200, 1, 1, 1, 0, 1, 0
24, 427, 398, 5321441, 7, 138, 53, 114, 21, 10000000, 0.931728, 0.936177, 0.782921, 0.233013, 0, 200, 1, 0, 1, 1, 1, 1
114, 612, 398, 5321699, 8, 118, 81, 211, 21, 260, 1, 0.876845, 0.769098, 1, 0.697986, 200, 1, 0, 1, 0, 1, 1
217, 612, 798, 5322520, 11, 225, 6, 272, 69, 10000000, 0.698942, 1, 0.433539, 0.305281, 0, 200, 1, 0, 1, 1, 1, 0
175, 613, 798, 5322520, 11, 127, 6, 272, 69, 10000000, 1, 1, 0.30393, 0.305281, 0, 200, 1, 0, 1, 1, 1, 0
6, 625, 798, 5322520, 11, 272, 127, 200, 192, 225, 0.932865, 0.912889, 0.77259, 0.464859, 0.465961, 200, 1, 1, 1, 1, 1, 1
266, 587, 201, 5325201, 7, 190, 47, 102, 131, 194, 1, 0.602636, 1, 1, 0.439361, 200, 1, 1, 0, 1, 1, 0
131, 612, 198, 5325202, 7, 227, 113, 120, 194, 249, 0.783465, 0.783214, 0.699526, 0.608679, 0.604962, 200, 1, 1, 1, 1, 1, 0
102, 623, 198, 5325202, 7, 120, 249, 295, 270, 194, 1, 0.604962, 0.434212, 0.300859, 0.30434, 200, 1, 1, 1, 1, 1, 0
127, 801, 813, 5326721, 12, 272, 200, 192, 57, 225, 1, 1, 1, 1, 1, 200, 1, 1, 1, 0, 1, 1
192, 813, 798, 5326721, 12, 272, 200, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0, 200, 1, 1, 1, 1, 1, 0
201, 398, 387, 5329201, 7, 24, 104, 255, 198, 160, 1, 1, 1, 1, 1, 200, 0, 0, 1, 1, 1, 0
21, 601, 426, 5329899, 9, 220, 124, 85, 287, 10000000, 1, 0.928994, 0.693501, 0.303282, 0, 200, 1, 1, 0, 1, 1, 0
225, 801, 812, 5330921, 13, 272, 200, 192, 57, 165, 1, 1, 1, 1, 1, 200, 1, 1, 1, 0, 1, 0
272, 812, 798, 5330921, 13, 200, 192, 10000000, 10000000, 10000000, 0.927962, 1, 0, 0, 0, 200, 1, 1, 1, 1, 1, 0
192, 813, 798, 5330921, 13, 272, 200, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0, 200, 1, 1, 1, 1, 1, 0
57, 827, 798, 5330921, 13, 272, 200, 192, 10000000, 10000000, 1, 1, 1, 0, 0, 200, 1, 1, 1, 1, 1, 0
192, 813, 798, 5331257, 14, 272, 200, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0, 200, 1, 1, 1, 1, 1, 0
160, 412, 398, 5333402, 8, 53, 24, 104, 138, 255, 0.933564, 1, 1, 0.436235, 1, 200, 0, 0, 0, 1, 1, 0
198, 401, 412, 5333402, 8, 79, 24, 148, 104, 255, 1, 1, 0.43191, 1, 1, 200, 0, 0, 1, 0, 1, 0
255, 401, 412, 5333402, 8, 24, 104, 79, 198, 10000000, 1, 1, 0.230778, 1, 0, 200, 0, 0, 1, 1, 1, 0
24, 427, 398, 5333402, 8, 138, 53, 114, 21, 10000000, 0.929139, 0.933564, 0.775657, 0.232365, 0, 200, 1, 0, 1, 1, 1, 0
104, 401, 419, 5333402, 8, 24, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 200, 0, 1, 1, 1, 1, 0
249, 787, 201, 5333402, 8, 40, 58, 274, 227, 120, 0.865068, 1, 1, 1, 1, 200, 0, 0, 1, 1, 1, 0
