source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id 
132, 201, 244, 10299999, 1, 366, 305, 363, 386, 399, 0.646505, 0.549684, 0.478686, 0.323305, 0.323263, 171, 1, 1, 1, 1, 1
305, 198, 387, 10300200, 2, 399, 386, 366, 276, 363, 1, 1, 1, 0.107705, 1, 171, 1, 1, 1, 1, 1
366, 198, 387, 10300200, 2, 65, 188, 45, 205, 274, 1, 1, 0.863593, 1, 1, 171, 0, 0, 0, 0, 0
386, 198, 387, 10300200, 2, 399, 366, 305, 67, 276, 0.969769, 1, 1, 0.120913, 0.107705, 171, 1, 1, 1, 1, 1
399, 198, 387, 10300200, 2, 222, 65, 188, 45, 205, 1, 1, 1, 0.863593, 1, 171, 0, 0, 0, 0, 0
363, 201, 412, 10300200, 2, 276, 65, 188, 205, 45, 1, 1, 1, 1, 0.755644, 171, 0, 0, 0, 0, 0
274, 219, 398, 10300588, 3, 349, 339, 45, 388, 188, 1, 0.798489, 0.971502, 0.608261, 0.97283, 171, 1, 1, 0, 1, 0
188, 248, 398, 10300588, 3, 18, 278, 349, 45, 168, 1, 0.823922, 0.761708, 0.971502, 0.687109, 171, 0, 0, 1, 0, 0
205, 201, 446, 10300588, 3, 276, 67, 65, 222, 113, 0.242308, 0.120907, 1, 0.75435, 0.794247, 171, 1, 1, 0, 0, 0
65, 201, 485, 10300588, 3, 276, 222, 113, 210, 67, 0.275431, 0.95348, 0.844899, 0.379331, 0.3243, 171, 1, 0, 0, 0, 0
113, 198, 532, 10300898, 4, 295, 178, 136, 67, 210, 0.275807, 0.108063, 0.188688, 0.972867, 0.968777, 171, 1, 1, 1, 0, 0
222, 198, 564, 10300899, 4, 3, 67, 210, 276, 107, 0, 0.972867, 1, 1, 0.752698, 171, 1, 0, 0, 0, 0
67, 201, 691, 10300899, 4, 324, 295, 178, 246, 190, 0.823419, 0.965324, 0.688143, 0.550052, 0.702698, 171, 1, 0, 0, 0, 0
45, 283, 398, 10304788, 4, 349, 335, 168, 395, 18, 1, 0.964372, 0.864176, 0.756719, 0.958488, 171, 1, 1, 0, 1, 0
18, 312, 401, 10304788, 4, 24, 166, 300, 279, 395, 0.969666, 0.969965, 1, 1, 1, 171, 0, 0, 1, 0, 1
168, 354, 401, 10304789, 4, 24, 166, 104, 217, 300, 1, 1, 0.971462, 1, 1, 171, 0, 0, 0, 0, 1
278, 379, 401, 10304789, 4, 351, 302, 372, 339, 335, 1, 1, 1, 1, 1, 171, 1, 1, 1, 1, 1
276, 201, 618, 10305099, 5, 178, 324, 246, 190, 107, 0.317828, 0.274315, 0.242008, 0.120525, 0.967318, 171, 1, 1, 1, 1, 0
210, 201, 645, 10305099, 5, 324, 246, 107, 67, 10, 1, 0.323573, 0.859838, 1, 0.604285, 171, 1, 1, 0, 0, 0
395, 401, 412, 10305138, 5, 300, 24, 104, 115, 166, 1, 1, 0.971425, 0.759531, 1, 171, 1, 0, 0, 0, 0
300, 401, 415, 10305138, 5, 79, 24, 104, 115, 166, 0.107616, 0.969629, 1, 0.755842, 1, 171, 1, 0, 0, 0, 0
279, 419, 398, 10305138, 5, 347, 144, 24, 166, 104, 1, 0.94302, 1, 1, 0.863489, 171, 1, 0, 0, 0, 0
