source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id 
243, 181, 201, 10299999, 1, 365, 332, 346, 27, 23, 1, 1, 0.785573, 1, 0.968372, 153, 1, 1, 1, 0, 0
365, 198, 187, 10300200, 2, 472, 458, 27, 23, 13, 1, 1, 1, 0.968351, 0.874363, 153, 1, 1, 0, 0, 0
23, 201, 284, 10300200, 2, 333, 403, 481, 234, 327, 0.920304, 0.915412, 0.90916, 1, 0.794462, 153, 1, 1, 1, 0, 1
27, 277, 198, 10300200, 2, 428, 322, 332, 198, 439, 1, 0.934469, 0.916446, 1, 0.705156, 153, 1, 1, 1, 0, 1
27, 277, 198, 10300640, 3, 428, 322, 332, 198, 439, 1, 0.934373, 0.916323, 1, 0.705084, 153, 1, 1, 1, 0, 1
23, 201, 284, 10300640, 3, 333, 403, 481, 234, 327, 0.92018, 0.915289, 0.909039, 1, 0.794407, 153, 1, 1, 1, 0, 1
13, 198, 315, 10300640, 3, 481, 472, 403, 333, 486, 1, 1, 0.970256, 0.968359, 1, 153, 1, 1, 1, 1, 1
198, 356, 201, 10308840, 4, 88, 118, 117, 41, 226, 0.970202, 1, 1, 0.862544, 1, 153, 0, 0, 0, 0, 0
332, 387, 201, 10308840, 4, 438, 41, 88, 384, 118, 1, 1, 0.970202, 0.793535, 1, 153, 1, 0, 0, 1, 0
428, 387, 201, 10308840, 4, 218, 41, 384, 88, 118, 1, 1, 0.869339, 0.970202, 1, 153, 0, 0, 1, 0, 0
322, 412, 198, 10308840, 4, 334, 244, 420, 41, 114, 1, 0.968379, 0.483306, 1, 0.107737, 153, 1, 0, 1, 0, 1
118, 401, 245, 10309202, 5, 317, 470, 438, 228, 41, 1, 1, 1, 0.845564, 0.970325, 153, 1, 1, 1, 0, 0
41, 401, 288, 10309202, 5, 218, 391, 104, 324, 438, 0.936154, 0.964391, 0.784756, 0.861182, 0.788302, 153, 0, 1, 0, 1, 1
88, 495, 198, 10309203, 5, 334, 420, 114, 291, 123, 1, 0.845749, 0.241661, 0.7578, 0.844017, 153, 1, 1, 1, 0, 0
234, 198, 379, 10312840, 4, 206, 65, 45, 278, 316, 0.971088, 0.859864, 0.85984, 1, 1, 153, 0, 0, 0, 0, 0
327, 198, 387, 10312840, 4, 45, 189, 206, 65, 278, 0.96732, 0.966461, 1, 0.859864, 1, 153, 0, 0, 0, 0, 0
403, 201, 412, 10312840, 4, 45, 189, 65, 223, 206, 0.96732, 0.966461, 0.859864, 0.684837, 1, 153, 0, 0, 0, 0, 0
481, 201, 412, 10312840, 4, 65, 189, 45, 206, 223, 0.967347, 0.966461, 0.85984, 0.971088, 0.547869, 153, 0, 0, 0, 0, 0
324, 398, 387, 10313403, 6, 104, 24, 224, 167, 115, 1, 0.971478, 0.78291, 1, 0.765642, 153, 0, 0, 0, 0, 0
391, 398, 387, 10313403, 6, 24, 104, 167, 218, 283, 0.971478, 0.969647, 1, 1, 1, 153, 0, 0, 0, 0, 0
438, 401, 412, 10313403, 6, 317, 155, 24, 104, 167, 1, 0.120944, 1, 1, 1, 153, 1, 1, 0, 0, 0
206, 201, 446, 10317040, 5, 280, 319, 211, 65, 113, 1, 1, 0.695382, 1, 0.539502, 153, 0, 1, 0, 0, 0
189, 248, 398, 10317040, 5, 480, 356, 45, 18, 282, 0.961964, 0.755337, 0.966883, 0.754657, 0.549983, 153, 1, 1, 0, 0, 0
65, 201, 486, 10317041, 5, 280, 319, 223, 113, 67, 0.935319, 0.644333, 0.862088, 0.539502, 0.379255, 153, 1, 1, 0, 0, 0
223, 198, 564, 10317041, 5, 319, 185, 376, 345, 179, 1, 0.120859, 0.379426, 0.434133, 0.136885, 153, 1, 1, 1, 1, 1
283, 419, 398, 10317603, 7, 53, 24, 167, 104, 218, 1, 1, 1, 0.861519, 0.970309, 153, 0, 0, 0, 0, 0
218, 401, 431, 10317603, 7, 104, 224, 24, 115, 10000000, 1, 0.602621, 0.863145, 0.429691, 0, 153, 0, 0, 0, 0, 1
167, 445, 398, 10317603, 7, 378, 24, 306, 145, 290, 0.822844, 1, 0.644969, 0.609744, 0.549501, 153, 1, 0, 0, 0, 1
104, 401, 467, 10317603, 7, 224, 155, 115, 79, 10000000, 0.94445, 0.765285, 0.824637, 0.233835, 0, 153, 0, 0, 0, 0, 1
45, 283, 398, 10321241, 6, 167, 412, 480, 283, 360, 1, 0.936332, 0.917073, 0.866817, 0.755462, 153, 0, 1, 1, 1, 1
18, 312, 401, 10321241, 6, 24, 167, 317, 480, 470, 0.970657, 0.96663, 1, 1, 1, 153, 0, 0, 1, 1, 1
282, 379, 401, 10321241, 6, 53, 368, 104, 24, 167, 0.927566, 0.786305, 1, 0.970657, 1, 153, 0, 1, 0, 0, 0
123, 553, 201, 10321403, 6, 289, 384, 210, 420, 334, 0.965762, 1, 0.158603, 1, 0.965956, 153, 1, 1, 1, 1, 1
334, 587, 201, 10321403, 6, 452, 276, 368, 86, 114, 1, 1, 0.786205, 1, 0.968323, 153, 1, 0, 1, 0, 0
420, 587, 201, 10321403, 6, 340, 429, 493, 120, 491, 1, 0.873551, 0.431189, 0.233944, 0.159376, 153, 1, 1, 1, 1, 1
291, 620, 198, 10321403, 6, 493, 487, 474, 477, 399, 1, 1, 1, 0.696024, 0.548527, 153, 1, 1, 1, 1, 1
114, 601, 262, 10321739, 7, 435, 450, 379, 368, 294, 1, 0.845562, 0.722218, 0.601802, 0.634018, 153, 1, 1, 1, 1, 0
86, 717, 201, 10321739, 7, 254, 457, 429, 340, 120, 1, 1, 1, 0.970368, 1, 153, 0, 1, 1, 1, 0
276, 779, 201, 10321740, 7, 58, 127, 254, 99, 457, 1, 1, 1, 1, 1, 153, 0, 0, 0, 0, 1
115, 398, 533, 10321803, 8, 79, 155, 232, 308, 224, 1, 1, 0.15863, 0.187976, 1, 153, 0, 0, 1, 1, 0
224, 398, 567, 10321803, 8, 155, 312, 79, 163, 108, 1, 1, 0.858748, 0.858368, 0.643933, 153, 0, 0, 0, 0, 0
155, 401, 638, 10321804, 8, 178, 296, 108, 79, 225, 0.158245, 0.137458, 1, 1, 0.644757, 153, 1, 1, 0, 0, 0
155, 401, 638, 10322153, 9, 178, 296, 108, 79, 225, 0.158236, 0.137451, 1, 1, 0.644733, 153, 1, 1, 0, 0, 0
79, 401, 680, 10322153, 9, 296, 225, 108, 178, 10000000, 0.43056, 1, 0.843938, 0.567328, 0, 153, 1, 0, 0, 0, 1
