source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r
350, 200, 0, 2000000, 1, 362, 361, 360, 60, 359, 1, 1, 1, 1, 1
359, 200, 180, 2000275, 2, 372, 371, 369, 368, 366, 1, 1, 1, 1, 1
360, 200, 200, 2000275, 2, 372, 371, 74, 110, 369, 1, 1, 1, 1, 1
361, 200, 220, 2000275, 2, 376, 373, 110, 369, 368, 1, 1, 1, 1, 1
362, 200, 240, 2000275, 2, 377, 373, 372, 371, 412, 1, 1, 1, 1, 1
371, 200, 420, 2000781, 3, 381, 160, 379, 378, 377, 1, 1, 1, 1, 1
372, 200, 440, 2000781, 3, 422, 383, 381, 380, 160, 1, 1, 1, 1, 1
373, 200, 460, 2000781, 3, 384, 383, 381, 160, 379, 1, 1, 1, 1, 1
379, 200, 580, 2005056, 4, 390, 162, 387, 386, 385, 1, 1, 1, 1, 1
160, 200, 600, 2005056, 4, 174, 172, 430, 167, 166, 1, 1, 1, 0.999752, 1
381, 200, 620, 2005057, 4, 164, 163, 390, 389, 210, 1, 1, 1, 1, 1
383, 200, 660, 2005057, 4, 391, 390, 389, 210, 392, 1, 1, 1, 1, 1
384, 200, 680, 2005057, 4, 391, 390, 389, 210, 392, 1, 1, 1, 1, 1
389, 200, 780, 2005382, 5, 211, 391, 390, 210, 10000000, 1, 1, 1, 1, 0
210, 200, 800, 2005382, 5, 221, 220, 219, 218, 217, 1, 1, 1, 1, 1
390, 200, 800, 2005382, 5, 221, 440, 220, 219, 218, 1, 1, 1, 1, 1
391, 200, 820, 2005382, 5, 211, 390, 389, 210, 10000000, 1, 1, 1, 1, 0
210, 200, 800, 2005827, 6, 221, 220, 219, 218, 217, 1, 1, 1, 1, 1
390, 200, 800, 2005827, 6, 221, 440, 220, 219, 218, 1, 1, 1, 1, 1
211, 220, 800, 2005827, 6, 221, 440, 220, 219, 218, 1, 1, 1, 1, 1
389, 200, 780, 2005827, 6, 211, 391, 390, 210, 10000000, 1, 1, 1, 1, 0
218, 360, 800, 2006333, 7, 232, 231, 490, 229, 228, 0.996893, 1, 1, 1, 1
219, 380, 800, 2006333, 7, 231, 230, 229, 228, 225, 1, 1, 1, 1, 1
220, 400, 800, 2006333, 7, 231, 230, 229, 228, 227, 1, 1, 1, 1, 1
440, 400, 800, 2006333, 7, 234, 232, 490, 230, 229, 1, 0.996893, 1, 1, 1
221, 420, 800, 2006333, 7, 237, 233, 232, 231, 490, 1, 0.997947, 0.996893, 1, 1
490, 600, 800, 2007099, 8, 235, 236, 234, 237, 233, 1, 1, 1, 1, 0.997185
231, 620, 800, 2007099, 8, 235, 236, 234, 237, 233, 1, 1, 1, 1, 0.997185
232, 640, 800, 2007099, 8, 235, 236, 234, 237, 233, 1, 1, 1, 1, 0.997185
233, 660, 800, 2007099, 8, 235, 236, 234, 237, 10000000, 1, 1, 1, 1, 0
234, 680, 800, 2011423, 9, 235, 236, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
236, 720, 800, 2011423, 9, 235, 234, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
237, 740, 800, 2011423, 9, 235, 236, 234, 233, 10000000, 1, 1, 1, 1, 0
234, 680, 800, 2015698, 10, 235, 236, 10000000, 10000000, 10000000, 0.997659, 1, 0, 0, 0
233, 660, 800, 2019374, 9, 235, 236, 234, 237, 10000000, 0.994014, 1, 1, 0.993641, 0
234, 680, 800, 2019374, 9, 235, 236, 10000000, 10000000, 10000000, 0.994014, 1, 0, 0, 0
236, 720, 800, 2019374, 9, 235, 234, 10000000, 10000000, 10000000, 0.994014, 1, 0, 0, 0
237, 740, 800, 2019374, 9, 235, 236, 234, 233, 10000000, 0.994014, 1, 1, 1, 0
236, 720, 800, 2020219, 10, 235, 234, 10000000, 10000000, 10000000, 0.99318, 1, 0, 0, 0
234, 680, 800, 2025052, 11, 235, 236, 10000000, 10000000, 10000000, 0.988435, 0.99996, 0, 0, 0
236, 720, 800, 2029697, 12, 235, 234, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
234, 680, 800, 2033972, 13, 235, 236, 10000000, 10000000, 10000000, 1, 0.99112, 0, 0, 0
236, 720, 800, 2038247, 14, 235, 234, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
234, 680, 800, 2042522, 15, 235, 236, 10000000, 10000000, 10000000, 1, 0.982791, 0, 0, 0
236, 720, 800, 2046882, 16, 235, 234, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
234, 680, 800, 2051157, 17, 235, 236, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
236, 720, 800, 2055432, 18, 235, 234, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
234, 680, 800, 2059707, 19, 235, 236, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
236, 720, 800, 2063982, 20, 235, 234, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
234, 680, 800, 2068258, 21, 235, 236, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0
