source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id 
310, 0, 200, 4000000, 1, 56, 55, 317, 54, 53, 1, 1, 1, 1, 1, 592, 0, 0, 0, 0, 0, 
53, 60, 200, 4000200, 2, 62, 58, 56, 55, 60, 1, 1, 1, 1, 0.676332, 592, 0, 0, 0, 0, 1, 
54, 80, 200, 4000200, 2, 61, 59, 58, 57, 56, 1, 1, 1, 1, 1, 592, 0, 0, 0, 0, 0, 
55, 100, 200, 4000200, 2, 105, 59, 58, 57, 61, 1, 1, 1, 1, 0.670697, 592, 0, 0, 0, 0, 0, 
317, 0, 340, 4000200, 2, 327, 102, 324, 323, 322, 1, 1, 1, 1, 1, 592, 0, 0, 0, 0, 0, 
57, 140, 200, 4004807, 3, 67, 65, 64, 62, 61, 1, 1, 1, 1, 1, 592, 0, 0, 0, 0, 0, 
102, 40, 400, 4008551, 3, 112, 111, 108, 106, 152, 1, 1, 1, 0.997865, 1, 592, 0, 0, 0, 0, 0, 
106, 120, 400, 4012752, 4, 115, 374, 112, 111, 371, 1, 1, 1, 1, 1, 592, 0, 0, 0, 0, 0, 
108, 160, 400, 4012752, 4, 119, 115, 113, 112, 111, 1, 1, 1, 1, 1, 592, 0, 0, 0, 0, 0, 
61, 220, 200, 4017228, 4, 67, 66, 65, 64, 63, 1, 1, 1, 1, 1, 592, 0, 0, 0, 0, 0, 
62, 240, 200, 4017228, 4, 72, 410, 67, 66, 65, 1, 0.999964, 1, 1, 1, 592, 0, 1, 0, 0, 0, 
64, 280, 200, 4017228, 4, 72, 71, 410, 69, 67, 1, 1, 1, 0.997804, 1, 592, 0, 0, 1, 0, 0, 
65, 300, 200, 4017228, 4, 74, 71, 410, 69, 67, 0.994849, 1, 1, 1, 1, 592, 0, 0, 1, 0, 0, 
111, 220, 400, 4020952, 5, 118, 115, 113, 119, 117, 0.994983, 1, 1, 0.672821, 0.670375, 592, 0, 0, 0, 0, 0, 
112, 240, 400, 4020952, 5, 122, 118, 116, 115, 420, 1, 0.994983, 1, 1, 0.671049, 592, 0, 0, 0, 0, 1, 
113, 260, 400, 4020952, 5, 122, 121, 420, 120, 118, 1, 1, 1, 1, 0.994983, 592, 0, 0, 1, 1, 0, 
115, 300, 400, 4020952, 5, 124, 123, 121, 165, 420, 1, 1, 0.99674, 1, 1, 592, 0, 0, 0, 0, 1, 
67, 340, 200, 4021428, 5, 77, 74, 73, 411, 71, 1, 1, 0.989632, 1, 0.991054, 592, 0, 0, 0, 0, 0, 
69, 380, 200, 4021429, 5, 75, 74, 413, 73, 412, 1, 0.990731, 0.999398, 0.989632, 1, 592, 0, 0, 0, 0, 0, 
410, 400, 200, 4021429, 5, 419, 78, 77, 416, 415, 1, 1, 0.997831, 1, 1, 592, 0, 0, 0, 0, 0, 
71, 420, 200, 4021429, 5, 81, 80, 78, 76, 75, 1, 1, 1, 0.995637, 1, 592, 0, 1, 0, 0, 0, 
420, 400, 400, 4025153, 6, 127, 126, 428, 125, 124, 1, 1, 1, 0.998473, 1, 592, 0, 0, 0, 0, 0, 
121, 420, 400, 4025153, 6, 127, 126, 125, 124, 123, 0.992644, 1, 0.998473, 1, 1, 592, 0, 0, 0, 0, 0, 
124, 480, 400, 4025153, 6, 135, 132, 131, 470, 130, 1, 1, 1, 1, 0.997143, 592, 0, 0, 0, 1, 1, 
130, 600, 400, 4025528, 7, 520, 138, 137, 475, 135, 1, 0.98946, 1, 1, 1, 592, 1, 0, 0, 0, 0, 
470, 600, 400, 4025528, 7, 478, 137, 476, 136, 475, 0.991733, 0.996292, 0.996789, 1, 1, 592, 0, 0, 0, 0, 0, 
131, 620, 400, 4025528, 7, 140, 137, 136, 135, 134, 1, 1, 1, 1, 1, 592, 1, 0, 0, 0, 0, 
76, 520, 200, 4025629, 6, 464, 461, 81, 460, 79, 1, 1, 0.996656, 1, 1, 592, 0, 0, 0, 1, 0, 
78, 560, 200, 4025629, 6, 84, 462, 461, 81, 460, 0.999359, 1, 1, 0.996656, 1, 592, 0, 0, 0, 0, 1, 
80, 600, 200, 4025629, 6, 468, 466, 465, 464, 87, 1, 0.996899, 1, 1, 1, 592, 0, 0, 0, 0, 0, 
464, 600, 280, 4029937, 7, 472, 471, 470, 130, 468, 1, 1, 1, 1, 1, 592, 0, 0, 1, 1, 0, 
465, 600, 300, 4029937, 7, 474, 472, 470, 130, 468, 0.996946, 0.996324, 0.995859, 0.99556, 1, 592, 0, 0, 1, 1, 0, 
466, 600, 320, 4029937, 7, 476, 474, 472, 470, 130, 1, 1, 1, 1, 1, 592, 0, 0, 0, 1, 1, 
87, 740, 200, 4029937, 7, 510, 90, 95, 94, 511, 1, 1, 0.997493, 0.994861, 0.993364, 592, 1, 1, 0, 0, 0, 
468, 600, 360, 4029937, 7, 478, 476, 475, 474, 133, 0.987415, 1, 1, 1, 0.996329, 592, 0, 0, 0, 0, 0, 
474, 600, 480, 4030235, 8, 480, 180, 481, 479, 478, 1, 1, 0.988153, 1, 0.988902, 592, 1, 1, 0, 0, 0, 
475, 600, 500, 4030235, 8, 483, 480, 180, 481, 479, 0.996462, 1, 1, 0.988153, 1, 592, 0, 1, 1, 0, 0, 
478, 600, 560, 4030235, 8, 490, 488, 485, 483, 480, 1, 0.985521, 1, 0.996462, 1, 592, 1, 0, 0, 0, 1, 
480, 600, 600, 4030493, 9, 188, 184, 487, 183, 485, 1, 0.99752, 1, 0.987969, 1, 592, 0, 0, 0, 0, 0, 
