source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id 
7, 280, -1, 10299999, 1, 5, 275, 143, 152, 150, 0, 0.645231, 0.823823, 0.64539, 0.611832, 141, 1, 1, 0, 1, 0
143, 354, 1, 10300200, 2, 181, 275, 152, 48, 5, 0.121034, 1, 1, 0.861637, 1, 141, 1, 1, 0, 0, 0
275, 401, 12, 10300200, 2, 100, 48, 152, 280, 237, 0.939391, 1, 1, 0.539035, 0.539318, 141, 0, 0, 0, 1, 0
152, 401, 41, 10304400, 3, 237, 48, 280, 100, 132, 0.844203, 1, 0.602839, 0.538971, 0.430608, 141, 0, 0, 1, 0, 0
48, 401, 79, 10304400, 3, 280, 237, 100, 132, 41, 1, 0.948275, 0.862353, 0.645912, 0.362535, 141, 1, 1, 0, 0, 0
100, 398, 114, 10304400, 3, 41, 292, 268, 280, 237, 0.969024, 1, 1, 1, 1, 141, 0, 1, 1, 1, 0
280, 398, 187, 10304400, 3, 41, 112, 88, 111, 221, 1, 1, 0.862858, 0.603144, 1, 141, 0, 0, 0, 0, 0
237, 398, 180, 10304723, 4, 41, 112, 88, 221, 292, 1, 0.970951, 0.862828, 1, 1, 141, 0, 0, 0, 0, 1
280, 398, 187, 10304723, 4, 41, 112, 88, 111, 221, 1, 1, 0.862828, 0.60312, 1, 141, 0, 0, 0, 0, 0
221, 418, 198, 10316924, 5, 266, 41, 88, 112, 216, 0.64705, 0.860195, 1, 1, 0.549821, 141, 1, 0, 0, 0, 1
112, 449, 198, 10316924, 5, 266, 216, 88, 116, 49, 0.633891, 0.549821, 1, 0.72509, 0.795627, 141, 1, 1, 0, 0, 0
41, 401, 287, 10316924, 5, 198, 255, 201, 111, 256, 1, 0.930599, 0.752772, 0.82314, 0.603828, 141, 0, 1, 0, 0, 1
