source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id 
133, 201, 244, 10299999, 1, 406, 486, 481, 458, 327, 0.882436, 0.646796, 0.606147, 0.602862, 0.484052, 197, 1, 1, 1, 1, 1, 1
327, 198, 387, 10300200, 2, 45, 223, 189, 65, 319, 0.968637, 1, 0.967777, 0.968666, 0.798146, 197, 0, 0, 0, 0, 1, 0
406, 198, 387, 10300200, 2, 45, 189, 65, 206, 278, 0.968637, 0.967777, 0.968666, 0.972416, 1, 197, 0, 0, 0, 0, 0, 1
278, 219, 398, 10300640, 3, 45, 18, 189, 480, 65, 0.968592, 0.755995, 1, 0.550937, 0.860996, 197, 0, 0, 0, 1, 0, 0
189, 248, 398, 10300640, 3, 443, 45, 470, 480, 282, 0.875664, 0.968592, 0.550964, 0.550937, 0.551227, 197, 1, 0, 1, 1, 0, 1
206, 201, 446, 10300640, 3, 280, 319, 223, 45, 65, 0.443443, 0.860628, 0.847759, 0.753349, 0.968621, 197, 1, 1, 0, 0, 0, 0
65, 201, 485, 10300640, 3, 319, 223, 113, 280, 67, 0.950852, 0.755664, 0.825569, 0.538807, 0.466287, 197, 1, 0, 0, 0, 0, 1
45, 283, 398, 10304840, 4, 360, 480, 356, 169, 282, 1, 0.921699, 0.932088, 1, 0.843572, 197, 1, 1, 1, 0, 0, 0
282, 379, 401, 10304841, 4, 53, 24, 104, 167, 218, 1, 1, 1, 1, 0.971648, 197, 0, 0, 0, 0, 0, 0
470, 401, 412, 10304841, 4, 443, 412, 360, 317, 24, 1, 1, 1, 1, 1, 197, 1, 1, 1, 1, 0, 0
443, 412, 398, 10304841, 4, 24, 104, 167, 53, 218, 1, 1, 1, 0.688785, 0.971648, 197, 0, 0, 0, 0, 0, 1
167, 445, 398, 10305138, 5, 24, 455, 53, 431, 306, 1, 0.685508, 0.647992, 0.538891, 0.538196, 197, 0, 1, 0, 1, 0, 0
218, 401, 431, 10305138, 5, 155, 24, 104, 224, 115, 0.909062, 0.864308, 1, 0.724235, 0.75297, 197, 0, 0, 0, 0, 0, 0
104, 401, 467, 10305138, 5, 224, 115, 24, 155, 79, 0.548242, 0.602621, 0.648231, 0.274164, 0.159522, 197, 0, 0, 0, 1, 0, 1
24, 485, 398, 10305138, 5, 145, 121, 455, 368, 378, 0.949592, 0.697501, 0.685508, 0.603008, 0.635192, 197, 0, 0, 1, 1, 1, 1
53, 516, 401, 10305138, 5, 35, 121, 368, 290, 455, 1, 1, 1, 0.968037, 1, 197, 0, 0, 1, 0, 1, 0
145, 555, 401, 10305487, 6, 450, 435, 379, 455, 431, 1, 1, 1, 1, 1, 197, 1, 1, 1, 1, 1, 1
378, 587, 401, 10305487, 6, 328, 464, 21, 35, 180, 1, 1, 0.972076, 1, 0.971417, 197, 1, 1, 0, 0, 0, 0
455, 587, 401, 10305487, 6, 125, 21, 35, 328, 180, 1, 0.972076, 1, 0.781715, 1, 197, 0, 0, 0, 1, 0, 0
431, 587, 401, 10305823, 7, 353, 131, 328, 21, 35, 1, 0.909901, 0.884617, 0.97204, 1, 197, 1, 0, 1, 0, 0, 0
455, 587, 401, 10305823, 7, 125, 21, 35, 328, 180, 1, 0.97204, 1, 0.78151, 1, 197, 0, 0, 0, 1, 0, 0
379, 598, 387, 10305823, 7, 21, 180, 121, 35, 290, 0.97204, 1, 1, 0.862992, 1, 197, 0, 0, 0, 0, 0, 0
435, 598, 387, 10305823, 7, 353, 85, 21, 180, 121, 1, 0.94981, 0.97204, 1, 1, 197, 1, 0, 0, 0, 0, 0
450, 598, 387, 10305823, 7, 85, 21, 180, 121, 35, 0.954239, 0.97204, 1, 1, 0.862992, 197, 0, 0, 0, 0, 0, 1
121, 642, 398, 10306159, 8, 469, 328, 407, 387, 93, 0.958177, 0.937911, 0.689021, 0.466534, 0.120999, 197, 1, 1, 1, 1, 1, 0
180, 601, 445, 10306160, 8, 304, 248, 21, 131, 430, 0.908737, 0.752338, 0.972005, 0.725319, 0.647244, 197, 1, 1, 0, 0, 1, 0
21, 601, 487, 10306160, 8, 187, 430, 353, 464, 248, 0.939439, 0.845403, 0.687198, 0.539078, 0.859815, 197, 0, 1, 1, 1, 0, 1
113, 198, 532, 10308840, 4, 67, 211, 280, 319, 179, 0.97164, 0.967821, 1, 1, 0.766028, 197, 0, 0, 0, 1, 0, 0
223, 198, 564, 10308841, 4, 185, 433, 67, 107, 10, 0.120979, 0.240833, 1, 0.752714, 0.908646, 197, 1, 1, 0, 0, 0, 0
319, 198, 584, 10308841, 4, 107, 299, 250, 345, 137, 0.967775, 0.158704, 0.18873, 0.159481, 0.188567, 197, 0, 1, 1, 1, 1, 1
280, 201, 618, 10308841, 4, 376, 433, 299, 250, 107, 0.468755, 0.318521, 0.274571, 0.411685, 0.967775, 197, 1, 1, 1, 1, 0, 0
115, 398, 533, 10309338, 6, 225, 79, 155, 312, 96, 0.137551, 0.967387, 1, 0.754386, 0.645854, 197, 1, 0, 0, 1, 0, 0
224, 398, 567, 10309338, 6, 79, 312, 155, 96, 163, 1, 1, 1, 0.645854, 0.752079, 197, 0, 0, 0, 0, 0, 1
312, 419, 598, 10309687, 7, 381, 96, 163, 310, 174, 1, 1, 1, 0.644582, 0.603116, 197, 1, 0, 0, 0, 0, 0
155, 401, 637, 10309687, 7, 96, 163, 108, 79, 178, 0.753468, 0.859487, 0.955287, 1, 0.606361, 197, 0, 0, 0, 0, 0, 0
79, 401, 680, 10309688, 7, 96, 108, 163, 225, 296, 0.64583, 0.965954, 0.644615, 0.603492, 0.469194, 197, 0, 0, 1, 0, 0, 1
108, 398, 728, 10309959, 8, 308, 82, 182, 296, 178, 0.860279, 0.64749, 0.75194, 1, 1, 197, 1, 0, 0, 0, 0, 0
225, 398, 765, 10309959, 8, 82, 308, 182, 296, 178, 0.755405, 1, 0.85936, 1, 1, 197, 0, 0, 0, 0, 0, 0
296, 401, 820, 10309959, 8, 82, 182, 308, 10000000, 10000000, 0.86332, 1, 1, 0, 0, 197, 0, 0, 0, 1, 1, 0
248, 598, 580, 10310360, 9, 84, 4, 187, 277, 304, 0.861564, 0.968002, 1, 1, 1, 197, 0, 0, 0, 0, 0, 0
353, 598, 587, 10310360, 9, 19, 4, 187, 129, 277, 1, 0.967151, 1, 0.862321, 1, 197, 0, 0, 0, 0, 0, 0
430, 598, 587, 10310360, 9, 19, 84, 4, 187, 129, 1, 0.861564, 0.968002, 1, 0.862321, 197, 0, 0, 0, 0, 0, 0
464, 598, 587, 10310360, 9, 84, 4, 187, 129, 277, 0.861564, 1, 1, 0.862321, 1, 197, 0, 0, 0, 0, 0, 0
187, 601, 646, 10310360, 9, 483, 331, 400, 112, 19, 1, 0.647477, 0.323175, 0.120775, 1, 197, 1, 1, 1, 1, 0, 1
19, 598, 711, 10310735, 10, 400, 331, 483, 358, 426, 1, 1, 0.97106, 0.971718, 0.967613, 197, 1, 1, 1, 1, 1, 0
400, 598, 787, 10310736, 10, 6, 252, 195, 245, 453, 0.967955, 0.778152, 1, 1, 1, 197, 0, 1, 0, 0, 1, 0
483, 598, 787, 10310736, 10, 6, 195, 252, 245, 453, 0.967955, 1, 0.570027, 1, 1, 197, 0, 0, 1, 0, 1, 1
453, 612, 798, 10311176, 11, 6, 195, 245, 323, 227, 0.967909, 1, 1, 0.378343, 0.362306, 197, 0, 0, 0, 1, 1, 0
245, 619, 798, 10311176, 11, 227, 6, 195, 252, 323, 0.764194, 0.967909, 1, 0.322342, 0.159545, 197, 1, 0, 0, 1, 1, 0
195, 646, 798, 10311176, 11, 6, 323, 252, 227, 134, 1, 0.567515, 0.361614, 0.215741, 0.120623, 197, 0, 1, 1, 1, 1, 0
6, 685, 798, 10311176, 11, 227, 323, 212, 57, 252, 0.90654, 0.906851, 0.605017, 0.380075, 0.322342, 197, 1, 1, 0, 0, 1, 1
323, 812, 798, 10311603, 12, 57, 51, 212, 256, 227, 1, 0.846656, 1, 0.635466, 0.97079, 197, 0, 0, 0, 1, 0, 0
227, 822, 798, 10311603, 12, 51, 57, 329, 350, 212, 1, 1, 0.759726, 0.72304, 1, 197, 0, 0, 1, 1, 0, 1
212, 849, 798, 10311603, 12, 57, 231, 329, 256, 197, 1, 0.770929, 0.759726, 0.647726, 0.637488, 197, 0, 1, 1, 0, 0, 0
212, 849, 798, 10311874, 13, 57, 231, 329, 256, 197, 1, 0.770768, 0.759687, 0.647707, 0.63746, 197, 0, 1, 1, 0, 0, 0
57, 889, 798, 10311875, 13, 256, 231, 329, 51, 350, 1, 0.910935, 0.876423, 0.846628, 0.64558, 197, 0, 1, 1, 0, 1, 0
51, 920, 801, 10311875, 13, 197, 256, 350, 396, 329, 1, 0.97156, 1, 1, 1, 197, 0, 0, 1, 1, 1, 1
350, 987, 801, 10311875, 13, 197, 256, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0, 197, 0, 0, 1, 1, 1, 0
329, 1001, 812, 10311875, 13, 256, 197, 350, 396, 10000000, 1, 0.967754, 0.96837, 1, 0, 197, 0, 0, 1, 1, 1, 0
256, 981, 801, 10312159, 14, 197, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 197, 0, 1, 1, 1, 1, 0
350, 987, 801, 10312159, 14, 197, 256, 10000000, 10000000, 10000000, 1, 1, 0, 0, 0, 197, 0, 0, 1, 1, 1, 0
329, 1001, 812, 10312159, 14, 256, 197, 350, 396, 10000000, 1, 0.967725, 0.96834, 1, 0, 197, 0, 0, 1, 1, 1, 0
396, 1001, 812, 10312159, 14, 256, 197, 350, 329, 10000000, 1, 0.967725, 0.96834, 1, 0, 197, 0, 0, 1, 1, 1, 0
163, 448, 598, 10313887, 8, 381, 96, 174, 310, 16, 0.930422, 1, 0.60281, 0.536909, 0.430918, 197, 1, 0, 0, 1, 0, 0
96, 484, 598, 10313888, 8, 381, 277, 129, 310, 174, 1, 0.91037, 0.646495, 0.721781, 0.646681, 197, 1, 0, 0, 0, 0, 0
174, 553, 601, 10313888, 8, 187, 84, 277, 304, 381, 1, 0.861237, 1, 1, 1, 197, 0, 0, 0, 0, 1, 0
296, 401, 820, 10314159, 9, 82, 182, 308, 10000000, 10000000, 0.862929, 1, 1, 0, 0, 197, 0, 0, 0, 1, 1, 0
178, 401, 843, 10314159, 9, 82, 182, 308, 296, 10000000, 0.755063, 0.858972, 0.967377, 1, 0, 197, 0, 0, 1, 0, 1, 0
174, 553, 601, 10318088, 9, 187, 84, 277, 304, 381, 1, 0.860847, 1, 1, 1, 197, 0, 0, 0, 0, 1, 0
