source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id ,send_log
347,8,-1,10300199,2,8,11,38,151,425,0.9727870000000001,1.0,0.863252,0.7548819999999999,0.6458149999999999,350,0,0,0,0,1,0
409,8,-1,10300199,2,351,449,8,11,288,1.0,0.774195,1.0,1.0,0.773157,350,1,1,0,0,1,0
490,8,-1,10300199,2,351,8,436,11,151,0.7860659999999999,1.0,0.794747,1.0,0.7001970000000001,350,1,0,1,0,0,0
492,8,-1,10300199,2,436,38,8,11,151,0.9139780000000001,0.949148,1.0,1.0,0.7548819999999999,350,1,0,0,0,0,1
8,79,-1,10300536,3,448,425,151,436,364,1.0,0.9337790000000001,1.0,0.8626159999999999,0.86205,350,1,1,0,1,1,1
11,1,81,10300536,3,489,364,436,405,448,0.9158299999999999,0.24169000000000002,0.120762,0.215047,0.137845,350,1,1,1,1,1,1
436,187,1,10300536,3,150,448,351,62,405,1.0,1.0,1.0,1.0,0.9677129999999999,350,0,1,1,0,1,1
351,212,-1,10300846,4,341,150,7,98,124,0.921834,0.843614,1.0,0.862165,1.0,350,1,0,0,0,0,0
405,212,-1,10300846,4,449,425,344,413,448,1.0,1.0,1.0,1.0,1.0,350,1,1,1,1,1,0
448,212,-1,10300846,4,62,7,150,98,124,1.0,1.0,0.756079,0.862165,1.0,350,0,0,0,0,0,1
150,353,1,10300847,4,61,5,157,159,380,1.0,0.967088,1.0,0.971774,1.0,350,0,0,0,0,1,1
380,387,1,10301183,5,5,159,48,157,258,0.971783,1.0,0.862317,1.0,1.0,350,0,0,0,0,0,0
159,401,41,10301183,5,264,48,100,139,346,0.846251,0.862317,0.723629,0.605572,0.430674,350,0,0,0,0,1,0
157,447,-1,10301183,5,359,423,374,321,315,0.799766,0.7942279999999999,0.610561,0.319399,0.241971,350,1,1,1,1,1,0
5,487,-1,10301183,5,359,374,423,321,432,0.95972,0.823693,0.688581,0.567171,0.605514,350,1,1,1,1,1,0
61,515,1,10301183,5,295,432,374,221,321,1.0,1.0,1.0,0.969419,1.0,350,0,1,1,0,1,1
374,601,12,10301506,6,91,12,289,156,105,1.0,0.8616,0.64522,0.969794,0.969995,350,0,0,1,0,0,0
432,601,12,10301506,6,384,91,156,289,184,0.909531,1.0,1.0,0.64522,0.6472640000000001,350,1,0,0,1,0,1
321,614,-1,10301507,6,91,46,336,156,105,0.970309,0.9657399999999999,0.8605370000000001,0.969794,0.969995,350,0,0,1,0,0,0
221,634,-1,10301507,6,352,91,156,105,251,0.870898,0.754685,0.8620389999999999,0.969995,0.701543,350,1,0,0,0,1,0
