source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,
1498, 1182, 1487, 1201, 10000200, 4, 1, 710, 400, 205, 
1498, 1182, 1487, 1201, 10000200, 3, 1, 811, 400, 205, 
1498, 1182, 1475, 1201, 10000200, 1, 1, 344, 400, 205, 
1498, 1182, 1501, 1239, 10000200, 2, 1, 227, 400, 205, 
1475, 1201, 1438, 1201, 10004825, 0, 2, 98, 344, 205, 
1501, 1239, 1474, 1201, 10009345, 1, 2, 344, 227, 205, 
1501, 1239, 1438, 1201, 10009345, 0, 2, 98, 227, 205, 
1474, 1201, 1438, 1201, 10013545, 0, 3, 98, 344, 205, 
2098, 854, 2087, 901, 11000200, 4, 1, 800, 282, 234, 
2098, 854, 2101, 941, 11000200, 2, 1, 300, 282, 234, 
2098, 854, 2101, 989, 11000200, 0, 1, 16, 282, 234, 
2101, 989, 2098, 1125, 11000510, 0, 2, 130, 16, 234, 
2101, 989, 2098, 1181, 11000511, 2, 2, 480, 16, 234, 
2098, 1125, 2101, 1223, 11000847, 4, 3, 364, 130, 234, 
2098, 1125, 2101, 1254, 11000847, 1, 3, 188, 130, 234, 
2101, 1254, 2101, 1298, 11005361, 1, 4, 6, 188, 234, 
2101, 1254, 2068, 1201, 11005361, 2, 4, 337, 188, 234, 
2101, 1254, 2038, 1201, 11005361, 0, 4, 145, 188, 234, 
2101, 1298, 2038, 1201, 11009954, 1, 5, 145, 6, 234, 
1890, 2098, 1787, 2101, 12000200, 4, 1, 633, 129, 267, 
1890, 2098, 1787, 2101, 12000200, 3, 1, 768, 129, 267, 
1890, 2098, 1787, 2101, 12000200, 2, 1, 843, 129, 267, 
1890, 2098, 1775, 2101, 12000200, 0, 1, 449, 129, 267, 
1775, 2101, 1748, 2101, 12000575, 1, 2, 262, 449, 267, 
1775, 2101, 1713, 2101, 12000575, 0, 2, 88, 449, 267, 
1713, 2101, 1608, 2098, 12000924, 1, 3, 20, 88, 267, 
1608, 2098, 1498, 2087, 12005363, 2, 4, 712, 20, 267, 
1608, 2098, 1498, 2081, 12005363, 1, 4, 536, 20, 267, 
1608, 2098, 1498, 2055, 12005363, 3, 4, 331, 20, 267, 
1608, 2098, 1487, 2101, 12005363, 4, 4, 717, 20, 267, 
1608, 2098, 1498, 2019, 12005363, 0, 4, 152, 20, 267, 
1498, 2019, 1501, 1899, 12005660, 0, 5, 124, 152, 267, 
1501, 1899, 1428, 1801, 12005919, 2, 6, 163, 124, 267, 
1498, 2081, 1498, 2055, 12009563, 1, 5, 331, 536, 267, 
1498, 2081, 1498, 2019, 12009563, 0, 5, 152, 536, 267, 
1428, 1801, 1304, 1798, 12014119, 1, 7, 67, 163, 267, 
1428, 1801, 1267, 1798, 12014119, 0, 7, 217, 163, 267, 
1267, 1798, 1232, 1798, 12014521, 2, 8, 408, 217, 267, 
1267, 1798, 1198, 1770, 12014521, 1, 8, 431, 217, 267, 
1198, 1770, 1198, 1713, 12018721, 0, 9, 114, 431, 267, 
1198, 1770, 1201, 1608, 12018721, 1, 9, 66, 431, 267, 
1198, 1713, 1201, 1563, 12019044, 0, 10, 199, 114, 267, 
1201, 1563, 1198, 1487, 12019368, 4, 11, 833, 199, 267, 
1201, 1563, 1198, 1487, 12019368, 3, 11, 877, 199, 267, 
1201, 1563, 1198, 1467, 12019368, 2, 11, 373, 199, 267, 
1201, 1563, 1198, 1435, 12019368, 1, 11, 178, 199, 267, 
1201, 1563, 1198, 1386, 12019368, 0, 11, 24, 199, 267, 
1198, 1386, 1201, 1308, 12019652, 2, 12, 62, 24, 267, 
1201, 1308, 1212, 1198, 12027853, 4, 13, 612, 62, 267, 
1201, 1308, 1212, 1198, 12027853, 3, 13, 789, 62, 267, 
1201, 1308, 1212, 1198, 12027853, 2, 13, 853, 62, 267, 
1201, 1308, 1255, 1198, 12027853, 267, 13, 267, 62, 267, 
1073, 2101, 1183, 2101, 13000200, 4, 1, 579, 79, 120, 
1073, 2101, 1187, 2101, 13000200, 3, 1, 733, 79, 120, 
1073, 2101, 1187, 2101, 13000200, 2, 1, 828, 79, 120, 
1073, 2101, 1187, 2101, 13000200, 1, 1, 866, 79, 120, 
1187, 2101, 1217, 2098, 13004638, 3, 2, 558, 866, 120, 
1187, 2101, 1198, 2060, 13004638, 1, 2, 392, 866, 120, 
1187, 2101, 1235, 2098, 13004638, 4, 2, 366, 866, 120, 
1198, 2060, 1198, 2021, 13008838, 1, 3, 182, 392, 120, 
1198, 2060, 1198, 1991, 13008838, 0, 3, 41, 392, 120, 
1865, 298, 1801, 353, 14000200, 3, 1, 406, 341, 338, 
1865, 298, 1762, 301, 14000200, 4, 1, 510, 341, 338, 
1865, 298, 1801, 397, 14000200, 1, 1, 191, 341, 338, 
1865, 298, 1688, 301, 14000200, 2, 1, 111, 341, 338, 
1801, 397, 1801, 441, 14004400, 2, 2, 38, 191, 338, 
1688, 301, 1642, 298, 14008967, 1, 2, 64, 111, 338, 
1801, 441, 1798, 542, 14012600, 3, 3, 422, 38, 338, 
1801, 441, 1824, 598, 14012601, 2, 3, 593, 38, 338, 
1801, 441, 1801, 617, 14012601, 1, 3, 641, 38, 338, 
1642, 298, 1501, 357, 14013167, 1, 3, 424, 64, 338, 
1642, 298, 1501, 385, 14013167, 0, 3, 251, 64, 338, 
1642, 298, 1470, 301, 14013167, 4, 3, 542, 64, 338, 
1501, 385, 1501, 447, 14013438, 0, 4, 83, 251, 338, 
1501, 385, 1498, 483, 14013439, 1, 4, 172, 251, 338, 
1501, 447, 1512, 598, 14013788, 1, 5, 777, 83, 338, 
1501, 447, 1487, 601, 14013788, 2, 5, 865, 83, 338, 
1501, 447, 1439, 601, 14013788, 0, 5, 377, 83, 338, 
