source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y
1,319,1,338,10000200,3,1,211,420,439,1485,901
1,319,12,298,10000200,4,1,633,420,439,1485,901
1,319,27,298,10000200,2,1,277,420,439,1485,901
1,319,1,382,10000200,1,1,54,420,439,1485,901
1,319,63,298,10000200,0,1,97,420,439,1485,901
1,382,63,298,10004853,0,2,97,54,439,1485,901
1798,546,1787,601,11000200,3,1,611,239,468,298,2085
1798,546,1801,616,11000200,4,1,447,239,468,298,2085
1798,546,1801,636,11000200,1,1,265,239,468,298,2085
1798,546,1801,681,11000200,0,1,93,239,468,298,2085
1801,681,1706,601,11000497,1,2,36,93,468,298,2085
533,301,567,301,12000200,3,1,430,206,137,601,1898
533,301,585,301,12000200,2,1,604,206,137,601,1898
533,301,601,322,12000200,1,1,508,206,137,601,1898
533,301,601,393,12000200,0,1,126,206,137,601,1898
822,1,901,17,13000200,4,1,571,203,285,1501,1856
822,1,901,44,13000200,1,1,381,203,285,1501,1856
822,1,901,134,13000200,0,1,23,203,285,1501,1856
822,1,990,-1,13000200,3,1,165,203,285,1501,1856
901,134,898,234,13000484,2,2,315,23,285,1501,1856
901,134,898,271,13000484,1,2,512,23,285,1501,1856
901,134,887,301,13000485,3,2,730,23,285,1501,1856
898,271,901,332,13004685,3,3,482,512,285,1501,1856
898,271,988,298,13004685,2,3,260,512,285,1501,1856
898,271,901,371,13004685,1,3,278,512,285,1501,1856
898,271,901,396,13004685,0,3,133,512,285,1501,1856
901,396,898,495,13004969,1,4,131,133,285,1501,1856
901,396,898,531,13004969,0,4,313,133,285,1501,1856
898,531,901,617,13005306,3,5,599,313,285,1501,1856
901,617,901,641,13017506,3,6,442,599,285,1501,1856
901,617,952,598,13017506,4,6,342,599,285,1501,1856
901,617,901,710,13017506,0,6,52,599,285,1501,1856
901,617,1025,598,13017506,1,6,45,599,285,1501,1856
901,710,898,775,13017881,4,7,5,52,285,1501,1856
901,710,898,811,13017881,3,7,219,52,285,1501,1856
901,710,898,860,13017881,2,7,393,52,285,1501,1856
1025,598,1113,601,13021713,3,7,155,45,285,1501,1856
