source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
1498, 1182, 1498, 1187, 10000200, 3, 1, 581, 400, 205, 901, 1542, 227, 437, 581, 10000000, 10000000
1498, 1182, 1501, 1218, 10000200, 2, 1, 437, 400, 205, 901, 1542, 227, 437, 581, 10000000, 10000000
1498, 1182, 1501, 1239, 10000200, 1, 1, 227, 400, 205, 901, 1542, 227, 437, 581, 10000000, 10000000
1501, 1239, 1475, 1201, 10000562, 2, 2, 344, 227, 205, 901, 1542, 98, 344, 10000000, 10000000, 10000000
1501, 1239, 1438, 1201, 10000562, 1, 2, 98, 227, 205, 901, 1542, 98, 344, 10000000, 10000000, 10000000
1475, 1201, 1438, 1201, 10004762, 1, 3, 98, 344, 205, 901, 1542, 98, 10000000, 10000000, 10000000, 10000000
1890, 2098, 1787, 2101, 12000200, 5, 1, 768, 129, 267, 1242, 1198, 88, 262, 449, 843, 768
1890, 2098, 1787, 2101, 12000200, 4, 1, 843, 129, 267, 1242, 1198, 88, 262, 449, 843, 768
1890, 2098, 1775, 2101, 12000200, 3, 1, 449, 129, 267, 1242, 1198, 88, 262, 449, 843, 768
1890, 2098, 1713, 2101, 12000200, 1, 1, 88, 129, 267, 1242, 1198, 88, 262, 449, 843, 768
1713, 2101, 1608, 2098, 12000575, 3, 2, 20, 88, 267, 1242, 1198, 446, 253, 20, 10000000, 10000000
1713, 2101, 1533, 2098, 12000576, 1, 2, 446, 88, 267, 1242, 1198, 446, 253, 20, 10000000, 10000000
1533, 2098, 1498, 2087, 12000912, 4, 3, 712, 446, 267, 1242, 1198, 152, 331, 536, 712, 26
1533, 2098, 1498, 2081, 12000912, 3, 3, 536, 446, 267, 1242, 1198, 152, 331, 536, 712, 26
1533, 2098, 1498, 2055, 12000912, 2, 3, 331, 446, 267, 1242, 1198, 152, 331, 536, 712, 26
1533, 2098, 1498, 2019, 12000912, 1, 3, 152, 446, 267, 1242, 1198, 152, 331, 536, 712, 26
1533, 2098, 1385, 2101, 12000912, 5, 3, 26, 446, 267, 1242, 1198, 152, 331, 536, 712, 26
1498, 2019, 1501, 1899, 12001667, 2, 4, 124, 152, 267, 1242, 1198, 285, 124, 10000000, 10000000, 10000000
1501, 1899, 1498, 1787, 12006266, 5, 5, 827, 124, 267, 1242, 1198, 246, 390, 163, 870, 827
1501, 1899, 1498, 1787, 12006266, 4, 5, 870, 124, 267, 1242, 1198, 246, 390, 163, 870, 827
1385, 2101, 1228, 2098, 12017113, 2, 4, 366, 26, 267, 1242, 1198, 558, 366, 57, 866, 828
1385, 2101, 1187, 2101, 12017113, 5, 4, 828, 26, 267, 1242, 1198, 558, 366, 57, 866, 828
1498, 1787, 1498, 1787, 12018466, 4, 6, 747, 870, 267, 1242, 1198, 246, 390, 827, 747, 577
1498, 1787, 1498, 1787, 12018466, 3, 6, 827, 870, 267, 1242, 1198, 246, 390, 827, 747, 577
1498, 1787, 1498, 1786, 12018466, 5, 6, 577, 870, 267, 1242, 1198, 246, 390, 827, 747, 577
1498, 1787, 1498, 1765, 12018466, 2, 6, 390, 870, 267, 1242, 1198, 246, 390, 827, 747, 577
1498, 1787, 1498, 1733, 12018466, 1, 6, 246, 870, 267, 1242, 1198, 246, 390, 827, 747, 577
1498, 1733, 1501, 1591, 12018803, 1, 7, 89, 246, 267, 1242, 1198, 89, 10000000, 10000000, 10000000, 10000000
1501, 1591, 1487, 1501, 12019100, 5, 8, 688, 89, 267, 1242, 1198, 234, 444, 506, 623, 688
1501, 1591, 1475, 1501, 12019100, 3, 8, 506, 89, 267, 1242, 1198, 234, 444, 506, 623, 688
1501, 1591, 1498, 1485, 12019100, 4, 8, 623, 89, 267, 1242, 1198, 234, 444, 506, 623, 688
1501, 1591, 1433, 1501, 12019100, 1, 8, 234, 89, 267, 1242, 1198, 234, 444, 506, 623, 688
1501, 1591, 1498, 1466, 12019100, 2, 8, 444, 89, 267, 1242, 1198, 234, 444, 506, 623, 688
1433, 1501, 1308, 1498, 12019411, 4, 9, 76, 234, 267, 1242, 1198, 243, 573, 892, 76, 10000000
1433, 1501, 1275, 1498, 12019411, 1, 9, 243, 234, 267, 1242, 1198, 243, 573, 892, 76, 10000000
1275, 1498, 1198, 1487, 12019799, 5, 10, 877, 243, 267, 1242, 1198, 178, 24, 373, 62, 877
1275, 1498, 1198, 1467, 12019799, 3, 10, 373, 243, 267, 1242, 1198, 178, 24, 373, 62, 877
1275, 1498, 1198, 1435, 12019799, 1, 10, 178, 243, 267, 1242, 1198, 178, 24, 373, 62, 877
