source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5
242, 198, 277, 198, 10300200, 3, 1, 27, 160, 262, 998, 989, 71, 332, 27, 454, 198
242, 198, 323, 201, 10300200, 1, 1, 71, 160, 262, 998, 989, 71, 332, 27, 454, 198
242, 198, 356, 201, 10300200, 5, 1, 198, 160, 262, 998, 989, 71, 332, 27, 454, 198
242, 198, 387, 201, 10300200, 2, 1, 332, 160, 262, 998, 989, 71, 332, 27, 454, 198
242, 198, 387, 201, 10300200, 4, 1, 454, 160, 262, 998, 989, 71, 332, 27, 454, 198
323, 201, 412, 198, 10300497, 2, 2, 439, 71, 262, 998, 989, 485, 439, 389, 322, 465
323, 201, 412, 198, 10300497, 1, 2, 485, 71, 262, 998, 989, 485, 439, 389, 322, 465
323, 201, 412, 198, 10300497, 4, 2, 322, 71, 262, 998, 989, 485, 439, 389, 322, 465
412, 198, 495, 198, 10300885, 5, 3, 88, 485, 262, 998, 989, 334, 420, 41, 244, 88
412, 198, 401, 287, 10300885, 3, 3, 41, 485, 262, 998, 989, 334, 420, 41, 244, 88
401, 287, 398, 373, 10309086, 2, 4, 228, 41, 262, 998, 989, 480, 228, 388, 324, 438
401, 287, 398, 387, 10309086, 4, 4, 324, 41, 262, 998, 989, 480, 228, 388, 324, 438
401, 287, 401, 412, 10309086, 3, 4, 388, 41, 262, 998, 989, 480, 228, 388, 324, 438
401, 287, 401, 412, 10309086, 5, 4, 438, 41, 262, 998, 989, 480, 228, 388, 324, 438
401, 287, 401, 412, 10309086, 1, 4, 480, 41, 262, 998, 989, 480, 228, 388, 324, 438
401, 412, 401, 415, 10309409, 1, 5, 317, 480, 262, 998, 989, 317, 155, 24, 104, 115
401, 412, 401, 467, 10309409, 4, 5, 104, 480, 262, 998, 989, 317, 155, 24, 104, 115
