SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,18,27,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0759392
3,0,0,10,protocol,7.5,50,63,1.26,0,0,0,1,0.1,0.0909091,0.0909091,0.0909091,0.0909091,0.0909091,0.0909091,0.0909091,0.0603675
4,0,0,10,protocol,7.5,84,80,0.952381,0,0,0,1,0.5,0.5,0.5,0.5,0.333333,0.333333,0.333333,0.333333,0.0987472
5,0,0,10,protocol,7.5,102,77,0.754902,0,0,0,1,0.5,0.5,0.5,0.5,0.333333,0.333333,0.333333,0.333333,0.119242
6,0,0,10,protocol,7.5,151,78,0.516556,0,0,0,1,0.5,0.344828,0.344828,0.243902,0.136054,0.136054,0.136054,0.136054,0.141794
7,0,0,10,protocol,7.5,169,78,0.461538,0,0,0,1,0.588235,0.333333,0.333333,0.178571,0.0925926,0.0925926,0.0925926,0.0925926,0.154946
8,0,0,10,protocol,7.5,179,101,0.564246,0,0,0,0.916667,0.892857,0.520833,0.520833,0.362319,0.182482,0.182482,0.182482,0.182482,0.163189
9,0,0,10,protocol,7.5,204,130,0.637255,12,12,1,0.980769,0.861111,0.553571,0.5,0.378049,0.212329,0.212329,0.212329,0.212329,0.170201
10,0,0,10,protocol,7.5,219,130,0.593607,20,20,1,1,0.75,0.454545,0.428571,0.333333,0.214286,0.214286,0.214286,0.214286,0.175614
11,0,0,10,protocol,7.5,221,132,0.597285,20,20,1,1,0.9375,0.422535,0.422535,0.32967,0.211268,0.211268,0.211268,0.211268,0.179419
12,0,0,10,protocol,7.5,239,546,2.28452,38,38,1,1,0.795918,0.438202,0.438202,0.357798,0.257426,0.257426,0.257426,0.257426,0.182847
13,0,0,10,protocol,7.5,253,599,2.36759,40,40,1,1,0.8,0.493827,0.392157,0.333333,0.258065,0.258065,0.258065,0.258065,0.185824
14,0,0,10,protocol,7.5,287,634,2.20906,74,74,1,0.993421,0.877907,0.705607,0.449405,0.393229,0.34009,0.34009,0.34009,0.34009,0.188945
15,0,0,10,protocol,7.5,308,639,2.07468,60,60,1,1,0.888889,0.695652,0.446927,0.382775,0.337553,0.337553,0.337553,0.337553,0.19177
16,0,0,10,protocol,7.5,319,640,2.00627,60,60,1,1,0.888889,0.650407,0.467836,0.380952,0.323887,0.323887,0.323887,0.323887,0.194163
17,0,0,10,protocol,7.5,335,654,1.95224,74,74,1,1,0.896907,0.604167,0.5,0.400922,0.321033,0.321033,0.321033,0.321033,0.196302
18,0,0,10,protocol,7.5,349,671,1.92264,92,92,1,1,0.785714,0.5625,0.478261,0.40081,0.313291,0.313291,0.313291,0.313291,0.198208
19,0,0,10,protocol,7.5,374,705,1.88503,118,118,1,0.995536,0.841727,0.653631,0.534247,0.43985,0.343109,0.343109,0.343109,0.343109,0.200042
20,0,0,10,protocol,7.5,380,708,1.86316,120,120,1,0.991667,0.868613,0.643243,0.540909,0.407534,0.35,0.35,0.35,0.35,0.201611
21,0,0,10,protocol,7.5,390,715,1.83333,124,124,1,0.980769,0.910714,0.6375,0.52686,0.41129,0.357143,0.357143,0.357143,0.357143,0.203007
22,0,0,10,protocol,7.5,393,710,1.80662,100,100,1,1,0.928571,0.634146,0.52,0.419355,0.351351,0.351351,0.351351,0.351351,0.204209
