SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2.048,4,10,protocol,7.5,400,981,2.4525,286,272,0.951049,0.834016,0.526288,0.326891,0.232685,0.180331,0.15626,0.15626,0.15626,0.15626,0.308055
3,2.56,5,10,protocol,7.5,400,1022,2.555,358,344,0.960894,0.82505,0.537329,0.335082,0.232802,0.187592,0.160818,0.160818,0.160818,0.160818,0.309166
4,2.048,4,10,protocol,7.5,400,1131,2.8275,334,321,0.961078,0.860772,0.594013,0.376498,0.253133,0.204447,0.176829,0.176829,0.176829,0.176829,0.306199
5,2.048,4,10,protocol,7.5,400,1014,2.535,348,340,0.977011,0.800388,0.530058,0.32615,0.219766,0.181916,0.158636,0.158636,0.158636,0.158636,0.29233
6,2.048,4,10,protocol,7.5,400,1015,2.5375,282,273,0.968085,0.81286,0.508517,0.317188,0.218467,0.18138,0.155246,0.155246,0.155246,0.155246,0.283507
7,4.608,9,10,protocol,7.5,400,931,2.3275,262,250,0.954198,0.787755,0.447596,0.287523,0.198762,0.165305,0.141103,0.141103,0.141103,0.141103,0.296775
8,7.168,14,10,protocol,7.5,400,923,2.3075,232,228,0.982759,0.772822,0.433741,0.271152,0.196258,0.16319,0.138091,0.138091,0.138091,0.138091,0.31057
9,4.608,9,10,protocol,7.5,400,915,2.2875,232,216,0.931034,0.731969,0.429577,0.266298,0.19015,0.159241,0.134401,0.134401,0.134401,0.134401,0.315872
10,5.12,10,10,protocol,7.5,400,972,2.43,248,236,0.951613,0.733141,0.444851,0.281494,0.200661,0.166097,0.142606,0.142606,0.142606,0.142606,0.316026
11,5.632,11,10,protocol,7.5,400,999,2.4975,263,249,0.946768,0.734513,0.450406,0.29007,0.209522,0.167449,0.145288,0.145288,0.145288,0.145288,0.314022
12,4.096,8,10,protocol,7.5,400,1098,2.745,244,233,0.954918,0.785294,0.503208,0.311224,0.227188,0.183061,0.159779,0.159779,0.159779,0.159779,0.309215
13,19.968,39,10,protocol,7.5,400,1084,2.71,229,216,0.943231,0.766114,0.504186,0.304923,0.220415,0.180546,0.156331,0.156331,0.156331,0.156331,0.310972
14,4.608,9,10,protocol,7.5,400,979,2.4475,266,246,0.924812,0.703936,0.43242,0.265024,0.19722,0.162032,0.138023,0.138023,0.138023,0.138023,0.315795
