BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,AverageRoutingGoodputKbps,MacPhyOverhead
0.932872,0.861023,0.576099,0.274707,0.134801,0.0918364,0.0719663,0.0417311,0.0284878,0.0168293,0,0.266331
0.932872,0.861023,0.576099,0.274707,0.134801,0.0918364,0.0719663,0.0417311,0.0284878,0.0168293,0,0.266331
0.918076,0.839195,0.541874,0.264287,0.129068,0.0884414,0.0688798,0.0398139,0.0271972,0.016052,0,0.267391
0.917992,0.839566,0.542035,0.264362,0.129105,0.0884665,0.0688994,0.0398252,0.0272049,0.0160566,0,0.267282
0.901974,0.81129,0.504616,0.250175,0.121261,0.0835193,0.0647104,0.0374593,0.0256329,0.0151383,0,0.268065
0.888855,0.791232,0.475471,0.238156,0.114452,0.079123,0.0610902,0.0354061,0.0243144,0.0143485,0,0.269088
0.900941,0.811024,0.504471,0.250119,0.121233,0.0835003,0.0646957,0.0374508,0.0256271,0.0151349,0,0.268036
0.888463,0.791296,0.475303,0.238102,0.114426,0.0791052,0.0610764,0.0353982,0.024309,0.0143452,0,0.268996
0.877296,0.773183,0.450732,0.228168,0.109184,0.0756702,0.0582255,0.0337491,0.0231919,0.0136817,0,0.269859
0.876299,0.772332,0.450227,0.227907,0.109059,0.0755839,0.0581591,0.0337106,0.0231655,0.0136661,0,0.269852
